Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
3783001,801 BRANNAN ST,Showpl/Potrero,BP Filed,8/17/05,557,557,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,0","TO ERECT 6 STORIES, 557 DWELLING RESIDENTIAL / RETAILS.",Mixed Use,UMU,605,"10,000",0,0,0,0,"10,000",0,"-115,000",0,0,0,"-125,000","10,000",0,2000.618,200508170499,1/19/05,8/17/05,40-X,UMU,19-Jan-05,-122.403224,37.77295,,
2764021,3715 MARKET ST,Central,BP Filed,1/21/05,2,1,,ERECT 4 STORIES OF 2 FAMILY DWELLING,Residential,RH-2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200501213687,,1/21/05,40-X,RH-2,21-Jan-05,-122.441662,37.75456,,
1578014F,3448 BALBOA ST,Richmond,BP Filed,3/4/05,3,3,,ADD (3) STORIES & (3) DWELLING UNITS ON THE EXISTING BUILDING,Mixed Use,NC-2,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200503046780,,3/4/05,40-X,NC-2,4-Mar-05,-122.495705,37.77593,,
668012,1465 PINE ST,Northeast,BP Filed,3/16/05,35,35,,ERECT A FIVE STORY 35 DWELLING UNIT/COMM'L MIXED USE BUILDING,Mixed Use,NCD,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200503167620,,3/16/05,65-A,POLK,16-Mar-05,-122.419851,37.789579,,
3521005,340 11TH ST,WSoMa,BP Filed,4/11/05,20,20,"Demo. of an existing service station and construction of a five-story, mixed-use building with 20 dwelling units, 20 off-street parking spaces, and appx 5,682 GSF of ground floor retail use.  ",DEMOLISH 2 STORIES GARAGE,Industrial,SLR,589,"5,682",0,0,0,0,"5,682",0,"5,682",0,0,0,0,"5,682",0,2005.0525,200504119696,6/1/05,4/11/05,50-X,SLR,11-Apr-05,-122.413472,37.771251,,
3521007,350 11TH ST,WSoMa,BP Filed,4/11/05,20,20,"Demo. of an existing service station and construction of a five-story, mixed-use building with 20 dwelling units, 20 off-street parking spaces, and appx 5,682 GSF of ground floor retail use.  ",ERECT 4 STORIES 20 UNITS RES. & MIXED USE BLDG.,Industrial,SLR,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0525,200504119702,,4/11/05,50-X,SLR,11-Apr-05,-122.413349,37.771151,,
7107016,142 BROAD ST,"Ingleside, Other",BP Filed,4/14/05,2,2,,"TO ERECT 3 STORIES, 2 FAMILY DWELLING UNITS .",Residential,RH-2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200504140010,,4/14/05,40-X,RH-2,14-Apr-05,-122.457393,37.713319,,
4059009,2298 03RD ST,Central Waterfront,BP Filed,2/6/06,80,80,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.  ",TO ERECT 40 DWELLING UNITS IN A 6 STORY NEW BUILDING,Mixed Use,UMU,558,"14,000",0,0,0,0,"14,000",0,"14,000",0,0,0,0,"14,000",0,2005.0408,200602063862,4/26/05,2/6/06,50-X,UMU,26-Apr-05,-122.388823,37.760595,,
5826007,124 BACHE ST,Bernal Heights,BP Filed,4/27/05,2,2,,TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200504271067,,4/27/05,40-X,RH-2,27-Apr-05,-122.417699,37.733846,,
5826006,122 BACHE ST,Bernal Heights,BP Filed,4/27/05,2,2,,TO ERECT A NEW 3 STORY 2 DWELLING UNITS & 1 BASEMENT.,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200504271066,,4/27/05,40-X,RH-2,27-Apr-05,-122.417692,37.733852,,
5826009,128 BACHE ST,Bernal Heights,BP Filed,4/27/05,2,2,,TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200504271069,,4/27/05,40-X,RH-2,27-Apr-05,-122.417713,37.733834,,
5826005,120-128 BACHE ST,Bernal Heights,BP Filed,4/27/05,10,10,The project is construction of 10 condominium units in a row of five zero lot line buildings on steeply graded vacant lots along an undeveloped extension of Bache Street.  The hill regrading for the project and improvements would result in access for the ,TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0288,200504271062,12/20/05,4/27/05,40-X,RH-2,27-Apr-05,-122.417685,37.733858,,
5826008,126 BACHE ST,Bernal Heights,BP Filed,4/27/05,2,2,,TO ERECT A NEW 3 STORY 2 DWELLING UNITS.,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200504271068,,4/27/05,40-X,RH-2,27-Apr-05,-122.417706,37.73384,,
3775063,136 SOUTH PARK AV,East SoMa,BP Filed,4/28/05,1,1,Demolition of one-story light industrial building and construction of 3-story building--two floors of commercial space with residential unit above.,ERECT 1 STORY OF 1 DWELLING UNITS.,Industrial,SPD,693,"3,861","3,861",0,0,0,0,0,"2,431",0,0,"3,861","-1,430",0,0,2005.0418,200504281137,4/28/05,4/28/05,40-X,SPD,28-Apr-05,-122.394685,37.78146,,
282004,723 TAYLOR ST,Downtown,BP Filed,5/2/05,14,14,Construction of an eight-story residential building with 9 dwelling units on a vacant lot.  ,,Commercial,C-3-G,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0975,,5/11/05,5/2/05,80-A,RC-4,2-May-05,-122.412101,37.789059,,
3584007,530 SANCHEZ ST,Central,BP Filed,5/3/05,2,1,"To demolish the existing structures on the lot and construct a new 4-story, 2-unit residential building in an RH-3 district.",ERECT  4 STORIES OF 2 SWELLING UNITS.,Residential,RH-3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.04,200505031415,2/9/06,5/3/05,40-X,RH-3,3-May-05,-122.430683,37.760651,,
3754066,1091 FOLSOM ST,East SoMa,BP Filed,6/10/05,30,30,,ERECT 5 STORIES OF30 DWELLINGS,Mixed Use,NCT,630,0,0,0,0,0,0,0,"-2,250",0,0,0,"-2,250",0,0,,200506104806,,6/10/05,50-X,SoMa NCT,10-Jun-05,-122.407523,37.776832,,
834017,149 FELL ST,Market Octavia,BP Filed,6/21/05,2,2,"Add one floor of office to previously approved project, Variance for public open space","TO ERECT 5 STORIES, 2 DWELLING MIXED USED TYPE 1 BUILDING.",Commercial,C-3-G,259,"9,900","9,900",,,,,,"3,300",,,"3,300",,,,2009.0422,200506215634,5/27/09,6/21/05,80-E,C-3-G,21-Jun-05,-122.420277,37.776139,,
6356064,1449 SUNNYDALE AV,"South Central, Other",BP Filed,7/5/05,3,3,,ERECT 3 STORIES OF 3 DWELLING UNITS,Mixed Use,NC-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507056765,,7/5/05,40-X,NC-1,5-Jul-05,-122.415779,37.711712,,
6356063,1461 SUNNYDALE AV,"South Central, Other",BP Filed,7/5/05,3,3,,ERECT 4 STORIES OF 3 DWELLING UNITS,Mixed Use,NC-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507056773,,7/5/05,40-X,NC-1,5-Jul-05,-122.41583,37.711727,,
6356062,1481 SUNNYDALE AV,"South Central, Other",BP Filed,7/5/05,4,4,,ERECT 4 STORIES OF 3 DWELLING UNITS,Mixed Use,NC-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507056774,,7/5/05,40-X,NC-1,5-Jul-05,-122.415907,37.711768,,
6356061,1491 SUNNYDALE AV,"South Central, Other",BP Filed,7/5/05,4,4,,ERECT 4 STORIES OF 3 DWELLING UNITS,Mixed Use,NC-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507056775,,7/5/05,40-X,NC-1,5-Jul-05,-122.415937,37.711807,,
807010,580 HAYES ST,Market Octavia,BP Filed,8/7/08,90,90,Construction of a five-story residential care facility with dwelling units on the top floor and retail on the ground floor.,"ERECT A FIVE STORIES, 90 UNITS (SENIOR HOUSING)",Mixed Use,NCT,268,"45,632",0,0,"38,000",0,"7,632",0,"42,432",0,"38,000",0,0,"4,432",0,2005.0651,200808078678,7/6/05,8/7/08,50-X,HAYES NCT,6-Jul-05,-122.425884,37.776651,,
2384027,3133 TARAVAL ST,Outer Sunset,BP Filed,7/8/05,3,2,,VERTICAL AND HORIZONTALADDITION. FROM (e)  2 LEVELS ONE DWELLING UNIT TO FOUR LEVELS 3 DEWLLING UNIT,Residential,RM-1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507087156,,7/8/05,40-X,RM-1,8-Jul-05,-122.499638,37.741857,,
3732068,456 CLEMENTINA ST,East SoMa,BP Filed,7/11/05,12,12,"Demolition of the existing one-story warehouse and construction of a 12-unit residential building with three parking spaces. Building would be approximately 40 feet in height and 12,190 sq. ft. ",TO ERECT A NEW 4 STORY 12 UNIT RESIDENTIAL/COMMERICAL BUILDING,Mixed Use,MUR,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0072,200507117258,,7/11/05,40-X/85-B,MUR,11-Jul-05,-122.405283,37.779838,,
5327038,1665 PALOU AV,"BVHP Area A,B",BP Filed,7/13/05,2,2,,ERECT 2 DWELLING UNITS OF 4 STORIES.,Residential,RH-2,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507137493,,7/13/05,40-X,RH-2,13-Jul-05,-122.392226,37.734545,,
1726006,1235 24TH AV,Outer Sunset,BP Filed,7/19/05,2,1,,"TO EXTEND (E) BLDG AT REAR, ADD A STORY ON TOP & A 2ND DWELLING UNIT PER PLANS.",Residential,RH-2,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507197993,,7/19/05,40-X,RH-2,19-Jul-05,-122.482742,37.764469,,
3640066,3086 24TH ST,Mission,BP Filed,7/19/05,2,1,,CHANGE OF USE AT 1ST FL-COMMERICAL TO RESIDENTIAL. NO WORK UNDER THIS PERMIT.,Mixed Use,NCT,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200507198027,,7/19/05,40-X,24th St-Mission,19-Jul-05,-122.413837,37.752658,,
3732071,468 CLEMENTINA ST,East SoMa,BP Filed,7/20/05,25,25,"New construction of two four-story residential buildings on Lot to be subdivided, with 13-unit building fronting Tehama and 12-unit building fronting Clementina (468 Clementina).  Existing building to be demolished.",TO ERECT 4 STORY 12 UNIT DWELLING,Mixed Use,MUR,628,0,0,0,0,0,0,0,-500,0,0,0,-500,0,0,2005.0424,200507208144,1/5/06,7/20/05,40-X/85-B,MUR,20-Jul-05,-122.405496,37.779669,,
4829011,1485 VAN DYKE AV,"BVHP Area A,B",BP Filed,7/21/05,2,1,Demolish existing building and construct a 2 story over garage 2 unit building.  Conditional use per Section 215 (residential in M-1 District).,SCOPE OF WORK. HORIZONTAL ADDITION TO THE REAR & 4' TO THE RIGHT SIDE. JACK OR RAISE (E) HOUSE SO,Residential,RH-1,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0248,200507218243,2/16/06,7/21/05,40-X,M-1,21-Jul-05,-122.390244,37.727749,,
3726047,537 NATOMA ST,East SoMa,BP Filed,9/1/05,14,14,Demolish existing structure and construct 14 residential dwelling units and 14 parking spaces. ,TO ERECT 14 DWELLING UNIT WITH 4 STORY BLDG,Residential,RED,669,"5,425",0,0,0,"5,425",0,0,"-5,425",0,0,0,"-5,425",0,0,2005.099,200509011813,10/20/05,9/1/05,40-X,RED,1-Sep-05,-122.408324,37.779476,,
3732087,457 TEHAMA ST,East SoMa,BP Filed,9/1/05,1,1,Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.,NEW 2 STORIES ABOVE (E) TWO STORIES WAREHOUSE. 4 STORIES TOTAL. SINGLE FAMILY HOME WITH ROOF DECK.,Mixed Use,MUR,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0123,200509011869,,9/1/05,40-X/85-B,MUR,1-Sep-05,-122.405495,37.780007,,
2625007A,70 DOUGLASS ST,Buena Vista,BP Filed,3/3/06,2,1,Renovation and rehabilitation of an existing residential building constructe c. 1900.,ERECT 4 STORIES OF 2 DWELLING  UNITS.,Residential,RH-2,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0336,200509021966,3/3/06,9/2/05,40-X,RH-2,2-Sep-05,-122.439699,37.762618,,
3642027,2751 MISSION ST,Mission,BP Filed,9/9/05,5,5,,"TO ERECT 4 STORIES, 5 DWELLING UNIT OF RESIDENTIAL APARTMENTS & COMMERCIAL (RETAIL).",Mixed Use,NCT,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200509092450,,9/9/05,80-B,Mission St NCT,9-Sep-05,-122.418373,37.75304,,
2696015,4226 20TH ST,Central,BP Filed,9/13/05,3,1,,LEGALIZE 3RD UNIT AT BASEMENT LEVEL PER BOARD OF APPEALS# V91-033 & SATISFY,Residential,RH-3,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200509132719,,9/13/05,40-X,RH-3,13-Sep-05,-122.435056,37.757802,,
5438022,2591 SAN BRUNO AV,"South Central, Other",BP Filed,9/14/05,3,1,,VERTICAL EXTENSION. ADD NEW STORY & CONSTRUCT 1 NEW UNIT & EXPAND 1 RESIDENTIAL UNIT.,Mixed Use,NC-2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200509142865,,9/14/05,40-X,NC-2,14-Sep-05,-122.404049,37.729093,,
3748006,340 FREMONT ST,Rincon Hill,BP Filed,9/19/05,384,384,"Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.  ",ERECT 40 STORY RESIDENTIAL WITH 384 DWELLING UNITS,Hi Density Res,RH DTR,767,"2,350",0,0,0,0,"2,350",0,"-42,650",0,0,"-45,000",0,"2,350",0,2004.0552,200509193271,5/12/06,9/19/05,85/250-R,RH DTR,19-Sep-05,-122.39304,37.787364,,
1436018,4014-4016 GEARY BLVD,Richmond,BP Filed,4/7/09,2,1,To legalize the conversion of the second floor from residential to commercial use.,"TO COMPLY W/ NOV 200562598 & 200793296, REINSTATE 2ND FL SPACE TO RESIDENTIAL DWELLING UNIT PER PLAN",Mixed Use,NC-3,309,"1,854","1,854",0,0,0,0,0,"1,854",0,0,"1,854",0,0,0,2005.0948,200904075710,10/4/05,4/7/09,40-X,NC-3,4-Oct-05,-122.462397,37.781313,,
293002,153 KEARNY ST,Downtown,BP Filed,3/28/06,51,51,"Conversion of 40,000 sf of office space (6 floors) to 51 residential units within the C-3-O district.",CONVERT EXTG OFFICE TO RESIDENTIAL CONDOMINIUMS. EXTG RETAIL WILL REMAIN ON GROUND FLOOR. ASSOCIATED BLDG SERVICES WILL REMAIN  AT BASEMNT AND 2ND FLOOR.,Commercial,C-3-O,933,0,0,0,0,0,0,0,"-40,000",0,0,"-40,000",0,0,0,2005.0946,200603287648,10/5/05,3/28/06,80-130-F,C-3-O,5-Oct-05,-122.403947,37.789457,,
3554027,411 VALENCIA ST,Mission,BP Filed,10/13/05,24,24,"Construction 24-du bldg, with 1+ 16 stacked parking spaces on ground floor accessed from Caledonia Street, with two ground floor retail spaces of 620-gsf and 700-gsf on Valencia Street; six stories plus roof deck, 16,800-gsf total, on existing vacant lot.","ERECT A 4 STORY, EIGHT UNIT RESIDENTIAL STRUCTURE",Mixed Use,NCT,223,"1,400",,,,,"1,400",,"1,400",,,,,"1,400",,2009.018,200510135500,8/25/09,10/13/05,50-X,Valencia St NCT,13-Oct-05,-122.421838,37.76633,,
3729081,209 09TH ST,WSoMa,BP Filed,10/16/08,3,3,"Conversion from Office to Residential / Commercial. Addition of 2 stories and 7000 sf for a new 561/2 foot high, 14,500 sf bldg. 
SRO
>>Rear yard modification. ","ADD 2 NEW FLOORS TO BUILDING, 3 NEW RESIDENTIAL UNITS. REPLACE EXISTING STAIRCASES AND ELEVATOR. NEW",Industrial,SLR,596,0,0,0,0,0,0,0,"-11,600",0,0,"-11,600",0,0,0,2005.0966,200810164336,10/13/05,10/16/08,50-X,SLR,13-Oct-05,-122.412852,37.77494,19,19
1803026,1366 LA PLAYA *,Outer Sunset,BP Filed,11/23/05,3,1,"The proposal is to 1) replace the front facade with a new facade; 2) extend the existing first and second floors toward the rear of the lot; 3) add a third floor vertical addition; and 4) add a third dwelling unit in Zoning District RH-3.
The existing bui",ADD THIRD STORY AND EXTEND TO REAR. REMODEL (E) TWO UNITS INTO THREE UNITS AND ADD TWO PARKING SPACES. CHANGE OF OCCUPANCY.,Residential,RH-3,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1429,200511238934,,11/23/05,40-X,RH-3,23-Nov-05,-122.509017,37.760963,,
2623028,4126 17TH ST,Buena Vista,BP Filed,12/8/05,5,4,"5 unit residential building over garage, residential demo over 1.2 milion",ERECT 5 STORIES 5 DWELLING BLDG.,Residential,RH-3,563,0,,,,,,,0,,,,,,,2006.1154,200512089818,4/23/08,12/8/05,40-X,RH-3,8-Dec-05,-122.437894,37.762376,,
3576070,50 SYCAMORE ST,Mission,BP Filed,12/9/05,3,2,,"UPGRADE BUILDING STRUCTURE, ELECTRICAL SYSTEM AND PLUMBING. CONSTRUCT OVER (E) STRUCTURE. 2 LEVEL OF DWELLING SPACE. CONSTRUCT 1 ADDITIONAL UIT - SPRINKLER WORK WILL BE UNDER SEPARATE PERMIT. HORIZONTAL & VERTICAL ADDITION.",Residential,RTO-M,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200512099960,,12/9/05,50-X,RTO-Mission,9-Dec-05,-122.420534,37.762779,,
3594016,3360 20TH ST,Mission,BP Filed,12/20/05,6,6,"Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-2,188,0,0,0,0,0,0,0,"-4,750",0,0,0,"-4,750",0,0,2005.037,200512200747,,12/20/05,50-X,NC-2,20-Dec-05,-122.416099,37.758952,,
3754039,1075 FOLSOM ST,East SoMa,BP Filed,12/22/05,31,31,,"TO ERECT 5 STROIES, 31 DWELLING UNITS OF RESIDENTIAL / COMMERCIAL UNITS.",Mixed Use,NCT,630,0,0,0,0,0,0,0,"5,000",0,0,0,0,"5,000",0,,200512220909,,12/22/05,50-X,SoMa NCT,22-Dec-05,-122.407315,37.77709,,
4991617,101 EXECUTIVE PARK BL,Executive Park,BP FILED,8/13/09,340,340,,GRADING,Commercial,C-2,880,0,0,0,0,0,0,0,"14,000",0,0,0,0,"14,000",0,2003.1113,200604249742,,12/28/05,100-G/140-H/2,C-2,28-Dec-05,-122.394775,37.711286,,
3598028,651 DOLORES ST,Central,BP Filed,1/12/06,8,8,"Conditional use authorization to allow construction of a new church  (Second Church of Christ, Scientist) pursuant to Section 209.3(j), eight new dwelling units pursuant to Section 209.1(h), and off-street parking for up to 42 cars for the church use purs",DEMOLITION OF A ONE STORY CHURCH,Residential,RH-3,183,"24,000",0,"24,000",0,0,0,0,"2,000","2,000",0,0,0,0,0,2006.0144,200601122067,2/2/06,1/12/06,40-X,RH-3,12-Jan-06,-122.425726,37.759023,,
3787026,655 04TH ST,East SoMa,BP Filed,1/13/06,192,192,"Demolition of existing 2-story, 17,640 sq. ft. industrial building and construct 192  residential units and 15,284 sq. ft. of retail, and 46 parking spaces. The new building would be approximately 107,806 sq. ft. and 65 feet in height.  ",DEMOLISHING OFFICE AND INDUSTRIAL BLDG,Industrial,SLI,642,"15,284",0,0,0,0,"15,284",0,"-2,356",0,0,0,"-17,640","15,284",0,2005.1019,200601132181,3/23/06,1/13/06,65-X,SLI,13-Jan-06,-122.395671,37.777711,,
4058010,2235 03RD ST,Central Waterfront,BP Filed,7/9/09,196,196,"The proposed project involves the renovation of two existing vacant buildings totaling about 27,200 gsf and construction of approximately 180,000 gsf addition.  The proposed project would include up to 141 dwelling units with 128 off-street parking spaces","Preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into ",Mixed Use,UMU,558,"5,339",0,0,0,0,"5,339",0,"5,339",0,0,0,0,"5,339",0,2002.1302,200907092309,1/13/06,7/9/09,50-X,UMU,13-Jan-06,-122.38837,37.761297,,
2752024,331 COLLINGWOOD ST,Central,BP Filed,1/13/06,1,1,,ERECT 2 STORIES SINGLE FAMILY DWELLING,Residential,RH-2,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200601132095,,1/13/06,40-X,RH-2,13-Jan-06,-122.435594,37.75715,,
3731087,190 RUSS ST,East SoMa,BP Filed,1/20/06,8,8,"Demolish  existing 2500 sf PDR bldg & construct 40 foot high, 16,000 sf bldg with 8 dwelling units and 8 parking spaces.","TO ERECT 5 STORIES, 8 DWELLING UNITS OF RESIDENTIAL BUILDING.",Mixed Use,NCT,627,0,0,0,0,0,0,0,"-2,500",0,0,0,"-2,500",0,0,2006.0521,200601202701,12/4/06,1/20/06,40-X,RED,20-Jan-06,-122.407112,37.777758,,
6272032,4801 MISSION ST,"South Central, Other",BP Filed,1/20/06,6,6,,"TO ERECT 5 STORY, 6 FAMILY DWELLING",Mixed Use,NC-3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200601202704,,1/20/06,65-A,NC-3,20-Jan-06,-122.437166,37.72149,,
3703086,570 JESSIE ST,Downtown,BP Filed,2/2/06,47,47,"Demolish existing 15,000 sq. ft. office/printing shop and construct 47 dwelling units and 24 parking spaces. Total sq. footage of new struction would be 31,135 (36,973, as of 3-28-2007) sq. ft. and building would be approximately 80' (74' 10"", as of 2-28-","TO ERECT 8 STORY, 47 CONDO UNITS",Commercial,C-3-G,666,0,,,,,,,"-15,000",,,,"-15,000",,,2005.1018,200602023710,9/11/08,2/2/06,120-F,C-3-G,2-Feb-06,-122.409809,37.781122,,
3628014,1090 CHURCH ST,Central,BP Filed,2/9/06,2,2,,ERECT 2 STORIES 2 DWELLING UNITS BLDG.,Residential,RM-1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200602094307,,2/9/06,40-X,RM-1,9-Feb-06,-122.427786,37.753555,,
3548032,1875 MISSION ST,Mission,BP Filed,2/10/06,60,60,"Change of use and addition of two new floor to an existing building, and construction of a six-story building on a vacant lot.  Proposed project would include 10,000 GSF of ground floor retail use, up to 110 dwelling units, and 75 off-street parking space",ADD 3 STORIES TO EXISTING BUILDING. ADD 60 UNITS MIXED USE.,Mixed Use,NCT,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0674,200602104365,,2/10/06,65-B,Mission St NCT,10-Feb-06,-122.419694,37.767166,,
1228005,690 STANYAN ST,Buena Vista,BP Filed,2/15/06,56,56,"Demolish existing one-story retail and mezzanine containing approximately 23,600 sq. ft. and construct a new 62 unit residential structure with 34,400 sq. ft. of groundfloor retail. Two stories of underground parking would also be proposed for 176 total p","ERECT TYPE 1, 4 STORIES, 56 DWELLING UNITS & COMMERCIAL BUILDING.",Mixed Use,NCD,240,"34,400",0,0,0,0,"34,400",0,"10,800",0,0,0,0,"10,800",0,2006.046,200602154713,,2/15/06,40-X,HAIGHT,15-Feb-06,-122.453469,37.769382,,
5825007,782-786 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,6,6,Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.,TO ERECT 3 STORY S FAMILY DWELLING,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0825,200603025880,7/10/06,3/2/06,40-X,RH-2,2-Mar-06,-122.417086,37.733671,,
5825009,794 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,2,2,Construction of three new two-unit buildings.  Total project would be six new residential units on three vacant lots.,TO ERECT 3 STORY S FAMILY DWELLING,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0825,200603025880,,3/2/06,40-X,RH-2,2-Mar-06,-122.41701,37.733593,,
5825008,790 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,2,2,,ERECT 3 STORIES 2 DWELLING UNITS  BLDG.,Residential,RH-2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200603025881,,3/2/06,40-X,RH-2,2-Mar-06,-122.417035,37.733619,,
310002,49 KEARNY ST,Downtown,BP Filed,3/3/06,7,7,,convert office use to residential unit floors 2-8 also repair stairs and elevetor.,Commercial,C-3-O,934,0,0,0,0,0,0,0,"-8,630",0,0,"-8,630",0,0,0,,200603035967,,3/3/06,80-130-F,C-3-O,3-Mar-06,-122.4037,37.788497,,
667016,1545 PINE ST,Northeast,BP Filed,3/19/07,113,113,"Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximatel",TO DEMOLISH A GARAGE REPAIR BUILDING,Mixed Use,RC-4,327,"10,000",0,0,0,0,"10,000",0,"-18,000",0,0,"-16,000","-12,000","10,000",0,2006.0383,200703196620,3/14/06,3/19/07,130-V,RC-4,14-Mar-06,-122.421219,37.789402,,
3774025,250 BRANNAN ST,East SoMa,BP Filed,1/30/07,51,51,The project is to convert the existing historic warehouse (legally established as office use) as 51 dwelling units.  ,RENOVATE (E) 3 STORY BRICK AND TIMBER BLDG CONVERTING IT TO RESIDENTIAL. DEMO (E) PENTHOUSE & REPLACE WITH TWO (N) PENTHOUSES. TWO STORY PARKING GARAGE TO REMAIN.,Mixed Use,MUO,726,0,0,0,0,0,0,0,"-127,396",0,0,"-127,396",0,0,0,2006.0451,200701302920,3/30/06,1/30/07,50-X,MUO,30-Mar-06,-122.390984,37.782879,,
6635022,14-16 30TH ST,Bernal Heights,BP Filed,4/24/06,3,-2,"The project involves the demolition of the existing 3,240 square-foot, 5-unit apartment building, constructed in 1908, and the construction of a new 3-unit, 3-story over garage apartment building.","RAISE EXISTING BUILDING 1 STORY AND CONSTRUCT NEW GR FLR AND REINFORCE BASEMENT. REMODEL INTERIORS OF ALL UNITS, HIS NOV 200456500 1/6/05. FIRE SPRINKLER SYSTEM AND ALARM UNDER SEP PERMIT",Mixed Use,NC-3,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.13,200604249670,10/24/06,4/24/06,40-X,RH-3,24-Apr-06,-122.422251,37.742501,,
3588012,3500 19TH ST,Mission,BP Filed,5/1/06,17,17,17 NEW DWELLING UNITS OVER GROUND FLOOR RETAIL (2900 SF) AND 17-CAR PARKING GARAGE ,"TO ERECT 5 STORY RESIDENTIAL, RETAIL, AND GARAGE",Mixed Use,NCT,204,"2,950",0,0,0,0,"2,950",0,"2,950",0,0,0,0,"2,950",0,2006.1252,200605010369,10/12/06,5/1/06,50-X,Valencia St NCT,1-May-06,-122.421507,37.760168,,
1571015C,622 29TH AV,Richmond,BP Filed,5/22/06,2,1,,TWO FAMILY RESIDENCES. VERTIVCAL AND HORIZONTAL ADDITION AND REMODELING,Residential,RH-2,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200605222098,,5/22/06,40-X,RH-2,22-May-06,-122.488659,37.777454,,
