APN,Entitlement,BESTSTAT,BESTDATE,NAMEADDR,Alias,PLN_CASENO,BP_APPLNO,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,SECTION415,TENURE_TYPE,COST,PROPUSE,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FirstFiled,PLN_DESC,BP_DESC,PLANNER,SPONSOR,SP_CONTACT,SP_CONTACTPH,NEIGHBORHOOD,PLAN_AREA,PLAN_DISTRICT,HEIGHT_DISTRICT,ZONING_SIM,ZONING_DISTRICT,SUPE_DISTRICT,Location
APN 3728019,0,BP FILED,6/6/14,1298 HOWARD ST,,2014,2.01406E+11,125,125,0,0,,,"$34,000,000.00 ",APARTMENTS,10050,10050,0,0,0,0,10050,10050,0,0,0,0,0,0,12/31/13,"The proposed project would contain 121 residential units, 10,050 sq.ft. of flex office/retail space.  Also proposed is a pedestrian alley connecting Howard and Natoma Streets.  The design of the project embraces the intent of Western SOMA zoning, respect",ERECT A FIVE STORY 125 DWELLING UNITS WITH COMMERCIAL. COMPLY W/ ORDINANCE NO. 155-13 REQUIRED.,DVU,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Western SoMa (EN); South of Market,Downtown,45-X,RED-MX,RESIDENTIAL ENCLAVE-MIXED,SUPERVISORIAL DISTRICT 6,"(37.77562857770, -122.41277867700)"
APN 6521004,0,BP FILED,3/21/13,13 LUCKY ST,,,2.01303E+11,1,1,0,0,,,"$322,873.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/21/13,,"ERECT 3-STORY, TYPE 5, SINGLE FAMILY RESIDENCE.",DSANCHEZ,,,,Mission,Mission (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75223594910, -122.41325780500)"
APN 8711021,1,BP ISSUED,1/22/16,1300 04TH ST,,,2.01507E+11,143,143,0,0,,,"$48,657,306.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/27/15,,"CONSTRUCT (N) RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES, RETAIL & RESTAURANT SHELL SPACE",,,,,South of Market,Mission Bay,South of Market,MB-RA,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,SUPERVISORIAL DISTRICT 6,"(37.77140195950, -122.39177164800)"
APN 4912001,1,BP APPROVED,6/29/16,1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 1 OF 2),1314 FITZGERALD AV,2014,2.01409E+11,0,0,0,0,,,"$2,180,000.00 ","WAREHOUSE, FURNITURE",28200,1030,0,0,0,0,0,0,28200,1030,0,0,0,0,6/20/14,"Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.","ERECT 1-STORY, TYPE 5, WAREHOUSE BUILDING.",RSUCRE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Bayview,Bayview Hunters Point,South Bayshore,40-X,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.72256883150, -122.39298549900)"
APN 4912001,1,BP FILED,9/16/14,1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 2 OF 2),1409 EGBERT AV,2014,2.01409E+11,0,0,0,0,,,"$2,180,000.00 ","WAREHOUSE, FURNITURE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/20/14,"Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.","ERECT 1-STORY, TYPE 5, WAREHOUSE BUILDING.",RSUCRE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Bayview,Bayview Hunters Point,South Bayshore,40-X,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.72256883150, -122.39298549900)"
APN 3954016,1,PL APPROVED,6/28/16,1301 16TH ST,POTRERO FLATS,2013,,176,176,28,28,On-site BMR Project,Rental,"$47,663,393.00 ",,9632,-27968,0,0,0,0,0,0,2764,-34836,6868,6868,0,0,5/31/13,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The",,CTEAGUE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,68-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.76584514550, -122.40023935600)"
APN 4352007,1,CONSTRUCTION,6/15/16,1301 CESAR CHAVEZ ST,,,2.0071E+11,0,0,0,0,,,"$31,500,000.00 ",FILLING/SERVICE STN,88564,81979,0,0,0,0,88564,88564,0,-6585,0,0,0,0,10/15/07,,"Erect a two stories building for maintenance and operations facility with admininstrative offices for SFMuni. A-3 for lunch rm; B for Admin. off, locker rms, training conference, TV rm; H-4 for welding shop and elec. shop; S-2 for part storage, equip. rm",CTOWNES,,,,Bayview,Bayview Hunters Point,South Bayshore,65-J,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.74925587410, -122.39097538000)"
APN 0756018,1,BP ISSUED,4/20/16,1301 TURK ST,,,2.01506E+11,1,1,0,0,,,"$13,000,000.00 ",SFPD OR SFFD STATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/19/15,,ERECT A THREE STORY FIRE STATION AND ONE FAMILY DWELLING MIX USE BUILDING.,BBENDIX,,,,Western Addition,,Western Addition,50-X,P,PUBLIC,SUPERVISORIAL DISTRICT 5,"(37.78038943230, -122.43072791800)"
APN 4274001,1,CONSTRUCTION,8/25/15,1302 YORK ST,,,2.0131E+11,3,1,0,0,,,"$68,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/11/13,,CHANGE OF USE FROM R3 2-UNIT RESIDENTIAL TO R2 3-UNIT RESIDENTIAL. CONVERT 1ST FL (E) LIVING SPACE INTO (N) UNIT #2901 25TH ST.,DHARRIS,,,,Mission,Mission (EN),Mission,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75111467810, -122.40824997100)"
APN 1758046,0,BP FILED,3/25/15,1308 04TH AV,,,2.01503E+11,3,1,0,0,,,"$12,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/25/15,,"LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT. REFERENCE BPA 2006-04-19-9300.  NEW HIGHT EFFICACY KITCHEN LIGHTING, NEW BEDROOM EGRESS WINDOW, NEW BICYCLE PARKING. UNIT LEGALIZATION ORD 43-14.",NKWIATKO,,,,Inner Sunset,,Inner Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76407454010, -122.46065808900)"
APN 3985024,1,CONSTRUCTION,6/30/16,131 MISSOURI ST,,2013,2.01306E+11,9,9,0,0,,,"$4,033,416.00 ",APARTMENTS,0,-4500,0,0,0,0,0,0,0,-4500,0,0,0,0,6/19/13,(9 units Residential) - Demolish existing warehouse building. Construct new residential building consisting of nine units over parking,"TO ERECT 4 STORIES, NO BASEMENT, 9 UNITS RESIDENTIAL RESIDENCE WITH GARAGE.",BBENDIX,Closed,Closed,Closed,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.76467976180, -122.39641291600)"
APN 4851017,0,BP FILED,11/27/12,1313 ARMSTRONG AV,,,2.01211E+11,0,0,0,0,,,"$135,500.00 ","WAREHOUSE, FURNITURE",1355,1355,0,0,0,0,0,0,1355,1355,0,0,0,0,11/27/12,,TO ERECT ONE STORY PRODUCT PACKAGING BUILDING W/ PARKING.,HARRIS D,,,,Bayview,Bayview Hunters Point,South Bayshore,40-X,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.72307877410, -122.38752570700)"
APN 1286024,1,CONSTRUCTION,6/30/16,1318 COLE ST,,,2.0151E+11,2,1,0,0,,,"$325,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/21/15,,BELOW GARAGE ADDITION OF A 1 BEDROOM UNIT BEHIND A PARTIALLY BELOW GRADE (E) GARAGE. ELEC AND PLUMB WORK WILL BE PART OF THE SCOPE. THE PROJECT WILL REMOVE APPROX 438 CUBIC YARDS OF SOIL. SPRINKLER WORK UNDER SEPARATE PERMIT.,ALEXANDE,,,,Haight Ashbury,,Buena Vista,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76223233930, -122.44894397800)"
APN 4275001A,1,BP APPROVED,1/12/15,1318 HAMPSHIRE ST,,,2.01407E+11,2,1,0,0,,,"$269,760.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/31/14,,"REMODEL INTERIOR OF (E) RESIDENTIAL BUILDING, INCLUDING KITCHENS & BATHS. ADD (1) RESIDENTIAL UNIT WITHIN (E) ENVELOPE AT GROUND LEVEL.",EOROPEZA,,,,Mission,Mission (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75099660580, -122.40734378200)"
APN 2652010,1,PL APPROVED,7/10/14,132 CORBETT AV,,2014,,2,1,0,0,,,"$700,000.00 ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/3/14,Variance request to create a second dwelling unit within the rear yard requirement.,,TCHANG,Closed,Closed,Closed,Castro/Upper Market,,Central,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 8,"(37.76186080580, -122.44127466500)"
APN 0499002D,0,PL FILED,1/12/16,1320 - 1380 LOMBARD ST,,2015-001435PRJ,,124,18,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/12/16,"The proposed project will add 16 new studios and 2 one-bedroom units within the existing, underutilized ground floor space of the three-building complex.  The area of alteration is currently used for storage.



The PPA was submitted on 2/5/2015 and the",,ERUSSELL,ENV ON HOLD,ENV ON HOLD,ENV ON HOLD,Russian Hill,Van Ness Corridor,Northeast,65-A,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",SUPERVISORIAL DISTRICT 2,"(37.80176300010, -122.42372989400)"
APN 1774006,0,BP FILED,9/18/14,1321 19TH AV,,,2.01409E+11,2,1,0,0,,,"$35,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/18/14,,REPAIR RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO KITCHEN AND CONVERT G/F TO LEGL DWELLING UNIT UNDER ORDINANCE NO.43-14,NKWIATKO,,,,Outer Sunset,,Outer Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 4,"(37.76306107040, -122.47746598800)"
APN 4218036,1,BP ISSUED,3/17/16,1321 DE HARO ST,,2008,2.00804E+11,3,2,0,0,,,"$900,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1/08,"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.

Rear Yard Variance

","ERECT NEW 3-STORY, 2-FAMILY DWELLING UNITS

* This project has been extensively revised to be only a 2-FAMILY RESIDENCE (R3, NOT R2). MJ 3/10/14",DSANCHEZ,Closed,Closed,Closed,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75313631650, -122.40017151400)"
APN 1801040,1,BP ISSUED,5/7/14,1322 47TH AV,,,2.01104E+11,2,1,0,0,,,"$79,776.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/11/11,,TO COMPLETE WORK AND OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#2000/11/17/5117. ADDITIONAL DWELLING UNIT WAS PREVISOULY APPROVED ON  PA#2000/11/07/5117. CONVERTING EXISTING BASEMENT LEVEL #1 INTO 2ND UNIT.,APUTRA,,,,Outer Sunset,,Outer Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 4,"(37.76183646050, -122.50677280500)"
APN 6942054,1,CONSTRUCTION,3/15/16,1325 OCEAN AV,,,2.01301E+11,2,1,0,0,,,"$600,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/8/13,,EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OVER (E) 2-STORY BUILDING TO ADD 1 (N) RESIDENTIAL UNIT.,TRANNANC,,,,Ocean View,Balboa Park,Ingleside,45-X,NCT,OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 7,"(37.72369602620, -122.45665818200)"
APN 0024020,0,BP FILED,5/17/16,1327 COLUMBUS AV,,2015-006614PRJ,2.01605E+11,1,1,0,0,,,"$1,100,000.00 ",1 FAMILY DWELLING,1592,-594,0,0,0,0,0,-884,0,0,1592,290,0,0,5/17/16,,"TO CONSTRUCT 4 STORIES, NO BASEMENT, SINGLE RESIDENTIAL & RETAIL COMMERCIAL BUILDING.
** MAHER: N/A **",APERRY,Application Accepted,Application Accepted,Application Accepted,Russian Hill,Fisherman's Wharf; Northeast Waterfront,Northeast,40-X,C-2,COMMUNITY BUSINESS,SUPERVISORIAL DISTRICT 2,"(37.80634753450, -122.41932571900)"
APN 4275003,1,CONSTRUCTION,6/29/16,1330 HAMPSHIRE ST,,,2.01504E+11,2,1,0,0,,,"$672,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/1/15,,"SIDE HORIZONTAL & 2 STORY VERTICAL ADDITION TO TRANSFORM (E) SINGLE FAMILY RESIDENCE TO 2 FAMILY RESIDENCE. RENOVATE (E) UNIT TO EXPAND DOWN FOR MASTER SUITE AREA. FACADE RENOVATION, NEW SHARED ENTRY SPACE & NEW PARKING SPACE.",DISALVOJ,,,,Mission,Mission (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75085708830, -122.40737384200)"
APN 4262020A,1,BP FILED,7/13/15,1331 SAN BRUNO AV,,2015-006342PRJ,2.01507E+11,2,1,0,0,,,"$600,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/13/15,,"HORIZONTAL & VERTICAL ADDITION. REPLACE FOUNDATION, BRING FRONT & REAR FACADES LEVEL, MORE FRONT STEPS. CHANGE WINDOWS & DOORS. ADD 3RD STORY @ BACK AT THE HOUSE. ADD DECKS IN BACK 2ND STORY & FRONT 3RD STORY. ADD BATHROOM 3RD STORY.",JIMENEZS,Closed,Closed,Closed,Mission,Showplace Square/Potrero Hill (EN),Mission,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75267377400, -122.40400842300)"
APN 0215023,0,PL FILED,6/30/16,1331 WASHINGTON ST,,2016-004976PRJ,,4,1,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/30/16,Proposed addition of (N) dwelling unit to (E) 3-unit building. Horizontal & vertical expansion. Addition of (N) 4-car garage. Full interior renovation. Current staircase will be rebuilt.,,,,,,Nob Hill,,Northeast,65-A,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",SUPERVISORIAL DISTRICT 3,"(37.79386950470, -122.41530254700)"
APN 1797006,1,BP ISSUED,5/9/16,1333 42ND AV,,,2.01505E+11,3,1,0,0,,,"$16,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/8/15,,(N) KITCHEN ON 1ST FL & CONVERT (E) PLAYROOM TO BEDROOM TO LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14. SPRINKLERS TO NFPA 13 UNDER SEPARATE PERMIT.,NKWIATKO,,,,Outer Sunset,,Outer Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 4,"(37.76177165540, -122.50205153100)"
APN 0697037,0,PL FILED,11/13/13,1333 GOUGH ST / 1481 POST ST,,2005,,231,231,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/15/05,"The project is the construction of a 30-story 231-unit residential tower in addition to the existing 14-story residential building on the block, and consolidation of all residential parking for both buildings in a new below-ground parking structure for 4",,RCOOPER,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Western Addition,Japantown,Western Addition,240-E,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",SUPERVISORIAL DISTRICT 5,"(37.78573381010, -122.42560544300)"
APN 1760009,0,BP FILED,5/6/15,1335 05TH AV,,,2.01505E+11,3,1,0,0,,,"$10,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/6/15,,"LEGALIZE ADDITION UNIT ON 1ST FL PER PLAN (1-BEDROOM, LIVING ROOM, BATHROOM). UNIT LEGALIZATION PER ORIDINANCE 43-14.",NKWIATKO,,,,Inner Sunset,,Inner Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76352069500, -122.46231087200)"
APN 3519063,0,BP FILED,6/26/14,1335 FOLSOM ST,,2013,2.01406E+11,65,65,0,0,,,"$6,000,000.00 ",APARTMENTS,663,-5037,0,0,0,0,0,0,0,-5700,663,663,0,0,9/10/13,"The proposed project would involve demolition of an existing one-story commercial building (constructed in 1923) and construction of a new seven-story, residential building of approximately 65' in height.  The proposed building shall consist of seven res","TO ERECT 7 STORIES, NO BASEMENT, 67 DWELLING UNITS RESIDENTIAL BUILDING. MAHER COMPLIANCE WITH ORDINANCE 155-13 REQUIRED. INTERIM CONTROLS.",RSUCRE,DRP PENDING,DRP PENDING,DRP PENDING,South of Market,Western SoMa (EN); South of Market,South of Market,65-X,NCT,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 6,"(37.77318439180, -122.41191612300)"
APN 0645003,0,PL FILED,7/23/14,1335 LARKIN ST,,2013,2.01403E+11,20,20,0,0,,,"$6,350,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/10/14,Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.,"RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A 6 STORY, 65' TALL, APPROX 35,000 GROSS SQFT RESIDENTIAL BLDG WHICH WILL INCLUDE 20 RESIDENTIAL UNITS W/ DECKS, OPEN SPACE, 18 VEHICLE PKG & 10 BICYCLE PKG",LLYNCH,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Nob Hill,,Northeast,65-A,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 3,"(37.79033011470, -122.41930836400)"
APN 0524031,1,BP ISSUED,1/31/11,1338 FILBERT ST,,2009,2.01009E+11,8,4,0,0,,,"$640,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/21/09,Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.,RENOVATION & REMODEL OF 2 (E) LANDMARK COTTAGES & AN ARTIST'S STUCIO. THIS PERMIT APPLICATION IS TIED TO PA# 2008/10/27/5223 'S'. FOR GARAGE. BLDG A & B FOR THIS PERMIT. (BLDG #1).,TTAM,Closed,Closed,Closed,Russian Hill,,Northeast,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 2,"(37.80011146190, -122.42150353700)"
APN 0480013,0,BP FILED,12/11/15,1339 FRANCISCO ST,,,2.01512E+11,3,1,0,0,,,"$50,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/15,,LEGALIZE (E) INLAW UNIT @ UNIT ON GROUND FL. UNIT LEGALIZATION PER ORDINANCE 43-14. FIRE SPRINKLER GROUND FLOOR UNDER SEPARATE PERMITS,CLARKECO,,,,Marina,,Marina,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 2,"(37.80263865560, -122.42718215800)"
APN 4274005,0,BP FILED,11/30/15,1342 YORK ST,,,2.01511E+11,2,1,0,0,,,"$95,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/30/15,,"COMPLY W/ NOV CES 201248561. CONVERT SINGLE FAMILY DWELLING TO 2 UNITS RESIDENTIAL. 2ND FL: MODIFY (E) ROOF @ REAR, ADD (2) SKYLIGHTS; ADD (N) KITCHEN, REMODEL BATH. GROUND FL: INSTALL 1-HOUR RATED SEPARATION BETWEEN (N) UNIT, GROUND FLOOR REAR ADDITION",DISALVOJ,,,,Mission,Mission (EN),Mission,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 9,"(37.75051962260, -122.40824527100)"
APN 2402034,0,BP FILED,8/3/15,1349 TARAVAL ST,,2015-010714PRJ,2.01508E+11,3,1,0,0,,,"$200,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/3/15,,HORIZONTAL & VERTICAL EXTENSION TO ENLARGE THE 2 UPPER UNITS & GROUND FLOOR COMMERCIAL AREA AND TO ADD A NEW 4TH FLOOR CONDOMINUMUM UNIT.,GORDON-J,ON HOLD,ON HOLD,ON HOLD,Parkside,,Outer Sunset,65-A,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,SUPERVISORIAL DISTRICT 4,"(37.74257986060, -122.48075357000)"
APN 0346002,0,PL FILED,12/31/15,135 HYDE ST,,2015-015203PRJ,,51,51,0,0,,,$0.00 ,,1060,1060,0,0,0,0,0,0,0,0,1060,1060,0,0,12/31/15,"CONVERSION OF EXISTING AUTO REPAIR SHOP TO RESIDENTIAL AND COMMERCIAL SPACE AT FIRST FLOOR, CREATION OF BASEMENT SPACE, AND VERTICAL ADDITION OF 6 STORIES CONTAINING EFFICIENCY UNITS.



The PPA was submitted on 11/13/15 and the 90 day deadline is 2/11/1",,VBYRD,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Downtown/Civic Center,Downtown,Downtown,80-X,C-3-G,DOWNTOWN- GENERAL,SUPERVISORIAL DISTRICT 6,"(37.78214756930, -122.41596571000)"
APN 3794022,1,BP FILED,1/8/16,135 TOWNSEND ST,,2014,2.01601E+11,0,0,0,0,,,"$800,000.00 ",OFFICE,51390,-485,0,0,0,0,49995,49995,0,0,1395,-50480,0,0,8/26/14,"The proposed project would result in the conversion of a current five-story self storage building to a mixed-use building with 960 sqaure-feet of retail, 58 biclycle parking spaces, and 50,710 square-feet of office space.","CHANGE OF USE TO OFFICE OCCUPANCY AND EXTERIOR IMPROVEMENT. WORK INCLUDES INSTALLATION OF NEW G/F STOREFRONT, REH OF THE UPPER FLOOR WINDOWS, A NEW ROOF DECK AND NEW ELEVATOR/STAIRS PENTHOUSE, INTERIOR WORK UNDER PA# 2015/10/16/9929. ** MAHER: N/A **",RSUCRE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,East SoMa (EN),South of Market,105-F,MUO,MIXED USE-OFFICE,SUPERVISORIAL DISTRICT 6,"(37.77980880240, -122.39100191300)"
APN 0212031,1,BP ISSUED,11/19/15,135 WETMORE ST,,,2.01306E+11,5,5,0,0,,,"$2,085,383.00 ",APARTMENTS,4000,2000,0,0,0,0,4000,2000,0,0,0,0,0,0,6/3/13,,"TO ERECT 4 STORIES OVER BASEMENT & FOUR DWELLING UNITS
",EWATTY,,,,Nob Hill,,Northeast,65-A,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",SUPERVISORIAL DISTRICT 3,"(37.79419989050, -122.41064823700)"
APN 0250008,0,PL FILED,3/1/16,1372 PINE ST,,2016-002770PRJ,,30,3,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/16,Addition of three dwelling units to an existing apartment building with 27 existing units.,,SJIMENEZ,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Nob Hill,,Northeast,65-A,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",SUPERVISORIAL DISTRICT 3,"(37.79017462940, -122.41839770300)"
APN 4811011,1,BP FILED,7/3/14,1350 VAN DYKE AV,,2015-000959PRJ,2.01407E+11,0,0,0,0,,,"$500,000.00 ",OFFICE,28142,14649,0,0,0,0,0,0,28142,14649,0,0,0,0,7/3/14,"REMODEL TENANT SUITE INCLUDING DEMOLISTION & CONSTRUCTION CONVERT (E) GROUND FLOOR FROM STORAGE TO PARKING GARAGE CONSTRUCT 2ND FLOOR FOR STORAGE, AN CONSTRUCT NEW 3RD FLOOR VERTICAL ADDITON FOR STORAGE AND OFFICE. NEW STAIR & ELEVATOR. MEHER-COMPLIANCE","REMODEL TENANT SUITE INCLUDING DEMOLISTION & CONSTRUCTION CONVERT (E) GROUND FLOOR FROM STORAGE TO PARKING GARAGE CONSTRUCT 2ND FLOOR FOR STORAGE, AN CONSTRUCT NEW 3RD FLOOR VERTICAL ADDITON FOR STORAGE AND OFFICE. NEW STAIR & ELEVATOR. MEHER-COMPLIANCE",JSPEIRS,Closed,Closed,Closed,Bayview,Bayview Hunters Point,South Bayshore,40-X,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.72663143970, -122.38741730300)"
APN 8719002,1,CONSTRUCTION,1/14/15,1351 03RD ST,,,2.0111E+11,0,0,0,0,,,"$164,000,000.00 ",OFFICE,264000,264000,0,0,0,0,264000,264000,0,0,0,0,0,0,10/6/11,,"ERECT 6 STORIES BUILDING OF POLICE HEADQUARTERS, FIRE STATION.",PARCE,,,,South of Market,,South of Market,OS,MB-OS,MISSION BAY OPEN SPACE,SUPERVISORIAL DISTRICT 6,"(37.77471558290, -122.38878744000)"
APN 4788020A,0,BP FILED,12/15/15,1351 REVERE AV,,,2.01512E+11,3,1,0,0,,,$1.00 ,APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/15/15,,"REVISE APPLN #201507010461 LEGALIZE (E) KITCHEN ON THE ROUND FL TO LEGALIZE ILLEGAL UNITS PER PLAN. COMPLY W/ NOV #201553041, #201569651, #201553052 PER ORD 43-14.",SAMONSKY,,,,Bayview,Bayview Hunters Point,South Bayshore,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.72884117780, -122.38571764500)"
