Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
871016,1844 Market St,Market Octavia,CONSTRUCTION,17-Jul-07,113,"The proposed project is demolition of a 3-story 6,400-gsf office building and construction of a 7-story 140,380-gsf mixed use residential structure in two buildings with shared basement parking, and a podium courtyard, spanning the midblock approaching th","TO ERECT 8 STORIES, 113 DWELLING UNITS OF RESIDENTIAL / RETAIL / PARKING / ASSEMBLY.",Neighborhood Commercial Zoning Districts,NCT-3,248,5100,,,,,5100,,2004.0892,200607146588,1-Jun-05,14-Jul-06,85-X,NCT-3,1-Jun-05,-122.424217,37.771347,593,,Mixres,-1,Construction,13,113,3033,-1071,0,-996,0,5100,0,,24262,871,16,83,83,NCT-3,85-X,8,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
872005,1960-1998 Market St,Market Octavia,BP Filed,21-Dec-10,115,"Demolition/removal of gas station.  Construction of 115 condominium units (130,000 square feet), 9,000 square feet of retail, 109 parking spaces.  The building would be approximately 85 feet tall and eight stories in height.
1/11/07 Demolition/removal of ","TO ERECT 9 STORIES, 114 RESIDENTIAL UNITS WITH RETAIL & PARKING BUILDING.",Neighborhood Commercial Zoning Districts,NCT-3,243,9000,,,,,9000,,2010.1018,201012217106,29-May-07,,85-X,NCT-3,29-May-07,-122.425974,37.770026,594,,Mixres,-1,BP Filed,6,115,9000,,,,,9000,,,21141,872,5,96,71,NCT-3,85-X,8,Overtime Partners LLC,Brian Spiers,415-445-4670,Brian Spiers 415-445-4670,San Francisco CA 94111,"388 Market Street, Suite 1300"
1160005,2000 Mcallister St,Western Addition,BP ISSUED,20-Jul-11,3,,"DEMOLISH SINGLE FAMILY DWELLING (200705312677)
ERECT A NEW 4 STORY RESIDENTIAL/RETAIL BUILDING",Residential Zoning Districts,RH-3,275,2342,,,,,2342,,2009.0036,200705312676,14-Jan-09,31-May-07,40-X,RH-3,31-May-07,-122.445171,37.777034,623,,Mixres,-1,BP Approved/Issued/Re-Instated,11,2,2342,,,,,2342,,,2793,1160,5,,,RH-3,40-X,5,,Yvonne Ho,415-999-8092,Yvonne Ho 415-999-8092,"San Francisco, CA 94112",219 Faxon Avenue
1386015,279 26th Av,Richmond,CONSTRUCTION,22-Jun-09,3,,"HORIZONTAL & VERTICAL ADDITION TO (E) BUILDING, ADD ONE MORE UNIT - FROM 2 UNITS TO 3 UNITS.",Residential Zoning Districts,RM-1,314,0,0,0,0,0,0,0,,200605091174,,9-May-06,40-X,RM-1,9-May-06,-122.486284,37.784324,638,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2937,1386,15,,,RM-1,40-X,2,,,,,,
1018012,3657 Sacramento St,Richmond,PL Filed,20-Nov-07,18,"Demolish existing garage and medical office buildings and construct a new 4-story building with 18 residential units, offices, retail, and 3 levels of underground parking.",,Neighborhood Commercial Zoning Districts,SACRAMENTO,718,0,0,,,,0,,2007.1347,,20-Nov-07,,40-X,SACRAMENTO,20-Nov-07,-122.452829,37.7873,661,,Resident,0,Planning Filed,2,18,0,,,0,,0,,,14622,1018,12,,,SACRAMENTO,40-X,2,Gary Gee Architects,Gary Gee,863-8881,Gary Gee 863-8881,"San Francisco, 94103",98 Brady Street # 8
1028003,2829 California Street,Western Addition,PL Approved,17-Jan-08,12,"The proposed project would demolish the existing two-story building on the site and construct a four-story consisting of 12 residential units, 4,924 sq. ft. of retail, 2,281 sq. ft. of office, and 18 parking spaces. The building would be approximately 40 ",,Neighborhood Commercial Zoning Districts,NC-2,714,7205,2281,0,0,0,4924,0,2006.1525,,30-Jan-07,,40-X,NC-2,30-Jan-07,-122.44096,37.787871,678,,Mixres,-1,PL Approved,5,12,373,0,0,-4551,0,4924,0,,10580,1028,3,18,,NC-2,40-X,5,Bayside Homes,Ray Steffen,415-902-5566,Ray Steffen 415-902-5566,San Francisco CA 94108,"250 Sutter Street, #600 "
1028028,2829 California St,Western Addition,CONSTRUCTION,30-Aug-11,12,"The proposed project would demolish the existing two-story building on the site and construct a four-story consisting of 12 residential units, 4,924 sq. ft. of retail, 2,281 sq. ft. of office, and 18 parking spaces. The building would be approximately 40 ",New 4 story building 12 DWELLING UNITS to be constructed above Basement Garage.,Neighborhood Commercial Zoning Districts,NC-2,714,7205,2281,,,,4924,,2007.0543,200710316994,,31-Oct-07,40-X,NC-2,31-Oct-07,-122.44096,37.787871,682,,Mixres,-1,Construction,13,12,112,,,-4812,,4924,,,7555,1028,28,,,NC-2,40-X,5,Bayside Homes,Ray Steffen,415-902-5566,Ray Steffen 415-902-5566,San Francisco CA 94108,"250 Sutter Street, #600 "
1029003,2901 California St,Western Addition,PL Approved,16-Jun-09,0,"The proposed project would demolish the existing 40-foot tall 5,225 sf, three-unit residential building and construct a new three-story assembly and classroom wing consisting of 15,604 sf to the existing adjacent Drew School campus. The new building would",,Residential Zoning Districts,RM-1,714,42074,0,42074,0,0,0,0,2007.0128,,5-Aug-08,,40-X,RM-1,5-Aug-08,-122.442235,37.787712,683,,CIE,-1,PL Approved,5,-3,15604,15604,0,0,0,0,0,,17903,1029,3,21,0,RM-1,40-X,2,Drew School,Samuel Cuddeback III,415-409-3739,Samuel Cuddeback III 415-409-3739,San Francsico CA 94118,2901 California Street
1052024,2655 Bush St,Western Addition,PL Approved,10-Oct-08,84,"Demolition of existing convalescent care facility and construction of 84 residential dwelling units and 4,500 sq. ft. of retail. Building would be 40' and 65' in height and would total 168,900 sq. ft. with 126 parking spaces. ",,Neighborhood Commercial Zoning Districts,NC-3,715,4500,,,,,4500,,2005.1106,,29-Apr-08,,40-X/65-A,NC-3,29-Apr-08,-122.440927,37.785933,691,,Mixres,-1,PL Approved,5,84,-40617,0,-45117,0,0,4500,0,,33520,1052,24,126,126,NC-3,40-X/65-A,5,2655 Bush LLC,Ernest McNabb,415-387-7000,Ernest McNabb 415-387-7000,San Francisco CA 94121,558 28th Ave. #201
1066028,3150 Geary Bl,Richmond,CONSTRUCTION,17-Sep-07,8,"The proposed project involves the demolition of existing 2,850 gsf restaurant and construction of a 13,900 gsf residential building containing 7 dwelling units, 2,270 gsf of retail space and 7 off-street parking spaces.",ERECT A 4 STORIES 7 UNITS RESIDENTIAL BLDG WITH COML,Neighborhood Commercial Zoning Districts,NC-3,686,580,0,0,0,0,580,0,2003.0263,200207171660,25-Sep-03,17-Jul-02,40-X,NC-3,17-Jul-02,-122.452704,37.781987,699,,Mixres,-1,Construction,13,8,580,0,0,0,0,580,0,,5434,1066,28,7,7,NC-3,40-X,2,,Richard Wong,510.524.3040,Richard Wong 510.524.3040,"El Cerrito, CA  94530",8441 Terrace Drive
1069004,21 Wood St,Richmond,BP ISSUED,1-Aug-08,2,DEMOLITION SFD,"ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING",Residential Zoning Districts,RH-2,687,0,0,0,0,0,0,0,2006.0157,200602134511,29-May-07,13-Feb-06,40-X,RH-2,13-Feb-06,-122.448837,37.783935,702,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,0,0,0,0,0,0,,2967,1069,4,,,RH-2,40-X,2,,Arkady Berger,415-948-5892,Arkady Berger 415-948-5892,"San Francisco, CA  94121",5427 Geary Boulevard
1073008,2608 Post St,Richmond,BP REINSTATED,26-Feb-08,1,"Construction of a 4-story, 40-foot high, 4,485 sqft 2-unit building at front of lot. Single-family dwelling existing and rear of lot and will remain.",ERECT 1 2-STORY TYPE 5 BUILDING,Residential Zoning Districts,RH-3,311,0,,,,,,,2008.0388,200605312874,30-Jun-09,31-May-06,40-X,RH-3,31-May-06,-122.444894,37.783775,704,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,4063,1073,8,,,RH-3,40-X,2,Louis Felthouse Architect Inc.,Louis Felthouse,922-5668,Louis Felthouse 922-5668,"S.F., CA  94103","1663 Mission, Suite 520"
1073013,800 Presidio Av,Richmond,PL Approved,28-Apr-11,83,"The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground fl",,Residential Zoning Districts,RM-1,311,21500,0,21500,0,0,0,0,2006.0868,,12-Nov-08,,40-X/50-X,RM-1,12-Nov-08,-122.446112,37.784362,705,,Mixres,-1,PL Approved,5,83,10180,10180,0,0,0,0,0,,22160,1073,13,46,43,RM-1,40-X/50-X,2,Booker Washington Community Center,Patricia  Scott,415-928-6596,Patricia  Scott 415-928-6596,San Francisco CA 94115,800 Presidio Ave. 
1080008,1419 Broderick St,Western Addition,BP Filed,21-Feb-07,3,,VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.,Residential Zoning Districts,RH-3,310,0,0,0,0,0,0,0,,200702214545,,21-Feb-07,40-X,RH-3,21-Feb-07,-122.441341,37.78332,710,,Resident,0,BP Filed,6,2,0,0,0,0,0,0,0,,2500,1080,8,,,RH-3,40-X,2,,,,,,
1084001B,1 Stanyan Street,Richmond,BP Filed,14-Dec-07,13,"The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height.","ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING",Neighborhood Commercial Zoning Districts,NC-3,288,1700,,,,,1700,,2007.0113,200712140534,30-Jan-07,14-Dec-07,40-X,NC-3,30-Jan-07,-122.456337,37.781257,714,,Mixres,-1,BP Filed,2,13,-1807,,,,,-1807,,,7603,1084,001B,14,14,NC-3,40-X,1,,John  McInerney Esq.,415-350-1750,John  McInerney Esq. 415-350-1750,"San Francisco, CA  94115",1600 Webster Street
1098009,1401 Divisadero St,Western Addition,BP Filed,21-Dec-06,0,"Conditional Use authorization request to allow demolition of existing mixed-use building and construction of a new 75,000 square foot medical office building.",TO DEMOLISH 21 DWELLING UNIT WITH COMMERCIAL SPACE,Neighborhood Commercial Zoning Districts,NC-2,670,74000,74000,0,0,0,0,0,2007.0094,200612210404,24-Jan-07,21-Dec-06,105-E,NC-2,21-Dec-06,-122.439402,37.782505,721,,MIPS,-1,BP Filed,6,-21,57000,0,0,57000,0,0,0,,23389,1098,9,,,NC-2,105-E,5,Luce Forward Hamilton & Scripps,Alice Barkley,415-356-4635,Alice Barkley 415-356-4635,"San Francisco, CA  94105","121 Spear Street, Suite 200"
1101007,1301 Divisadero St,Western Addition,PL FILED,1-Sep-10,32,,,Neighborhood Commercial Zoning Districts,NC-2,670,0,,,,,,,,,,,65-A,NC-2,,-122.439229,37.781605,722,,Resident,0,Planning Filed,,32,-13264,0,0,0,-9064,-4200,0,,12375,1101,7,,,NC-2,65-A,5,,,,,,
1127007,1816 Eddy St,Western Addition,CONSTRUCTION,8-Oct-10,19,,"TO ERECT 6 STORiES, 19 DWELLING S UNITS",Residential Zoning Districts,RM-3,671,0,,,,,,,,200806275595,,27-Jun-08,65-A,RM-3,27-Jun-08,-122.437677,37.780881,727,,Resident,-1,Construction,13,19,0,,,,,,,,6545,1127,7,,,RM-3,65-A,5,,,,,,
1145003,2130 Fulton St,Western Addition,BP ISSUED,10-Jan-11,0,,TO ERECT 5 STORIES EDUCATION BUILDING.,Residential Zoning Districts,RH-2,614,26000,,26000,,,,,2008.0395,201008068321,,6-Aug-10,80-D,RH-2,6-Aug-10,-122.451879,37.775253,731,,CIE,-1,BP Approved/Issued/Re-Instated,11,0,26000,26000,,,,,,,813332,1145,3,,,RH-2,80-D,1,University of San Francisco ,Kristy Vivas Clemmens,422-2800,Kristy Vivas Clemmens 422-2800,"San Francisco, CA  94117-1080",2130 Fulton Street
1152017,1870 Golden Gate Av,Western Addition,BP Filed,30-Nov-07,3,,"TO ERECT 4 STORIES, 3 UNITS APARTMENTS & GARAGE.",Residential Zoning Districts,RM-1,278,0,,,,,,,,200711309388,,30-Nov-07,40-X,RM-1,30-Nov-07,-122.44135,37.778509,735,,Resident,0,BP Filed,6,3,0,,,,,,,,2450,1152,17,,,RM-1,40-X,5,,,,,,
1198004,417 Lyon St,Western Addition,BP ISSUED,17-Mar-09,2,,"PROJECT INCREASES TOTAL IN BLDG TO 2 UNITS. NEW GARAGE & ONE BEDRM, BATH UNIT IN (E) BASEMENT. THE F",Residential Zoning Districts,RH-3,256,0,,,,,,,,200804250691,,25-Apr-08,40-X,RH-3,25-Apr-08,-122.442964,37.774554,747,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,2836,1198,4,,,RH-3,40-X,5,,,,,,
1198028,560 Central Av,Western Addition,CONSTRUCTION,17-Nov-09,2,,NEW VERTICAL ADDITION (NEW 3RD FLOOR) CREATING A NEW DWELLING UNIT,Residential Zoning Districts,RH-3,256,0,,,,,,,,200808270161,,27-Aug-08,40-X,RH-3,27-Aug-08,-122.444355,37.774715,751,,Resident,-1,Construction,13,1,0,,,,,,,,2000,1198,28,,,RH-3,40-X,5,,,,,,
1226028,1949 Oak St,Buena Vista,BP ISSUED,19-Aug-08,5,Rear yard and parking variance,"HORIZONTAL ADDITION: NEW DECK AT REAR ON 2ND FLOOR, INTERIOR REMODEL RESTORATION OF (E) STRUCTURE & ",Residential Zoning Districts,RM-2,240,0,,,,,,,2007.1344,200711137942,20-Nov-07,13-Nov-07,40-X,RM-2,13-Nov-07,-122.45138,37.771213,765,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0,,,,,,,,3438,1226,28,,,RM-2,40-X,5,William Duff Architects,Chesney Floyd,371-0900,Chesney Floyd 371-0900,"San Francisco, CA 94108","26 O' Farrell, Floor 2"
1228005,690 Stanyan St,Buena Vista,PL APPROVED,23-Oct-08,56,"Demolish existing one-story retail and mezzanine containing approximately 23,600 sq. ft. and construct a new 62 unit residential structure with 34,400 sq. ft. of groundfloor retail. Two stories of underground parking would also be proposed for 176 total p","ERECT TYPE 1, 4 STORIES, 56 DWELLING UNITS & COMMERCIAL BUILDING.",Neighborhood Commercial Zoning Districts,HAIGHT,240,34400,0,0,0,0,34400,0,2006.046,200602154713,2-May-06,15-Feb-06,40-X,HAIGHT,15-Feb-06,-122.453469,37.769382,766,,Mixres,-1,PL Approved,6,56,10800,0,0,0,0,10800,0,,34671,1228,5,176,129,HAIGHT,40-X,5,"690 Stanyan Street, LLC",John Brennan,415-216-5290,John Brennan 415-216-5290,San Francisco CA 94117,"425 Divisadero Street, Ste 305"
1288005,1427 Shrader St,Buena Vista,CONSTRUCTION,24-Aug-11,2,Horizontal and vertical addition; modification to the facade.  Addiing one more unit.  ,VERTICAL & HORIZONTAL ADDITION: REMODEL OF THE EXISTING STRUCTURE & CONSTRUCTION OF AN ADDITION TO I,Residential Zoning Districts,RH-2,210,0,,,,,,,2008.1087,200808068583,17-Sep-08,6-Aug-08,40-X,RH-2,6-Aug-08,-122.450863,37.762055,802,,Resident,-1,Construction,13,1,0,,,,,,,,2500,1288,5,,,RH-2,40-X,5,Babac Doane,Babac Doane,,Babac Doane ,,
1364008,143 04th Av,Richmond,BP Filed,26-Sep-07,2,,ONE UNIT ADDITION TO EXISTING SINGLE FAMILY RESIDENCE. ADDITION OF 4TH FLOOR AND INTERIOR REMODEL.,Residential Zoning Districts,RH-2,324,0,,,,,,,,200709263787,,26-Sep-07,40-X,RH-2,26-Sep-07,-122.46267,37.786092,821,,Resident,0,BP Filed,6,1,0,,,,,,,,3028,1364,8,,,RH-2,40-X,2,,,,,,
1364048,4201 California St,Richmond,BP ISSUED,9-Jun-10,6,"Demolish 850-square foot service station on parking lot for 10 cars and construct 3-story, 6-unit residential over commercial building in excess of 10,000 sq ft.",TO ERECT A NEW 4 STORY 6 UNIT BUILDING WITH RETAIL SPACE,Neighborhood Commercial Zoning Districts,NC-1,324,10000,0,0,0,0,10000,0,2006.0851,200607186846,29-Sep-06,18-Jul-06,40-X,NC-1,18-Jul-06,-122.462539,37.785174,822,,Mixres,-1,BP Approved/Issued/Re-Instated,11,6,9150,0,0,0,-850,10000,0,,4855,1364,48,6,-4,NC-1,40-X,1,,Gerry Agosta,377-3245,Gerry Agosta 377-3245,"San Francisco, CA  94131",771 - 27th Street
1368049,4614 California St,Richmond,BP Filed,23-Jan-07,0,"Demolition of 4620 and 4614 California Street, and the construction of a new pre-school and administration building.",TO ERECT FOUR STORY PRE-SCHOOL AND ADMINISTRATION NEW BUILDING,Residential Zoning Districts,RM-1,722,21885.97229,10942.97229,10943,0,0,0,0,2002.0605,200701232361,28-May-03,23-Jan-07,40-X,RM-1,28-May-03,-122.466937,37.784843,828,,Mixed,-1,BP Filed,5,0,13686,2743,0,10943,0,0,0,,9948,1368,49,,,RM-1,40-X,2,St. James Episcopal Church,Mary Moore-Gaines,415-751-1198,Mary Moore-Gaines 415-751-1198,"San Francisco, CA  94118",4614 California Street
1371039,112 12th Av,Richmond,CONSTRUCTION,12-Sep-11,2,,HORIZONTAL ADDITION AND REMODELING TO CHANGE FROM ONE SINGLE FAMILY TO 2 FAMILY RESIDENCES,Residential Zoning Districts,RH-2,722,0,0,0,0,0,0,0,,200702053335,,5-Feb-07,40-X,RH-2,5-Feb-07,-122.47092,37.786009,831,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,3037,1371,39,,,RH-2,40-X,1,,,,,,
1417003A,227 16th Av,Richmond,BP ISSUED,17-Oct-07,2,NEW CONSTRUCTION OF 2-UNIT BUILDING,"ERECT 4 STORY, TYPE 5, 2 UNITS RESIDENTIAL BUILDING.",Residential Zoning Districts,RH-2,306,0,0,0,0,0,0,0,2006.0328,200512281113,28-Feb-06,28-Dec-05,40-X,RH-2,28-Dec-05,-122.475498,37.783712,847,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3000,1417,003A,,,RH-2,40-X,1,Geddes Ulinskas Architects,Geddes Ulinskas,415 904 0483,Geddes Ulinskas 415 904 0483,San Francisco CA 94105,52 2nd Street
1432005,331 Arguello Bl,Richmond,BP ISSUED,16-May-08,2,2 new condominiums,"Add 1 unit to (E) SFD to become 2FD to include: remodeling 1st flr, new parking in (E) garage; closi",Residential Zoning Districts,RM-2,312,0,,,,,,,2008.1322,200712211157,,21-Dec-07,40-X,RM-2,21-Dec-07,-122.459286,37.784499,855,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,3018,1432,5,,,RM-2,40-X,1,Herzig & Berlese,Margaret Berlese,415 861 8800,Margaret Berlese 415 861 8800,"San Francisco, CA 94102","414 Gough St, Suite 5"
1450007,339 18th Av,Richmond,BP Filed,27-Jun-08,2,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be cons,"ERECT A 3 STORIES, 2 FAMILY DWELLING",Residential Zoning Districts,RH-2,297,0,,,,,,,2004.0482,200806275518,1-Jun-04,27-Jun-08,40-X,RH-2,1-Jun-04,-122.477495,37.781576,873,,Resident,0,BP Filed,6,2,0,,,,,,,,40074,1450,7,132,132,RH-2,40-X,1,Alexandria Real Estate Equities,Terezia  Nemeth,415-554-8847,Terezia  Nemeth 415-554-8847,"San Francisco, CA 94158","1700 Owens Street, Suite 500"
1450008,5400 Geary Bl,Richmond,PL FILED,18-Apr-07,39,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be cons,"ERECT  A 4 STORIES, 39 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE.)",Neighborhood Commercial Zoning Districts,NC-3,297,2500,,,,,2500,,2004.0482,200806275522,1-Jun-04,27-Jun-08,40-X,NC-3,1-Jun-04,-122.477372,37.780557,874,,Mixres,0,Planning Filed,2,39,-10748,0,0,0,0,-10748,0,,40074,1450,8,132,132,NC-3,40-X,1,Alexandria Real Estate Equities,Terezia  Nemeth,415-554-8847,Terezia  Nemeth 415-554-8847,"San Francisco, CA 94158","1700 Owens Street, Suite 500"
1453033,346 22nd Av,Richmond,BP APPROVED,6-Jul-10,1,,2 FAMILY RESIDENCES ADDITION & REMODELING,Residential Zoning Districts,RM-1,677,0,0,0,0,0,0,0,,200505273609,,27-May-05,40-X,RM-1,27-May-05,-122.481432,37.781273,878,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,0,0,0,0,0,0,,2991,1453,33,,,RM-1,40-X,1,,,,,,
1456005,435 24th Av,Richmond,BP Filed,6-Nov-07,3,"Demlosh existing 2-story, 1,400 sqft single-family residence and construct new 4-story, 6,000 sqft 3-unit residential building at 40-feet in height with 3 off-street parking spaces.","ERECT 4-STORY, 3 DWELLING UNITS BUILDING.",Residential Zoning Districts,RM-1,661,0,,,,,,,2008.0017,200711067465,7-Jan-08,6-Nov-07,40-X,RM-1,6-Nov-07,-122.48392,37.781356,880,,Resident,-1,BP Filed,6,2,0,,,,,,,,3000,1456,5,,,RM-1,40-X,1,,Van Ly,468-3222,Van Ly 468-3222,San Francisco 94134,8 Brussels Street
1460024,411 28th Av,Richmond,BP Filed,15-Apr-08,2,,"Add 2 stories over(e) 2 story S.F.D.convert into 2 units.1st flr: retain 2 car parking,bedrm,fam, ba",Residential Zoning Districts,RH-2,660,0,,,,,,,,200804159772,,15-Apr-08,40-X,RH-2,15-Apr-08,-122.488225,37.781507,890,,Resident,0,BP Filed,6,1,0,,,,,,,,1650,1460,24,,,RH-2,40-X,1,,,,,,
1466009,451 34th Av,Richmond,PL Approved,16-Jul-09,2,"Vertical and horizontal addition of a 2-story single-family residence. Proposed 3-story with basement, 2-unit resindetial building.",,Residential Zoning Districts,RH-2,295,0,,,,,,,2008.0872,,24-Jul-08,,40-X,RH-2,24-Jul-08,-122.494603,37.780587,898,,Resident,-1,PL Approved,3,1,0,,,,,,,,3000,1466,9,,,RH-2,40-X,1,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
1505026,538 40th Av,Richmond,BP Filed,3-Jul-08,2,Horizontal addition at the rear and one story vertical addition flush with facade.  Addition of a dwelling unit for a total of 2 DUs.,"HORIZONTAL & VERTICAL ADDITION, REMODEL EXISTING TWO STORY SINGLE FAMILY HOUSE TO TWO FAMILY THREE S",Residential Zoning Districts,RH-2,294,0,,,,,,,2008.1031,200807035957,27-Aug-08,3-Jul-08,40-X,RH-2,3-Jul-08,-122.500534,37.778526,906,,Resident,-1,BP Filed,6,1,0,,,,,,,,2964,1505,26,,,RH-2,40-X,1,,Carson Yu,415-871-8278,Carson Yu 415-871-8278,"San Francisco, CA  94132",P.O. Box 320175
1505027,536 40th Av,Richmond,BP ISSUED,11-Aug-09,2,"2007.0179: The proposal would demolish an existing single-family building constructed in 1906, and construct a new two-unit residential building.
2008.0271: new 4 story, 2 unit building",TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential Zoning Districts,RH-2,294,0,,,,,,,2008.0271,200608179803,6-Mar-08,17-Aug-06,40-X,RH-2,17-Aug-06,-122.500535,37.778556,907,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,2964,1505,27,,,RH-2,40-X,1,,William  Pashelinsky,415-379-3676,William  Pashelinsky 415-379-3676,"San Francisco, CA 94117",1937 Hayes Street
1510013,563 34th Av,Richmond,BP ISSUED,1-Jul-10,2,Addition of 1 unit and square footage to existing single-family residence.,"HORIZONTAL & VERTICAL ADDITION FROM SINGLE FAMILY DWELLING TO TWO UNITS RESIDENTICAL, TWO STORY TO F",Residential Zoning Districts,RH-2,279,0,,,,,,,2009.0366,200810295438,11-May-09,29-Oct-08,40-X,RH-2,29-Oct-08,-122.494454,37.778483,911,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,3000,1510,13,,,RH-2,40-X,1,Wing Lee Architects,Wing Lee,297-6493,Wing Lee 297-6493,"San Francisco, CA 94124",1403 Hudson Ave
1517030,520 28th Av,Richmond,BP REINSTATED,4-Dec-08,3,"Existing 2-story SFD approx. 1500 sqft with 1 off-street parking space. Proposed 4-story 40' in height 3-unit over ground floor parking with approx 6,000 sqft.",TO ERECT 4 STORY 3 FAMILY DWELLING,Residential Zoning Districts,RM-1,280,0,,,,,,,2008.0663,200706143970,4-Jun-08,14-Jun-07,40-X,RM-1,14-Jun-07,-122.487732,37.779397,920,,Resident,-1,BP Approved/Issued/Re-Instated,8,2,0,,,,,,,,2989,1517,30,,,RM-1,40-X,1,,Cyril Hackett,415-595-1478,Cyril Hackett 415-595-1478,"San Francisco, CA 94114",PO Box 14410
1534026,474 11th Av,Richmond,BP Filed,10-Mar-08,2,Horizontal and Vertical (2 stories) addition and creation of a second unit.  ,CONVERT SINGLE FAMILY DWELLING TO 2 UNITS BY HORIZONTAL EXTENSION IN FRONT AND REAR AND 2 FLOOR VERT,Residential Zoning Districts,RH-2,284,0,,,,,,,2008.1151,200803106731,30-Sep-08,10-Mar-08,40-X,RH-2,10-Mar-08,-122.469374,37.77942,933,,Resident,-1,BP Filed,6,1,0,,,,,,,,2982,1534,26,,,RH-2,40-X,1,Hood Thomas  Architects,John Hood,415-385-2303,John Hood 415-385-2303,"San Francisco, CA 94105",440 Spear Street
1537027,470 08th Av,Richmond,BP Filed,18-Sep-06,3,"Addition and alteration to existing three unit building built in 1907.  Addition to front, rear and vertically.","REAR, FRONT & VERTICAL ADDITION TO EXISTING BUILDING INCLUDING ALTERATIONS TO EXISTING BUILDING PORTIONS TO REMAIN. ELECTGRICAL & PLUMBING BY SEPERATE PERMIT.",Residential Zoning Districts,RM-1,285,0,0,0,0,0,0,0,2007.0316,200609182560,2-Apr-07,18-Sep-06,40-X,RM-1,18-Sep-06,-122.466156,37.779622,943,,Resident,-1,BP Filed,6,2,0,0,0,0,0,0,0,,3022,1537,27,,,RM-1,40-X,1,Mock/Wallace,Lawrence  Mock,415-626-6868,Lawrence  Mock 415-626-6868,"San Francisco, CA 94110",1108 Bryant Street 
1570003A,633 27th Av,Richmond,CONSTRUCTION,21-Jul-11,2,"Addition to existing 2,440 sqft single-family home at 20 feet in height with 2 parking spaces. The new addition result would include a 4,666 sqft residence 2-unit residence at 40 feet in height.",REMODEL EXISTING 2 STORY INTO 3 STORY W/  NEW BASEMENT/ ADD I UNIT/,Residential Zoning Districts,RH-2,274,0,,,,,,,2007.1336,200709284059,19-Nov-07,28-Sep-07,40-X,RH-2,28-Sep-07,-122.486861,37.777377,973,,Resident,-1,Construction,13,1,0,,,,,,,,2808,1570,003A,,,RH-2,40-X,1,,Ivan Azerbegi,415.335.2603,Ivan Azerbegi 415.335.2603,"Tiburon, CA 94920","48 Lyford Drive, #3"
