Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,building_type_id,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
2039044,427 Moraga St,Inner Sunset,BP Filed,3-Jul-08,14,2,,"NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT",Residential,RH-2,513,0,,,,,,,,200807035945,,3-Jul-08,40-X,RH-2,3-Jul-08,-122.467188,37.756377,1206,Resident,0,BP Filed,6,1,0,,,,,,,,2467,2039,44,,,7,,,,,,
2040001,1701 09th Av,Inner Sunset,CONSTRUCTION,2-Mar-12,4,6,"Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.",Multiple Permits,Residential,RH-2,513,0,,,,,,,2009.0129,200904065665,24-Feb-09,6-Apr-09,40-X,RH-2,24-Feb-09,-122.465946,37.756362,1208,Resident,-1,Construction,13,6,4595,,,,,4595,,,5331,2040,1,,,7,,Roman Rettner,415.867.2181,Roman Rettner 415.867.2181,"San Francisco, CA 94127",120 Manor Drive
2094005,3223 Ortega St,Outer Sunset,CONSTRUCTION,20-May-11,12,0,"Demolish most of the existing library, move the site closer to Ortega Street, and build a new approximately 8,500 sq.ft. single story library in a P zone with an OS land designation.",CONSTRUCTION OF A NEW ONE STORY WOOD FRAME NON-RATED BRANCH LIBRARY.,Public,P,496,8500,,8500,,,,,2008.0434,200810245075,3-Sep-08,24-Oct-08,OS/40-X,P,3-Sep-08,-122.49805,37.751287,1221,CIE,-1,Construction,13,0,8500,8500,,,,,,,1007628,2094,5,,,4,Branch Library Improvement Prog.,Mindy Linetzky,557-4662,Mindy Linetzky 557-4662,"San Francisco, CA 94102",100 Larkin Street
2330005E,2243 19th Av,Outer Sunset,BP ISSUED,3-Jul-08,14,1,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM",Residential,RH-2,136,0,0,0,0,0,0,0,,200411098885,,9-Nov-04,40-X,RH-2,9-Nov-04,-122.476036,37.745933,1231,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3029,2330,005E,,,4,,,,,,
2347004G,2350 19th Av,Inner Sunset,BP REINSTATED,18-Nov-11,4,10,"The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.",Multiple Permits,Residential,RH-2,115,0,,,,,,,2007.0178,200708079019,16-Feb-07,7-Aug-07,40-X,RH-2,16-Feb-07,-122.475558,37.743958,1233,Resident,-1,BP Approved/Issued/Re-Instated,8,10,0,,,,,,,,12500,2347,004G,,,7,"Jeffer, Mangels, Butler & Marmaro",David Cincotta,415-398-8080,David Cincotta 415-398-8080,"San Francisco, CA 94111","Two Embarcadero Center, 5th Floor"
2349036,2322 21st Av,Outer Sunset,BP ISSUED,8-Nov-11,14,2,,"VERTICAL AND HORIZONTAL ADDITION, CONVERT 2 STORY SINGLE FAMILY DWELLING INTO 4 STORY, 2 UNITS. GROU",Residential,RH-2,452,0,,,,,,,,200806033455,,3-Jun-08,40-X,RH-2,3-Jun-08,-122.477759,37.744283,1236,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,3000,2349,36,,,4,,,,,,
2394046,2115 Taraval St,Outer Sunset,BP APPROVED,15-Aug-11,9,2,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.","TO ERECT 4 STORIES, 2 UNITS, MIXED USE BUILDING.",Mixed Use,NC-2,435,2000,1000,,,,1000,,2008.0794,201007146550,17-Jun-09,14-Jul-10,50-X,NC-2,17-Jun-09,-122.488777,37.742335,1246,Mixres,-1,BP Approved/Issued/Re-Instated,9,2,1000,,,1000,,0,,,2500,2394,46,,,4,,Kevin Ma,415.279.1578,Kevin Ma 415.279.1578,"San Francisco, CA 94109",1359 Broadway
2716056,170-180 Yukon Street,Central,CONSTRUCTION,2-Nov-10,14,2,The proposal is to construct a new two-unit building with two parking spaces on a vacant lot.,"ERECT 2-STORY, 1 BASEMENT AND 2 DWELLING UNITS BUILDING.",Residential,RH-2,196,0,,,,,,,2007.0593,200705252312,18-Jun-07,25-May-07,40-X,RH-2,25-May-07,-122.442446,37.757282,1324,Resident,-1,Construction,13,2,0,,,,,,,,4221,2716,56,2,2,8,reza@siaconsulting.com,Reza Knoshnevisan,922-0200,Reza Knoshnevisan 922-0200,"San Francisco, CA 94103",1256 Howard Street
2719B003,125 Crown Tr,Central,BP Filed,27-Mar-08,14,1,Mnadatory DR for demo/new construction,NEW SINGLE FAMILY RESIDENCE,Residential,RH-1,177,0,,,,,,,2008.116,200803278181,2-Oct-08,27-Mar-08,40-X,RH-1,27-Mar-08,-122.446899,37.757425,1327,Resident,0,BP Filed,6,1,0,,,,,,,,3735,2719B,3,,,8,Riddle Associates,Bill Riddle,415.467.6635,Bill Riddle 415.467.6635,"Brisbane, CA 94005",7 Lemming Way
2752024,331 Collingwood St,Central,BP Filed,13-Jan-06,14,1,,ERECT 2 STORIES SINGLE FAMILY DWELLING,Residential,RH-2,179,0,0,0,0,0,0,0,,200601132095,,13-Jan-06,40-X,RH-2,13-Jan-06,-122.435594,37.75715,1335,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,3716,2752,24,,,8,,,,,,
2768007,446 Diamond St,Central,BP ISSUED,18-Nov-08,14,2,"Addition of a single-story garage to the front of the existing 3-story, 2,253 sqft single-family dwelling. Convert existing garage into new unit. Rearyard horizontal addtion. The result is a 3,008 sqft two-unit residence.",Add one story garage (2) car garage in (E) front. Horizontal addition at rear (add one story to exis,Residential,RH-2,161,0,,,,,,,2007.1394,200709112337,7-Dec-07,11-Sep-07,40-X,RH-2,11-Sep-07,-122.436837,37.755194,1341,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,2885,2768,7,,,8,,Kevin Ma,415.279.1578,Kevin Ma 415.279.1578,"San Francisco, CA 94109",1359 Broadway
2821010,83 Panorama Dr,Inner Sunset,BP APPROVED,2-Mar-12,14,1,,ERECT A NEW 2 STORY SINGLE FAMILY DWELLING.,Residential,RH-1,151,0,,,,,,,,200711077576,,7-Nov-07,40-X,RH-1,7-Nov-07,-122.451081,37.74703,1349,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,2449,2821,10,,,7,,,,,,
2821021,1240 Twin Peaks Bl,Inner Sunset,BP APPROVED,26-May-10,14,1,"Proposed to escavate and ugrade an existing unimproved portion of the public right-of-way and construct : driveways,retaining walls, sidewalk improvements,landscaping.",ERECT 3 STORY SINGLE FAMILY DWELLING.,Residential,RH-1,151,0,,,,,,,2009.016,200810224853,,22-Oct-08,40-X,RH-1,22-Oct-08,-122.450232,37.746403,1350,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,10421,2821,21,,,7,DPW-Bureau of Street Use & Mapping,Nick Elsner,94103,Nick Elsner 94103,"San Francisco, CA",875 Stevenson St.Rm. 460
3511055,1029 Natoma St,WSoMa,PL Approved,11-Jun-09,4,4,"The proposal is to demolish a single-family fire-damaged structure, origianlly constructed in 1922, and to construct a new 4-unit residential structure in five stories.",,Industrial,SLR,591,0,0,0,0,0,0,0,2006.108,,18-May-07,,50-X,SLR,18-May-07,-122.416344,37.773114,1351,Resident,-1,PL Approved,3,3,0,0,0,0,0,0,0,72,1934,3511,55,,,6,Stanley Saitowitz Office,Edward Kim,626.8977x105,Edward Kim 626.8977x105,San Francisco,1022 Natoma Street #3
3701064,55 9th St,Downtown,CONSTRUCTION,15-Oct-12,9,273,,"TO ERECT 17 STORIES, 273 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.",Commercial,C-3-G,620,0,,,,,,,,201108233049,,23-Aug-11,200-S,C-3-G,23-Aug-11,-122.415414,37.776968,1360,Resident,-1,Construction,13,273,0,,,,,,,,95296,3701,64,,,6,,,,,,
3702046,1127 Market St,Downtown,PL Filed,2-May-12,9,,"The project would renovate the existing 12,300 sf movie theater to a 299-seat live theater with support spaces (dressing rooms, rehearsal space, box office), offices and ground floor restaurant/cafe fronting Market Street. ",,Commercial,C-3-G,621,20000,,,,,20000,,2012.037,,2-May-12,,120-X,C-3-G,2-May-12,-122.413044,37.77991,1364,Retail/Ent,0,Planning Filed,4,98,7690,,,,,7690,,,8238,3702,46,,,6,American Conservatory Theater,Suzanne  Brown,510-848-2455,Suzanne  Brown 510-848-2455,"Berkeley, CA 94704","2150 Allston Way, Suite 290"
3703079,1036-1040 Mission St,Downtown,PL Approved,14-May-09,4,100,"100% Affordable residential mid-rise, 106-du, with ground-floor retail, approx 116,055-gsf total, on two lots, in one structure with two bldg two masses-- one 13-story, one 8-story --and two City Carshare spaces, on existing surface parking lot.",,Commercial,C-3-G,666,1256,,,,,1256,,2007.1464,,5-Nov-08,,120-X,C-3-G,5-Nov-08,-122.409685,37.780374,1370,Mixres,-1,PL Approved,2,100,1256,,,,,1256,,12,15129,3703,79,0,-80,6,Tenderloin Neighborhood Dev,Renu Madan,415 776 2151,Renu Madan 415 776 2151,"San Francisco, Ca 94102",201 Eddy Street
3726047,537 Natoma St,East SoMa,CONSTRUCTION,14-Sep-12,9,14,Demolish existing structure and construct 14 residential dwelling units and 14 parking spaces. ,TO ERECT 14 DWELLING UNIT WITH 4 STORY BLDG,Mixed Use,RED,669,5425,0,0,0,5425,0,0,2005.099,200509011813,20-Oct-05,1-Sep-05,45-X,RED,1-Sep-05,-122.408324,37.779476,1374,Mixres,-1,Construction,13,14,-5425,0,0,0,-5425,0,0,72,5399,3726,47,14,14,6,Martin McCarthy & Drew Casey,Martin McCarthy,415-715-1385,Martin McCarthy 415-715-1385,San Francisco CA 94116,539 Dewey Blvd. 
2821022,1230 Twin Peaks Bl,Inner Sunset,BP APPROVED,26-May-10,14,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING.,Residential,RH-1,151,0,,,,,,,,200810224855,,22-Oct-08,40-X,RH-1,22-Oct-08,-122.450135,37.746442,1375,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,7156,2821,22,,,7,,,,,,
2845005,70 Crestline Dr,Central,PL FILED,5-Jul-12,4,5,To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot. ,"TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS",Residential,RM-1,167,0,,,,,,,2012.0859,200908255545,5-Jul-12,25-Aug-09,40-X,RM-1,25-Aug-09,-122.446163,37.751268,1383,Resident,0,Planning Filed,6,5,0,,,,,,,,16175,2845,5,,,8,Santos & Urrutia Engineers,Calvin Hom,642-7722,Calvin Hom 642-7722,"San Francisco, CA  94110",2451 Harrison Street
2861011,160 San Marcos Av,Inner Sunset,BP Filed,31-Oct-08,14,1,To construct a three-story over garage single-family dwelling on a vacant lot.,"ERECT A 3-STORIES, SINGLE FAMILY RESIDENCE WITH 1 BASEMENT.",Residential,RH-1(D),481,0,0,0,0,0,0,0,2009.0085,200810315629,28-Jan-09,31-Oct-08,40-X,RH-1(D),31-Oct-08,-122.465326,37.747021,1385,Resident,0,BP Filed,7,1,0,0,0,0,0,0,0,,3679,2861,11,,,7,,Luigi Silverman,864-7013,Luigi Silverman 864-7013,"San Francisco, CA  94114",8 Beaver Street
2923078,112 Kensington Wy,Inner Sunset,BP Filed,23-Jan-08,14,1,,ERECT A NEW 3 STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),118,0,,,,,,,,200801233118,,23-Jan-08,40-X,RH-1(D),23-Jan-08,-122.45995,37.741392,1395,Resident,0,BP Filed,6,1,0,,,,,,,,4665,2923,35,,,7,,,,,,
3598028,651 Dolores St,Central,BP Filed,12-Jan-06,9,8,"Conditional use authorization to allow construction of a new church  (Second Church of Christ, Scientist) pursuant to Section 209.3(j), eight new dwelling units pursuant to Section 209.1(h), and off-street parking for up to 42 cars for the church use purs",DEMOLITION OF A ONE STORY CHURCH,Residential,RH-3,183,24000,0,24000,0,0,0,0,2006.0144,200601122067,2-Feb-06,12-Jan-06,40-X,RH-3,12-Jan-06,-122.425726,37.759023,1631,Mixres,0,BP Filed,6,8,2000,2000,0,0,0,0,0,,14891,3598,28,48,39,8,Goldman Architects,John Goldman,415-391-1339,John Goldman 415-391-1339,"San Francisco, CA  94103",172 Russ Street
2979A021A,99 West Portal Av,Inner Sunset,PL Approved,14-May-09,10,0,Expansion of existing dental office to lower street level to provide access from West Portal Avenue.,,Mixed Use,WEST PORTAL,109,4000,4000,,,,,,2008.1161,,2-Oct-08,,26-X,WEST PORTAL,2-Oct-08,-122.466755,37.739766,1407,MIPS,-1,PL Approved,5,0,2000,,,2000,,,,,3113,2979A,021A,,,7,,Ramiro & Irma Castro,759-6181,Ramiro & Irma Castro 759-6181,"San Francisco, CA  94116",2635-18th Avenue
2987A036,1325 Portola Dr,Inner Sunset,CONSTRUCTION,4-Jan-12,14,1,The proposal is to construct a new single-family dwelling on a vacant lot in zoning district RH-1(D).,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1(D),103,0,0,0,0,0,0,0,2006.1337,200609061483,23-Oct-06,6-Sep-06,40-X,RH-1(D),6-Sep-06,-122.46431,37.739799,1408,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,3700,2987A,36,,,7,,Angel Lim,650.878.2020,Angel Lim 650.878.2020,"Daly City, CA 94015",12 Surrey Court
3027A001,207 Los Palmos Dr,"Ingleside, Other",CONSTRUCTION,24-Aug-11,14,3,,CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.,Residential,RH-1,436,0,,,,,,,,200805061381,,6-May-08,40-X,RH-1,6-May-08,-122.449054,37.735778,1416,Resident,-1,Construction,13,3,0,,,,,,,,3551,3027A,1,,,7,,,,,,
3180001,50 Phelan Av,Balboa Park,PL Approved,12-Jul-10,4,71,"New construction of mixed-use building with approximately 60 units of affordable housing, and 7,000 sq.ft of retail, and 6 parking spaces. ",,Mixed Use,NC-T,65,11682,1139,,,,10543,,2009.1117,,14-Dec-09,,40-X/55-X/65-,Ocean Avenue NCT/P,14-Dec-09,-122.452174,37.723638,1438,Mixres,-1,PL Approved,3,71,11682,,,1139,,10543,,,1321818,3180,1,6,-16,7,Bernal Heights Neighborhood Center,William Ho,415-648-0793,William Ho 415-648-0793,"San Francisco, CA, 94110",515 Cortland Ave
3197010,1446 Ocean Av,Balboa Park,BP Filed,31-Oct-08,9,13,Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.,"ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.",Mixed Use,NC-T,915,0,,,,,0,,2008.0538,200810315636,15-May-08,31-Oct-08,45-X,Ocean Avenue NCT,15-May-08,-122.45772,37.724356,1441,Resident,0,BP Filed,2,13,-2500,0,0,0,0,-2500,0,,9911,3197,10,,,7,Reuben & Junius LLP,John Kevlin,415.567.9000,John Kevlin 415.567.9000,"San Francisco, CA 94104","1 Bush Street, Ste 600"
3211010A,270 Ocean Av,"South Central, Other",BP REINSTATED,25-Jan-08,4,6,"The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area. A",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-1,55,0,0,0,0,0,0,0,2007.0125,200607186852,31-Jan-07,18-Jul-06,40-X,NC-1,18-Jul-06,-122.442279,37.723334,1445,Resident,-1,BP Approved/Issued/Re-Instated,8,6,0,0,0,0,0,0,0,,4510,3211,010A,,,11,,David  Sternberg,882-9783,David  Sternberg 882-9783,San Francisco,1331 Harrison Street
3507041,1401 Market St,Downtown,CONSTRUCTION,23-Feb-12,4,719,Construction of new mixed-use building containing approximately 719 dwelling units and up to 719 parking spaces,TO ERECT A NEW 35 STORY 719 DWELLING UNITS WITH RETAIL & PARKING  & ASSEMBLY SPACE,Commercial,C-3-G,608,12250,0,0,0,0,12250,0,2006.0584,200607207084,3-May-06,20-Jul-06,200-S/320-S,C-3-G,3-May-06,-122.417545,37.776411,1452,Mixres,-1,Construction,13,719,12250,0,0,0,0,12250,0,12,90985,3507,39,719,719,6,"Cresent Heights, Inc. ",Steve Della Salla,,Steve Della Salla ,"Miami, FL 33137",2930 Biscayne Boulevard
3509027,49 Grace St,WSoMa,BP Filed,30-Jul-08,14,2,DEMOLITION OF EXISTING ONE-STORY OVER GARAGE SINGLE-FAMILY HOME. CONSTRUCTION OF A 5-STORY BUILDING WITH TWO RESIDENTIAL UNITS AND TWO OFFICES.,TO ERECT A NEW 5 STORY 2 UNIT BUILDING WITH OFFICES.,Industrial,SLR,609,0,0,,,,,,2007.123,200807308027,5-Jun-08,30-Jul-08,50-X,SLR,5-Jun-08,-122.414618,37.775088,1459,Resident,-1,BP Filed,5,1,0,,,0,,,,72,1484,3509,27,,,6,,CHENGLONG TSAI,510-375-4320,CHENGLONG TSAI 510-375-4320,"ALBANY, CA 94706",401 STANNAGE AVE. #5
3510001,1415 Mission St,Downtown,BP Filed,31-Oct-08,4,117,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,Industrial,C-M,609,4780,2430,0,0,0,2350,0,2005.054,200810315586,27-Aug-09,31-Oct-08,130-L,C-M,31-Oct-08,-122.415999,37.775095,1460,Mixres,-1,BP Filed,2,117,300,0,0,2430,-4480,2350,0,12,11274,3510,1,156,156,6,Reuben & Junius LLP,Jared Eigerman,415-567-9000,Jared Eigerman 415-567-9000,"San Francisco, CA 94104","1 Bush Street, Suite 600"
3518007,252 09th St,WSoMa,CONSTRUCTION,22-Apr-09,9,2,Shadow Study for a new mixed-use building,ERECT A FIVE STORY COML BLDG WITH 2 RESIDENTIAL UNITS,Industrial,SLR,595,3750,0,0,0,0,3750,0,2002.082,200203151582,18-Jul-02,15-Mar-02,50-X,SLR,15-Mar-02,-122.412427,37.774212,1464,Mixres,-1,Construction,13,2,3750,0,0,0,0,3750,0,72,2502,3518,7,2,2,6,,Chia Stanley,,Chia Stanley ,"San Francisco,  CA  94142",P.O. Box 424703
3525046,264 Dore St,WSoMa,BP ISSUED,13-Aug-08,7,0,,CONSTRUCTION OF 2-STORY TYPE 5-1 HOUR AUTOMOBILE REPAIR SHOP.,Industrial,SLI,599,1496.25,,,,1496.25,,,,200712069799,,6-Dec-07,40-X,SLI,6-Dec-07,-122.409829,37.771209,1482,PDR,-1,BP Approved/Issued/Re-Instated,11,0,1496.25,,,,1496.25,,,53,1983,3525,46,,,6,,,,,,
3530049,160 14th St,Mission,BP ISSUED,22-Apr-08,14,1,,Change of occupancy at 2nd floor to R-3/ PROVIDE 1 HOUR SEPARATION BETWEEN NEW DWELLING UNIT AND EXI,Industrial,PDR-1-G,590,0,,,,,,,,200710034503,,3-Oct-07,58-X,PDR-1-G,3-Oct-07,-122.417115,37.768593,1487,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,4204,3530,49,,,6,,,,,,
3533165,85 Brosnan St,Market Octavia,BP REINSTATED,6-Mar-12,14,3,"The proposal is to demolish an existing office building and construct a new residential, four-story building containing three dwelling units.",TO ERECT 4 STORY 3 FAMILY DWELLING,Residential,RTO,232,0,0,,,,,,2007.0984,200708109444,20-Aug-07,10-Aug-07,40-X,RTO,10-Aug-07,-122.423968,37.768534,1496,Resident,-1,BP Approved/Issued/Re-Instated,8,3,-1640,,,-1640,,,,,2296,3533,24,,,6,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
3534069,25 Dolores St,Market Octavia,BP Filed,18-May-12,4,37,"The proposed project would include the demolition of a vacant auto garage and construct a 46-unit residential building with 29-parking spaces. The building would be four-stories, approximately 40 feet in height and 62,030 sq. ft. ",ERECT FOUR STORY 37 UNITS APARTMENT BUILDING.,Residential,RTO,232,0,0,0,0,0,0,0,2006.0848,201205180774,22-Jul-09,18-May-12,40-X,RTO,22-Jul-09,-122.426525,37.768713,1499,Resident,-1,BP Filed,5,37,-19037,0,0,0,-19037,0,0,,19819,3534,69,29,29,8,35 Dolores LLC,William  Lightner Jr. ,415-267-2900,William  Lightner Jr.  415-267-2900,San Francisco CA 94105,"612 Howard Street, # 390"
3535001,2001 Market St,Market Octavia,CONSTRUCTION,17-Oct-12,9,82,"The project replaces the S&C Ford Showroon and adjacent parcel residential buildings with 185,418-gsf mixed use development: 29,715-gsf retail grocery with six to two floors of residential condominiums over, and two subsurface parking levels, totalling 75","TO ERECT 8 STORIES, 82 UNITS RESIDENTIAL, RETAIL AND GARAGE BUILDING.",Mixed Use,NCT-3,231,29715,,,,,29715,,2008.055,201012206990,18-Dec-08,20-Dec-10,40-X/85-X,NCT-3,18-Dec-08,-122.426906,37.769006,1501,Mixres,-1,Construction,13,82,-14517,0,0,-332,-1900,-12285,0,,31285,3535,1,123,21,8,Prado Group,Don Bragg,395.0880x324,Don Bragg 395.0880x324,"San Francisco, CA 94108","150 Post Street, #320"
3537087,435 Duboce Av,Market Octavia,PL Approved,10-Aug-11,4,5,Addition of 6th dwelling unit without sufficient exposure,ADDING 3 RESIDENTIAL DWELLING UNITS TO THE BUILDING. MAINTAINING THE CURRENT COMMERCIAL PERMITTED US,Residential,RTO,567,0,,,,,,,2011.0237,200803207576,10-Mar-11,20-Mar-08,40-X,RTO,20-Mar-08,-122.430024,37.769304,1505,Resident,-1,PL Approved,5,3,0,,,,,,,,4948,3537,87,,,8,McElroy Architecture,Tom McElroy,415-829-3945,Tom McElroy 415-829-3945,"San Francisco, CA 94114",854A 14th Street
3543011,2175 Market St,Market Octavia,BP Filed,20-Jul-12,4,88,"The proposed project is the demolition of an existing gas station and construction of a new mixed use building with 88 dwelling units,44 off-street parking spaces, and 6,286 sf of retail space. The proposed new building would 
have a height along Market ","ERECT 6 STORIES , 88 DWELLING UNIT.TYPE 5 OVER 1",Neighborhood Commercial,UPR MARKET NCT,561,6286,,,,,6286,,2012.011,201207205377,1-Jun-12,20-Jul-12,40-X/60/65-X,UPR MARKET NCT,1-Jun-12,-122.430245,37.766292,1512,Mixres,0,BP Filed,4,88,6286,,,,,6286,,,18588,3543,11,,,8,,Daniel  LaForte,,Daniel  LaForte ,,
3547002A,1880 Mission St,Mission,CONSTRUCTION,11-Oct-12,4,194,Demolish light industrial bldg and construct 194-unit PUD with commercial and 225 parking spaces.,,Mixed Use,Mission Street,236,0,0,0,0,0,0,0,2003.0758,200710014208,10-Jul-03,,65-X,Mission St NCT,10-Jul-03,-122.420027,37.767068,1518,Resident,-1,Construction,13,194,-63512,0,0,0,-63512,0,0,,52075,3547,002A,225,225,6,,Augustin Maxemin,227-4780,Augustin Maxemin 227-4780,"sf, ca 94103",109 Stillman Street
3547032,49 Julian Av,Mission,PL Approved,26-Jan-12,4,8,"Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.",,Mixed Use,UMU,236,0,0,0,0,0,0,0,2005.0233,,26-May-05,,45-X,UMU,26-May-05,-122.420946,37.767435,1521,Resident,-1,PL Approved,5,8,-2914,0,0,0,-2914,0,0,,2914,3547,32,8,8,6,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
3548032,1875 Mission St,Mission,BP Filed,23-Dec-10,4,23,"The proposed project is renovation and interior remodeling of an existing commercial building to residential units and commercial space. The project is proposing 38 residential units, 23 off-street parking spaces, and 2,800 square-feet of commercial space",ADAPTIVE RE-USE OF (E) 4 STORY CONCRETE FRAMED BUILDING. CHANGE OF USE FROM STORAGE TO MIXED US (PRI,Mixed Use,Mission Street,230,2800,,,,,2800,,2010.0787,201012237367,21-Oct-10,23-Dec-10,40-X/65-X,Mission St NCT,21-Oct-10,-122.419694,37.767166,1522,Mixres,-1,BP Filed,6,23,-34895,,,,,-34895,,,19168,3548,32,,,6,Reuben & Junius LLP,John Kevlin,415.567.9000,John Kevlin 415.567.9000,"San Francisco, CA 94104","1 Bush Street, Ste 600"
3548039,1801 Mission St,Mission,BP Filed,17-Jul-06,9,18,"Construction of a seven-story structure with 36 affordable senior housing units, no off-street parking, and appx. 2,600 GSF of ground floor commercial use.  ","TO ERECT 7 STORY, 18 UNIT MIXED USE BUILDING",Mixed Use,UMU,230,2600,0,0,0,0,2600,0,2004.0675,200607176702,20-Jul-04,17-Jul-06,68-X,UMU,20-Jul-04,-122.419783,37.768125,1524,Mixres,0,BP Filed,2,18,2600,0,0,0,0,2600,0,,3617,3548,39,0,0,6,Strategic Solutions,Lucian Robert Blazej,415 695-1111,Lucian Robert Blazej 415 695-1111,"San Francisco, CA  94131-2733",50 Laidley Street
3548065,1340 Natoma St,Mission,BP ISSUED,17-Sep-12,14,3,Demolition of a single family dwelling and construction of a three family dwelling unit. ,"DEMOLISH 2 STORIES, 1 DWELLING UNIT, RESIDENTIAL BUILDING.",Mixed Use,UMU,230,0,,,,,,,2012.0739,201206122372,12-Jun-12,12-Jun-12,40-X,UMU,12-Jun-12,-122.418659,37.767672,1525,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,,,,,,,,2000,3548,65,,,6,Town Consulting Inc.,Tony Kim,415-246-8855,Tony Kim 415-246-8855,"San Francisco, CA  94118","100 Clement Street, 3rd Floor"
3553054,1501 15th St,Mission,BP APPROVED,19-Jul-12,9,40,"Demo gas station, construct 6-story, 40-du bldg with 32 parking spaces.
U Case Description: Request for Written Determination Pursuant to Planning Code Section 228.4- Service Station Conversion Determination
2007.1359C Demolition of vacant gas station str","TO ERECT 5 STORY OVER 1 BASEMENT, 40 UNITS RESIDENTIAL & COMMERCIAL BUILDING.",Mixed Use,UMU,230,9681,,,,0,9681,,2008.1395,201111038205,14-Apr-11,3-Nov-11,58-X,UMU,14-Apr-11,-122.417728,37.766736,1536,Mixres,-1,BP Approved/Issued/Re-Instated,9,40,8287,,,10491,-11885,9681,,,14138,3553,54,22,,6,"S&S Capital Partners, LLC",Sean  Sullivan,415-206-1578,Sean  Sullivan 415-206-1578,"San Francisco, CA 94110",1699 Valencai Street
