Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,TempSelect,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF
2623028,4126 17TH ST,Buena Vista,BP Filed,12/8/05,5,"5 unit residential building over garage, residential demo over 1.2 milion",ERECT 5 STORIES 5 DWELLING BLDG.,Residential,RH-3,563,0,,,,,,,2006.1154,2.00512E+11,4/23/08,12/8/05,40-X,RH-3,8-Dec-05,-122.437894,37.762376,1263,,Resident,0,BP Filed,6,4,0
3576070,50 SYCAMORE ST,Mission,BP Filed,12/9/05,3,,"UPGRADE BUILDING STRUCTURE, ELECTRICAL SYSTEM AND PLUMBING. CONSTRUCT OVER (E) STRUCTURE. 2 LEVEL OF DWELLING SPACE. CONSTRUCT 1 ADDITIONAL UIT - SPRINKLER WORK WILL BE UNDER SEPARATE PERMIT. HORIZONTAL & VERTICAL ADDITION.",Residential,RTO-M,205,0,0,0,0,0,0,0,,2.00512E+11,,12/9/05,45-X,RTO-Mission,9-Dec-05,-122.420534,37.762779,1578,,Resident,0,BP Filed,6,2,0
3575063,3249 17TH ST,Mission,BP Filed,3/24/10,3,"Project would require a rezoning from RH-2 to NC-3. Proposed project construct a three-story addition to the existing one building on the project site. The new building would be four-story, 50-feet in height consisting of 1,996 sq. ft. ground floor restau","SITE PERMIT-REMODEL OF (E) 1 STORY STRUCTURE. ALTERED BUILDING WILL CONTAIN 4 STORIES, CONSISTING OF",Residential,RTO-M,205,"1,996",0,0,0,0,"1,996",0,2005.1155,2.01003E+11,12/15/05,3/24/10,55-X,RTO-Mission,15-Dec-05,-122.418102,37.763376,1571,,Mixres,0,BP Filed,2,2,"1,996"
3594016,3360 20TH ST,Mission,BP Filed,12/20/05,6,"Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-2,188,0,0,0,0,0,0,0,2005.037,2.00512E+11,,12/20/05,45-X,NC-2,20-Dec-05,-122.416099,37.758952,1619,,Resident,-1,BP Filed,6,6,"-4,750"
3754039,1075 FOLSOM ST,East SoMa,BP Filed,12/22/05,31,,"TO ERECT 5 STROIES, 31 DWELLING UNITS OF RESIDENTIAL / COMMERCIAL UNITS.",Mixed Use,NCT,630,0,0,0,0,0,0,0,,2.00512E+11,,12/22/05,65-X,SoMa NCT,22-Dec-05,-122.407315,37.77709,1949,,Resident,0,BP Filed,6,31,"5,000"
3598028,651 DOLORES ST,Central,BP Filed,1/12/06,8,"Conditional use authorization to allow construction of a new church  (Second Church of Christ, Scientist) pursuant to Section 209.3(j), eight new dwelling units pursuant to Section 209.1(h), and off-street parking for up to 42 cars for the church use purs",DEMOLITION OF A ONE STORY CHURCH,Residential,RH-3,183,"24,000",0,"24,000",0,0,0,0,2006.0144,2.00601E+11,2/2/06,1/12/06,40-X,RH-3,12-Jan-06,-122.425726,37.759023,1631,,Mixres,0,BP Filed,6,8,"2,000"
4058010,2235 03RD ST,Central Waterfront,BP Filed,7/9/09,196,"The proposed project involves the renovation of two existing vacant buildings totaling about 27,200 gsf and construction of approximately 180,000 gsf addition.  The proposed project would include up to 141 dwelling units with 128 off-street parking spaces","Preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into ",Mixed Use,UMU,558,"5,339",0,0,0,0,"5,339",0,2002.1302,2.00907E+11,1/13/06,7/9/09,68-X,UMU,13-Jan-06,-122.38837,37.761297,2110,,Mixres,-1,BP Filed,11,196,"5,339"
3787026,655 04TH ST,East SoMa,BP Filed,1/13/06,192,"Demolition of existing 2-story, 17,640 sq. ft. industrial building and construct 192  residential units and 15,284 sq. ft. of retail, and 46 parking spaces. The new building would be approximately 107,806 sq. ft. and 65 feet in height.  ",DEMOLISHING OFFICE AND INDUSTRIAL BLDG,Industrial,SLI,642,"15,284",0,0,0,0,"15,284",0,2005.1019,2.00601E+11,3/23/06,1/13/06,85-X,SLI,13-Jan-06,-122.395671,37.777711,2018,2,Mixres,0,BP Filed,6,192,"-2,356"
2752024,331 COLLINGWOOD ST,Central,BP Filed,1/13/06,1,,ERECT 2 STORIES SINGLE FAMILY DWELLING,Residential,RH-2,179,0,0,0,0,0,0,0,,2.00601E+11,,1/13/06,40-X,RH-2,13-Jan-06,-122.435594,37.75715,1335,,Resident,0,BP Filed,6,1,0
3731087,190 RUSS ST,East SoMa,BP Filed,1/20/06,8,"Demolish  existing 2500 sf PDR bldg & construct 40 foot high, 16,000 sf bldg with 8 dwelling units and 8 parking spaces.","TO ERECT 5 STORIES, 8 DWELLING UNITS OF RESIDENTIAL BUILDING.",Residential,RED,627,0,0,0,0,0,0,0,2006.0521,2.00601E+11,12/4/06,1/20/06,65-X,RED,20-Jan-06,-122.407112,37.777758,1863,,Resident,0,BP Filed,6,8,"-2,500"
3703086,570 JESSIE ST,Downtown,BP Filed,2/2/06,47,"Demolish existing 15,000 sq. ft. office/printing shop and construct 47 dwelling units and 24 parking spaces. Total sq. footage of new struction would be 31,135 (36,973, as of 3-28-2007) sq. ft. and building would be approximately 80' (74' 10"", as of 2-28-","TO ERECT 8 STORY, 47 CONDO UNITS",Commercial,C-3-G,666,0,,,,,,,2005.1018,2.00602E+11,9/11/08,2/2/06,120-F,C-3-G,2-Feb-06,-122.409809,37.781122,1731,,Resident,-1,BP Filed,6,47,"-15,000"
3628014,1090 CHURCH ST,Central,BP Filed,2/9/06,2,,ERECT 2 STORIES 2 DWELLING UNITS BLDG.,Residential,RM-1,164,0,0,0,0,0,0,0,,2.00602E+11,,2/9/06,40-X,RM-1,9-Feb-06,-122.427786,37.753555,1694,,Resident,0,BP Filed,6,2,0
3548032,1875 MISSION ST,Mission,BP Filed,2/10/06,60,"Change of use and addition of two new floor to an existing building, and construction of a six-story building on a vacant lot.  Proposed project would include 10,000 GSF of ground floor retail use, up to 110 dwelling units, and 75 off-street parking space",ADD 3 STORIES TO EXISTING BUILDING. ADD 60 UNITS MIXED USE.,Mixed Use,NCT,230,0,0,0,0,0,0,0,2004.0674,2.00602E+11,,2/10/06,40-X/65-X,Mission St NCT,10-Feb-06,-122.419694,37.767166,1522,,Resident,0,BP Filed,6,60,0
1228005,690 STANYAN ST,Buena Vista,BP Filed,2/15/06,56,"Demolish existing one-story retail and mezzanine containing approximately 23,600 sq. ft. and construct a new 62 unit residential structure with 34,400 sq. ft. of groundfloor retail. Two stories of underground parking would also be proposed for 176 total p","ERECT TYPE 1, 4 STORIES, 56 DWELLING UNITS & COMMERCIAL BUILDING.",Mixed Use,NCD,240,"34,400",0,0,0,0,"34,400",0,2006.046,2.00602E+11,,2/15/06,40-X,HAIGHT,15-Feb-06,-122.453469,37.769382,766,,Mixres,0,BP Filed,6,56,"10,800"
5825007,782-786 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,6,Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.,TO ERECT 3 STORY S FAMILY DWELLING,Residential,RH-2,87,0,0,0,0,0,0,0,2006.0825,2.00603E+11,7/10/06,3/2/06,40-X,RH-2,2-Mar-06,-122.417086,37.733671,2591,,Resident,-1,BP Filed,6,6,0
5825009,794 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,2,Construction of three new two-unit buildings.  Total project would be six new residential units on three vacant lots.,TO ERECT 3 STORY S FAMILY DWELLING,Residential,RH-2,87,0,0,0,0,0,0,0,2006.0825,2.00603E+11,,3/2/06,40-X,RH-2,2-Mar-06,-122.41701,37.733593,2593,,Resident,-1,BP Filed,6,2,0
5825008,790 ANDOVER ST,Bernal Heights,BP Filed,3/2/06,2,,ERECT 3 STORIES 2 DWELLING UNITS  BLDG.,Residential,RH-2,87,0,0,0,0,0,0,0,,2.00603E+11,,3/2/06,40-X,RH-2,2-Mar-06,-122.417035,37.733619,2592,,Resident,0,BP Filed,6,2,0
667016,1545 PINE ST,Northeast,BP Filed,3/19/07,113,"Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximatel",TO DEMOLISH A GARAGE REPAIR BUILDING,Mixed Use,RC-4,327,"10,000",0,0,0,0,"10,000",0,2006.0383,2.00703E+11,3/14/06,3/19/07,130-V,RC-4,14-Mar-06,-122.421219,37.789402,462,,Mixres,0,BP Filed,2,113,"-18,000"
3774025,250 BRANNAN ST,East SoMa,BP Filed,1/30/07,51,The project is to convert the existing historic warehouse (legally established as office use) as 51 dwelling units.  ,RENOVATE (E) 3 STORY BRICK AND TIMBER BLDG CONVERTING IT TO RESIDENTIAL. DEMO (E) PENTHOUSE & REPLACE WITH TWO (N) PENTHOUSES. TWO STORY PARKING GARAGE TO REMAIN.,Mixed Use,MUO,726,0,0,0,0,0,0,0,2006.0451,2.00701E+11,3/30/06,1/30/07,65-X,MUO,30-Mar-06,-122.390984,37.782879,1980,2,Resident,-1,BP Filed,3,51,"-127,396"
3588012,3500 19TH ST,Mission,BP Filed,5/1/06,17,17 NEW DWELLING UNITS OVER GROUND FLOOR RETAIL (2900 SF) AND 17-CAR PARKING GARAGE ,"TO ERECT 5 STORY RESIDENTIAL, RETAIL, AND GARAGE",Mixed Use,NCT,204,"2,950",0,0,0,0,"2,950",0,2005.049,2.00605E+11,10/12/06,5/1/06,55-X,Valencia St NCT,1-May-06,-122.421507,37.760168,1606,,Mixres,-1,BP Filed,2,17,"2,950"
1571015C,622 29TH AV,Richmond,BP Filed,5/22/06,2,,TWO FAMILY RESIDENCES. VERTIVCAL AND HORIZONTAL ADDITION AND REMODELING,Residential,RH-2,274,0,0,0,0,0,0,0,,2.00605E+11,,5/22/06,40-X,RH-2,22-May-06,-122.488659,37.777454,976,,Resident,0,BP Filed,6,1,0
1726003,1223 24TH AV,Outer Sunset,BP Filed,5/25/06,2,,ADD 3RD FLOOR TO EXISTING BLDG. (ADD 2ND UNIT),Residential,RH-2,555,0,0,0,0,0,0,0,,2.00605E+11,,5/25/06,40-X,RH-2,25-May-06,-122.482755,37.76465,1094,,Resident,0,BP Filed,6,1,0
7067014,636 PLYMOUTH AV,"Ingleside, Other",BP Filed,10/18/07,6,"Demolition of three structures consisting of two single family dwellings - 634 & 636 Plymouth and an accessory storage structure, and new construction of six single family dwellings. ","Erect 3-story, Type V-N single family dwelling.",Residential,RH-1,26,0,0,0,0,0,0,0,2006.0674,2.0071E+11,5/25/06,10/18/07,40-X,RH-1,25-May-06,-122.455974,37.716097,3011,,Resident,-1,BP Filed,2,4,0
3727168,1145 MISSION ST,Downtown,BP Filed,6/9/06,25,"Construction of 25-unit, 6-story, residential building with common roof deck, ground floor retail and basement parking (possibly stacker), totalling 30,914-gsf. Previous FMND 2000.531E.  Existing excavation /shoring permit 2006.1086D.
",TEMPORARY SHORING FOR EXCAVATION AT 1145 MISSION ST.REVISION TO FOUNDATION PERMIT APP# 200007145147,Industrial,SLR,623,"5,745",,,,,"5,745",,2007.0604,2.00606E+11,7/19/07,6/9/06,65-X,SLR,9-Jun-06,-122.411708,37.778401,1841,,Mixres,0,BP Filed,6,25,"1,996"
2042012,1710 08TH AV,Inner Sunset,BP Filed,6/19/06,1,REAR YARD ENCROACHMENT AND REDUCED PARKING.,CREATE NEW 2ND DWELLING UNIT. REMODEL EXISTING UNIT AT 2ND & 3RD FLOOR. CREATE NEW ROOF DECK. BUILD NEW STAIR AT REAR OF HOUSE. BUILD NEW DECKS AT REAR OF HOUSE.,Residential,RH-2,513,0,0,0,0,0,0,0,2006.0754,2.00606E+11,6/15/06,6/19/06,40-X,RH-2,15-Jun-06,-122.464535,37.756288,1212,,Resident,-1,BP Filed,6,1,0
5395065,47 LEDYARD ST,Other S Bayshore,BP Filed,6/20/06,1,,ERECT 3 STORIES 1 DWELLING UNIT,Residential,RH-1,89,0,0,0,0,0,0,0,,2.00606E+11,,6/20/06,40-X,RH-1,20-Jun-06,-122.401974,37.733382,2431,,Resident,0,BP Filed,6,1,0
6048005,2742 SAN BRUNO AV,"South Central, Other",BP Filed,6/27/06,1,Convert Residential to Commercial unit in an NC-2 district.  Mandatory DR,CHANGE RESIDENTIAL TO COMMERCIAL ON GROUNDFLOOR BY REPLACING WINDOW WITH SLIDING ENTRANCE DOOR IN THE FRORNT BUILDING; ADDING AN ACCESS RESTROOM AND REMOVING 21 FT SUB-FLOORING,Mixed Use,NC-2,57,"1,340",0,0,0,0,"1,340",0,2006.0894,2.00606E+11,7/27/06,6/27/06,40-X,NC-2,27-Jun-06,-122.403553,37.727066,2667,,Mixres,0,BP Filed,6,-1,"1,340"
3752019,870 HARRISON ST,WSoMa,BP Filed,7/14/06,22,"Demolition of existing one-story 6,120 sq. ft. building and construction of 22 dwelling units, 1,282 sq. ft. of retail and seven parking spaces. The new structure would be 22,515 sq. ft., five-stories, and approximately 50 feet in height. ",TO ERECT A NEW 4 STORY 22 DWELLING UNITS W/ COMMERCIAL BLDNG.,Industrial,RSD,664,"1,282",0,0,0,0,"1,282",0,2006.043,2.00607E+11,9/14/06,7/14/06,40-X/85-B,RSD,14-Jul-06,-122.401244,37.779728,1936,2,Mixres,-1,BP Filed,2,22,"-6,120"
1843019,614 KIRKHAM ST,Inner Sunset,BP Filed,7/21/06,2,"The proposal is to construct a three-story rear addition and convert the building to a two-family dwelling in Zoning District RH-2. The addition would measure 27-feet in depth, 31-feet in height, and 25-feet in width. The addition includes new stairs at t",2 FAMILY RESIDENCES HORIZONTAL ADDITION & REMODELING.,Residential,RH-2,203,0,0,0,0,0,0,0,2007.0692,2.00607E+11,,7/21/06,40-X,RH-2,21-Jul-06,-122.467382,37.760373,1167,,Resident,0,BP Filed,6,1,0
3180003,1150 OCEAN AV,Balboa Park,BP Filed,10/16/09,159,"The proposed project would demolish the existing 14,900 sq. ft. retail and parking lot and construct up to 175 residential units, above 30,000 sq. ft. ground floor retail, and podium parking. The project would consist of two buildings, up to 55 feet in he",new 5 story apartment bldg at ocean ave. & plymouth.,Mixed Use,NCT,915,"30,000",0,0,0,0,"30,000",0,2006.0884,2.0091E+11,7/25/06,10/16/09,55-X,Ocean Avenue NCT,25-Jul-06,-122.454585,37.723727,1440,,Mixres,-1,BP Filed,5,159,"15,100"
7535102,1710 DIAMOND ST,Central,BP Filed,2/6/07,4,"Demolish existing single-family home, subdivide existing parcel resulting in four new lots, and construct four new single-family homes.",ERECT ONE 3-STORY SINGLE FAMILY DWELLING,Residential,RM-1,462,0,0,0,0,0,0,0,2006.0974,2.00702E+11,8/17/06,2/6/07,40-X,RM-1,17-Aug-06,-122.435778,37.743704,2518,,Resident,-1,BP Filed,6,3,0
2044003A,1864 08TH AV,Inner Sunset,BP Filed,8/31/06,2,,"HORIZONTAL & VERTICAL ADDITION: EXPANSION OF BASEMENT, FIRST & SECOND FLOOR; ADDITION OF THIRD FLOOR AND ROOF DECK",Residential,RH-2,514,0,0,0,0,0,0,0,,2.00608E+11,,8/31/06,40-X,RH-2,31-Aug-06,-122.464348,37.753618,1213,,Resident,0,BP Filed,6,1,0
2987A036,1325 PORTOLA DR,Inner Sunset,BP Filed,9/6/06,1,The proposal is to construct a new single-family dwelling on a vacant lot in zoning district RH-1(D).,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1(D),103,0,0,0,0,0,0,0,2006.1337,2.00609E+11,10/23/06,9/6/06,40-X,RH-1(D),6-Sep-06,-122.46431,37.739799,1408,,Resident,0,BP Filed,6,1,0
3735063,222 02ND ST,TB Combo,BP Filed,11/30/07,0,"The proposed project would demolish the existing surface parking lot and construct a 33-story, 432-foot office building. The project would include 6,300 sq. ft. of groundfloor retail, 617,000 sq. ft. of office space, and 75 parking spaces. The gross sq. f","Construction of 25 stories office building with public assembly, food/beverage handling,retail sales",Commercial,C-3-O(SD),690,"400,000","393,700",0,0,0,"6,300",0,2006.1106,2.00711E+11,9/13/06,11/30/07,150-S/350-S,C-3-O(SD),13-Sep-06,-122.398069,37.78645,1893,2,MIPS,0,BP Filed,3,0,"400,000"
1537027,470 08TH AV,Richmond,BP Filed,9/18/06,3,"Addition and alteration to existing three unit building built in 1907.  Addition to front, rear and vertically.","REAR, FRONT & VERTICAL ADDITION TO EXISTING BUILDING INCLUDING ALTERATIONS TO EXISTING BUILDING PORTIONS TO REMAIN. ELECTGRICAL & PLUMBING BY SEPERATE PERMIT.",Residential,RM-1,285,0,0,0,0,0,0,0,2007.0316,2.00609E+11,,9/18/06,40-X,RM-1,18-Sep-06,-122.466156,37.779622,943,,Resident,-1,BP Filed,6,2,0
5577013,29 JOY ST,Bernal Heights,BP Filed,9/25/06,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,,2.00609E+11,,9/25/06,40-X,RH-1,25-Sep-06,-122.406711,37.743604,2497,,Resident,0,BP Filed,6,1,0
5577009,195 BREWSTER ST,Bernal Heights,BP Filed,9/25/06,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,,2.00609E+11,,9/25/06,40-X,RH-1,25-Sep-06,-122.407738,37.743127,2493,,Resident,0,BP Filed,6,1,0
5577010,193 BREWSTER ST,Bernal Heights,BP Filed,9/25/06,1,,"TO ERECT 4 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,465,0,0,0,0,0,0,0,,2.00609E+11,,9/25/06,40-X,RH-1,25-Sep-06,-122.407688,37.743156,2494,,Resident,0,BP Filed,6,1,0
8721012,455 Mission Bay S Blvd,Mission Bay,BP Filed,6/26/08,0,"Section 321 allocation for 202,893 gsf of office development in a new 6-story, 216,491 gsf building with 12,169 sf of ground floor retail and 369 off-street parking spacesto be located in a future garage on adjacent parcels (MB Block 27, Parcels 2 and 3).",ERECT A 6 STORIES OFFICE/LAB/RETAIL BUILDING.,Commercial,MB-RA,649,"333,945","317,248",,,,"16,697",,2006.1536,2.00806E+11,10/5/06,6/26/08,MB-RA,MB-RA,5-Oct-06,-122.386939,37.76898,3147,,MIPS,-1,BP Filed,13,0,"333,945"
1607017A,766 38TH AV,Richmond,BP Filed,10/13/06,1,,"VERTICAL AND HORIZONTAL ADDITION (ADD 3RD FLOOR AND REAR ADDITION, FROM SINGLE FAMILY DWELLING TO 2 UNIT. THIS ADDRESS ZONE FOR 2 UNITS",Residential,RH-2,257,0,0,0,0,0,0,0,,2.0061E+11,,10/13/06,40-X,RH-2,13-Oct-06,-122.498116,37.774494,994,,Resident,0,BP Filed,6,1,0
3510001,1415 MISSION ST,Downtown,BP Filed,10/31/08,117,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,Industrial,C-M,609,"4,780","2,430",0,0,0,"2,350",0,2005.054,2.0081E+11,11/2/06,10/31/08,130-L,C-M,2-Nov-06,-122.415999,37.775095,1460,,Mixres,-1,BP Filed,2,117,300
6345007,626 PARIS ST,"South Central, Other",BP Filed,11/8/06,1,NEW CONSTSRUCTION OF SINGLE-FAMILY DWELLING.,"ERECT 2 STORIES, 1 UNIT, 1 BASEMENT NEW BUILDING.",Residential,RH-1,39,0,0,0,0,0,0,0,2007.0177,2.00611E+11,2/16/07,11/8/06,40-X,RH-1,8-Nov-06,-122.437309,37.718855,2765,,Resident,-1,BP Filed,6,1,0
3776092,246 RITCH ST,East SoMa,BP Filed,1/5/07,19,"The proposed project would demolish the existing 4,130 sq. ft. storage shed and construct a building consisting of 19 SRO units and five parking spaces. The proposed project would be approx. 16,074 sq. ft. five stories, and 50 feet in height. ",TO ERECT A NEW 5 STORY 19 DWELLING UNIT,Industrial,SLI,641,0,0,0,0,0,0,0,2006.1348,2.00701E+11,11/8/06,1/5/07,55-X,SLI,8-Nov-06,-122.39578,37.780208,1992,2,Resident,0,BP Filed,6,19,"-4,130"
3532014,299 VALENCIA ST,Market Octavia,BP Filed,11/9/06,44,"The proposed project would demolish the existing used car lot and accessory office and construct 44 dwelling units, 4,440 sq. ft. of retail, and 44 parking spaces. The new structure would be approximately 54,978 sq. ft. and approximately 50 feet in height",TO ERECT A NEW 40 RES. UNITS OVER COMMERCIAL & PARKING ON GROUNDFLOOR & UNDERGROUND PARKING,Mixed Use,NCT-3,236,"4,440",0,0,0,0,"4,440",0,2006.0432,2.00611E+11,5/31/07,11/9/06,50-X,NCT-3,9-Nov-06,-122.42211,37.768232,1491,,Mixres,-1,BP Filed,6,44,"3,940"
3560001,2210 MARKET ST,Market Octavia,BP Filed,10/2/08,20,"The proposed project would demolish the existing 3,000 sq. ft. restaurant and construct a new six story over garage builidng consisting of 20 residential units, 5,000 sq. ft. of retail, and 15 parking spaces. The building would be approximately 30,000 sq.",TO DEMOLISH 1 STORY RESTAURANT.,Mixed Use,NCT,565,"5,000",0,0,0,0,"5,000",0,2006.1409,2.0081E+11,11/21/06,10/2/08,40-X/50-X,UPR MARKET NCT,21-Nov-06,-122.431436,37.765723,1546,,Mixres,-1,BP Filed,6,20,"2,000"
1934023,1698 10TH AV,Inner Sunset,BP Filed,12/1/06,2,The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet on,HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F),Residential,RH-2,530,0,0,0,0,0,0,0,2007.053,2.00612E+11,,12/1/06,40-X,RH-2,1-Dec-06,-122.466704,37.756739,1199,,Resident,0,BP Filed,6,1,0
2396036,2416 30TH AV,Outer Sunset,BP Filed,12/6/06,2,,"ADD 2 FLOORS ON TOP OF(E)BLDG. & ALSO HORIZONTAL ADDITION TOWARDS REAR YARD. COMPLETED BUILDING TO HAVE: 1/F- 520 SQ.FT. OF OFFICE SPACE & 2 CAR GARAGE.2/F RESIDENT-UNIT#1 WITH LIVING ROOM, DINING ROOM, KITCHEN, SUTDY ROOM, 2 BEDROOM, 2 BATHS.3/F UNIT#2-L",Mixed Use,NC-2,435,0,0,0,0,0,0,0,,2.00612E+11,,12/6/06,50-X,NC-2,6-Dec-06,-122.487281,37.742095,1040,,Resident,0,BP Filed,6,2,0
1688001A,4411 CABRILLO ST,Richmond,BP Filed,12/13/06,3,,ERECT 4 STORIES 3 DWELLING UNITS BLDG.  PLUS COMMERCIAL,Mixed Use,NC-1,689,0,0,0,0,0,0,0,,2.00612E+11,,12/13/06,40-X,NC-1,13-Dec-06,-122.505954,37.773297,1074,,Resident,0,BP Filed,6,3,0
4098027,749 WISCONSIN ST,Showpl/Potrero,BP Filed,12/15/06,2,The proposal is to demolish a single-family house and constructing a two-unit structure.,ERECT 4 STORIES OF 2 DWELLING UNITS.,Residential,RH-2,607,0,0,0,0,0,0,0,2006.1506,2.00612E+11,12/14/06,12/15/06,40-X,RH-2,14-Dec-06,-122.398869,37.758092,2148,,Resident,0,BP Filed,6,1,0
1098009,1401 DIVISADERO ST,Western Addition,BP Filed,12/21/06,0,"Conditional Use authorization request to allow demolition of existing mixed-use building and construction of a new 75,000 square foot medical office building.",TO DEMOLISH 21 DWELLING UNIT WITH COMMERCIAL SPACE,Mixed Use,NC-2,670,"74,000","74,000",0,0,0,0,0,2007.0094,2.00612E+11,1/24/07,12/21/06,105-E,NC-2,21-Dec-06,-122.439402,37.782505,721,,MIPS,-1,BP Filed,6,-21,"57,000"
6634015,1629 DOLORES ST,Central,BP Filed,1/8/07,3," The project would demolish and existing 22' high single-family structure constructed pre-1900, and construct a new 40' high three-unit structure.",TO ERECT 3 DWELLING UNITS WITH 4 STORY NEW BLDG,Residential,RH-3,107,0,,,,,,,2007.0627,2.00701E+11,6/22/07,1/8/07,40-X,RH-3,8-Jan-07,-122.424085,37.743403,2886,,Resident,-1,BP Filed,6,2,0
6621030,497 VALLEY ST,Central,BP Filed,1/10/07,1,The proposal is to construct a new three-story over partially underground basement single-family dwelling on the front vacant portion of the lot in Zoning District RH-2. the pedestrian entry is on Castro Street while both garages front on Valley Street.,TO ERECT A NEW 3 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-2,461,0,0,0,0,0,0,0,2007.0468,2.00701E+11,,1/10/07,40-X,RH-2,10-Jan-07,-122.433112,37.744009,2882,,Resident,-1,BP Filed,6,1,0
5336048,1911 QUESADA AV,Other S Bayshore,BP Filed,1/17/07,1,,TO ERECT 1 DWELLING UNIT WITH 3 STORY NEW BUILDING,Residential,RH-1,398,0,0,0,0,0,0,0,,2.00701E+11,,1/17/07,40-X,RH-1,17-Jan-07,-122.396076,37.735792,2411,,Resident,0,BP Filed,6,1,0
5627042,495 CHAPMAN ST,Bernal Heights,BP Filed,1/19/07,1,,TO ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,432,0,0,0,0,0,0,0,,2.00701E+11,,1/19/07,40-X,RH-1,19-Jan-07,-122.413081,37.741756,2535,,Resident,0,BP Filed,11,1,0
3594009,2374 FOLSOM ST,Mission,BP Filed,1/29/07,4,CONVERT EXISTING 3-STORY 2-UNIT RESIDENTIAL BUILDING W/ 2 OFF-STREET PARKING SPACES TO 4-STORY 4-UNIT RESIDENTIAL BUILDING W/ 4 OFF-STREET PARKING SPACES.,VERTICAL AND HORIZONTAL EXTENSION TO CONVERT A 3 STORY 2 UNIT RESIDENTIAL BUILDING INTO A 4 STORY 4 UNTS CONDEMINIUM BLDG WITH INTERNAL REMODELING,Residential,RM-1,188,0,0,0,0,0,0,0,2007.1209,2.00701E+11,,1/29/07,55-X,RM-1,29-Jan-07,-122.414891,37.759361,1617,,Resident,0,BP Filed,6,2,0
557019,2151 GREEN ST,Marina,BP Filed,2/13/07,1,"To construct a 6-story, single-family house o a vacant lot in an RH-2 district.",ERECT:1  5-story single family dwelling,Residential,RH-2,359,0,,,,,,,2008.0215,2.00702E+11,2/15/08,2/13/07,40-X,RH-2,13-Feb-07,-122.434441,37.79614,380,,Resident,0,BP Filed,4,1,0
3754042,12 SHERMAN ST,East SoMa,BP Filed,2/20/07,3,"The new construction of a four story mixed use building having three dwelling units over a PDR commercial ground floor.  The project is not proposing parking for the three units. Units said ""0"".",DEMOLISH  1 STORE PARKING/STORAGE BLDG.,Mixed Use,MUG,630,"1,853",,,,"1,853",,,2007.1015,2.00702E+11,9/6/07,2/20/07,45-X,MUG,20-Feb-07,-122.406993,37.777212,1951,,Mixres,-1,BP Filed,6,3,0
1080008,1419 BRODERICK ST,Western Addition,BP Filed,2/21/07,3,,VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.,Residential,RH-3,310,0,0,0,0,0,0,0,,2.00702E+11,,2/21/07,40-X,RH-3,21-Feb-07,-122.441341,37.78332,710,,Resident,0,BP Filed,6,2,0
