Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
1895043,1600 Great Hy,Outer Sunset,PL Approved,10-Jul-08,0,Demolition and construction of a new nursery school/day care center.,,Residential,RH-2,172,2420,,2420,,,,,2008.0461,,17-Apr-08,,40-X,RH-2,17-Apr-08,-122.508733,37.756359,1189,CIE,-1,PL Approved,3,0,527,527,0,0,0,0,0,1895,43,,,RH-2,40-X,4,McCall Design Group,Rich Gillerman,(415) 288-81,Rich Gillerman (415) 288-81,San Francisco CA 94108,550 Kearny Street Suite 710
1934023,1698 10th Av,Inner Sunset,BP Filed,1-Dec-06,2,The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet on,HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F),Residential,RH-2,530,0,0,0,0,0,0,0,2007.053,2.00612E+11,4-Jun-07,1-Dec-06,40-X,RH-2,1-Dec-06,-122.466704,37.756739,1199,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,1934,23,,,RH-2,40-X,7,,Dennis Yeung,415-859-5665,Dennis Yeung 415-859-5665,"San Francisco, CA 94124",1485 Bay Shore Blvd. #128
1939001,Treasure Island,Treasure Island,PL Approved,15-Mar-11,8619,"Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitatio",,Public,P,868,381000,,,,,250000,131000,2007.0903,,15-Mar-11,,OS,P,15-Mar-11,-122.371048,37.823551,1200,Mixres,-1,PL Approved,,7800,381000,,,,,250000,131000,1939,1,,,P,OS,6,Treasure Island Comm Dev LLC,Stephen Proud,995-4813,Stephen Proud 995-4813,"San Francisco, CA 94105","49 Stevenson Street, Suite 600"
2018003,2400 Noriega St,Outer Sunset,CONSTRUCTION,31-May-11,0,Demolish and replace existing church,New Construction of a three-story Church ( Lutheran Church of the Holy Spirit). Demo under separate ,Mixed Use,NC-2,510,16866,,16866,,,,,2007.1019,2.00912E+11,6-Sep-07,30-Dec-09,40-X,NC-2,6-Sep-07,-122.489449,37.753739,1205,CIE,-1,Construction,13,0,12366,12366,,,,,,2018,3,,,NC-2,40-X,4,Lincoln Lue Associates Architects,Lincoln Lue,415 665-5623,Lincoln Lue 415 665-5623,"San Francisco, CA 94122",1567 33rd Avenue
2039044,427 Moraga St,Inner Sunset,BP Filed,3-Jul-08,2,,"NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT",Residential,RH-2,513,0,,,,,,,,2.00807E+11,,3-Jul-08,40-X,RH-2,3-Jul-08,-122.467188,37.756377,1206,Resident,0,BP Filed,6,1,0,,,,,,,2039,44,,,RH-2,40-X,7,,,,,,
2040001,1701 09th Av,Inner Sunset,CONSTRUCTION,9-Jun-11,6,"Demo existing commercial building, subdivide lot into 3 lots and construct three 2-unit residential buildings.",Multiple Permits,Residential,RH-2,513,0,,,,,,,2009.0129,2.00904E+11,24-Feb-09,6-Apr-09,40-X,RH-2,24-Feb-09,-122.465946,37.756362,1208,Resident,-1,Construction,13,6,4595,,,,,4595,,2040,1,,,RH-2,40-X,7,,Roman Rettner,415.867.2181,Roman Rettner 415.867.2181,"San Francisco, CA 94127",120 Manor Drive
2042012,1710 08th Av,Inner Sunset,BP Filed,19-Jun-06,1,REAR YARD ENCROACHMENT AND REDUCED PARKING.,CREATE NEW 2ND DWELLING UNIT. REMODEL EXISTING UNIT AT 2ND & 3RD FLOOR. CREATE NEW ROOF DECK. BUILD NEW STAIR AT REAR OF HOUSE. BUILD NEW DECKS AT REAR OF HOUSE.,Residential,RH-2,513,0,0,0,0,0,0,0,2006.0754,2.00606E+11,15-Jun-06,19-Jun-06,40-X,RH-2,15-Jun-06,-122.464535,37.756288,1212,Resident,-1,BP Filed,6,1,0,0,0,0,0,0,0,2042,12,,,RH-2,40-X,7,,Sundeep Grewal,510-548-7448,Sundeep Grewal 510-548-7448,"Berkeley, CA  94710",2223 5th St
2044003A,1864 08th Av,Inner Sunset,CONSTRUCTION,17-Jun-11,2,,"HORIZONTAL & VERTICAL ADDITION: EXPANSION OF BASEMENT, FIRST & SECOND FLOOR; ADDITION OF THIRD FLOOR AND ROOF DECK",Residential,RH-2,514,0,0,0,0,0,0,0,,2.00608E+11,,31-Aug-06,40-X,RH-2,31-Aug-06,-122.464348,37.753618,1213,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,2044,003A,,,RH-2,40-X,7,,,,,,
2094005,3223 Ortega St,Outer Sunset,CONSTRUCTION,20-May-11,0,"Demolish most of the existing library, move the site closer to Ortega Street, and build a new approximately 8,500 sq.ft. single story library in a P zone with an OS land designation.",CONSTRUCTION OF A NEW ONE STORY WOOD FRAME NON-RATED BRANCH LIBRARY.,Public,P,496,8500,,8500,,,,,2008.0434,2.0081E+11,3-Sep-08,24-Oct-08,OS/40-X,P,3-Sep-08,-122.49805,37.751287,1221,CIE,-1,Construction,13,0,8500,8500,,,,,,2094,5,,,P,OS/40-X,4,,,,,,
2330005E,2243 19th Av,Outer Sunset,BP ISSUED,3-Jul-08,1,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM",Residential,RH-2,136,0,0,0,0,0,0,0,,2.00411E+11,,9-Nov-04,40-X,RH-2,9-Nov-04,-122.476036,37.745933,1231,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,2330,005E,,,RH-2,40-X,4,,,,,,
2347004G,2350 19th Av,Inner Sunset,BP APPROVED,17-Feb-11,10,"The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.",Multiple Permits,Residential,RH-2,115,0,,,,,,,2007.0178,2.00708E+11,16-Feb-07,7-Aug-07,40-X,RH-2,16-Feb-07,-122.475558,37.743958,1233,Resident,-1,BP Approved/Issued/Re-Instated,9,10,0,,,,,,,2347,004G,,,RH-2,40-X,7,"Jeffer, Mangels, Butler & Marmaro",David Cincotta,415-398-8080,David Cincotta 415-398-8080,"San Francisco, CA 94111","Two Embarcadero Center, 5th Floor"
2349036,2322 21st Av,Outer Sunset,BP APPROVED,7-Dec-10,2,,"VERTICAL AND HORIZONTAL ADDITION, CONVERT 2 STORY SINGLE FAMILY DWELLING INTO 4 STORY, 2 UNITS. GROU",Residential,RH-2,452,0,,,,,,,,2.00806E+11,,3-Jun-08,40-X,RH-2,3-Jun-08,-122.477759,37.744283,1236,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,2349,36,,,RH-2,40-X,4,,,,,,
2374019,3534 Taraval St,Outer Sunset,BP APPROVED,26-Feb-09,3,3 new condo construction,VERTIACL & HORIZONTAL ADDITION TO EXISTING BUILDING. CONVERT EXISTING RETAIL TO 3 FAMILY DWELLING. R,Mixed Use,RM-1,111,0,,,,,0,,2008.0336,2.00712E+11,,12-Dec-07,40-X,NC-1,12-Dec-07,-122.503969,37.741935,1241,Resident,-1,BP Approved/Issued/Re-Instated,9,3,-1200,,,,,-1200,,2374,19,,,NC-1,40-X,4,Herzig & Berlese,Margaret Berlese,415 861 8800,Margaret Berlese 415 861 8800,"San Francisco, CA 94102","414 Gough St, Suite 5"
2394046,2115 Taraval St,Outer Sunset,BP REINSTATED,10-Dec-10,2,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.","TO ERECT 4 STORIES, 2 UNITS, MIXED USE BUILDING.",Mixed Use,NC-2,435,2000,1000,,,,1000,,2008.0794,2.01007E+11,17-Jun-09,14-Jul-10,50-X,NC-2,17-Jun-09,-122.488777,37.742335,1246,Mixres,-1,BP Approved/Issued/Re-Instated,8,2,1000,,,1000,,0,,2394,46,,,NC-2,50-X,4,,Kevin Ma,415.279.1578,Kevin Ma 415.279.1578,"San Francisco, CA 94109",1359 Broadway
2620018,126 Museum Wy,Buena Vista,PL Filed,12-Sep-07,2,"The project would demolish an existing single-family dwelling (1,028 square feet) and construct a new two-unit dwelling with two off-street parking spaces.",,Residential,RH-2,563,0,,,,,,,2007.1058,,12-Sep-07,,40-X,RH-2,12-Sep-07,-122.439794,37.764214,1258,Resident,0,Planning Filed,2,1,0,,,,,,,2620,18,,,RH-2,40-X,8,,Michael Schulte,415.710.5805,Michael Schulte 415.710.5805,"San Francisco, CA 94110",6 Elsie Street
2623006,376 Castro St,Buena Vista,PL APPROVED,6-Feb-06,24,"Demolition of a gas station and construction of a mixed-use building with 24 dwelling units, appx. 2,800 GSF of ground floor commercial use, and 24 off-street parking spaces.  ",,Mixed Use,NCD,563,1900,0,0,0,0,1900,0,2004.0976,,10-Nov-05,,65-B,UPR MARKET,10-Nov-05,-122.435371,37.762918,1262,Mixres,-1,PL Approved,5,24,1900,0,0,0,0,1900,0,2623,6,40,40,UPR MARKET,65-B,8,,Dan Kerley,415.661.0335,Dan Kerley 415.661.0335,"San Francisco, CA   94116",2610 16th Avenue
2623028,4126 17th St,Buena Vista,BP Filed,8-Dec-05,5,"5 unit residential building over garage, residential demo over 1.2 milion",ERECT 5 STORIES 5 DWELLING BLDG.,Residential,RH-3,563,0,,,,,,,2006.1154,2.00512E+11,23-Apr-08,8-Dec-05,40-X,RH-3,8-Dec-05,-122.437894,37.762376,1263,Resident,0,BP Filed,6,4,0,,,,,,,2623,28,,,RH-3,40-X,8,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
2625007A,70 Douglass St,Buena Vista,BP Filed,3-Mar-06,2,Renovation and rehabilitation of an existing residential building constructe c. 1900.,ERECT 4 STORIES OF 2 DWELLING  UNITS.,Residential,RH-2,563,0,0,0,0,0,0,0,2006.0336,2.00509E+11,3-Mar-06,2-Sep-05,40-X,RH-2,2-Sep-05,-122.439699,37.762618,1264,Resident,-1,BP Filed,6,1,0,0,0,0,0,0,0,2625,007A,,,RH-2,40-X,8,Group 41 Incorporated,Joel M. Karr,415.572.5033,Joel M. Karr 415.572.5033,"San Francisco, CA 94103","785 Market Street, Suite 830"
2630018,1169 Stanyan St,Inner Sunset,BP APPROVED,21-Sep-10,2,,"New construction of two residential units, 3 STORIES.",Residential,RH-2,546,0,,,,,,,,2.00803E+11,,28-Mar-08,40-X,RH-2,28-Mar-08,-122.452286,37.762717,1272,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,,,,,,,2630,18,,,RH-2,40-X,7,,,,,,
2654017,300 Corbett Av,Central,CONSTRUCTION,3-Nov-06,1,"The proposal is to construct one in a pair of side-by-side dwellings on the same lot.  The subject building would front on Corbett Avenue and have three bedrooms, two and one half baths, and two off-street parking spaces.  The existing single-family dwell",TO ERECT A 3 STORY SINGLE FAMILY DWELLING,Residential,RH-2,196,0,0,0,0,0,0,0,2003.1187,2.00303E+11,27-Oct-03,10-Mar-03,40-X,RH-2,10-Mar-03,-122.444655,37.760431,1284,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,2654,17,,,RH-2,40-X,8,,Robert Rickard,821-2302,Robert Rickard 821-2302,"San Francisco, CA 94131",P.O. Box 31712
2676030,580 Oak Park Dr,Inner Sunset,BP ISSUED,28-Nov-07,1,"Construct a new single-family dwelling on a vacant parcel in an RH-1(D) (Residential, House, One-Family, Detached) District and a 40-X Height and Bulk District.","ERECT 3 STORIES, 1 DWELLING UNIT WITH 1 BASEMENT BLDG.",Residential,RH-1(D),545,0,0,0,0,0,0,0,2003.0741,2.00212E+11,27-May-03,4-Dec-02,40-X,RH-1(D),4-Dec-02,-122.460196,37.756322,1292,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,2676,30,0,0,RH-1(D),40-X,7,,Karl Domingus,650-558-0913,Karl Domingus 650-558-0913,,
2696015,4226 20th St,Central,BP Filed,13-Sep-05,3,,LEGALIZE 3RD UNIT AT BASEMENT LEVEL PER BOARD OF APPEALS# V91-033 & SATISFY,Residential,RH-3,190,0,0,0,0,0,0,0,,2.00509E+11,,13-Sep-05,40-X,RH-3,13-Sep-05,-122.435056,37.757802,1308,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,2696,15,,,RH-3,40-X,8,,,,,,
2700014,4558 19th St,Central,CONSTRUCTION,15-Jun-11,2,,DEMOLISH REAR ADDITION OF (E) BLDG. CONSTRUCT NEW 3 STORY OVER BASEMENT REAR ADDITION. ADD 1 NEW STU,Residential,RH-2,199,0,,,,,,,,2.00804E+11,,7-Apr-08,40-X,RH-2,7-Apr-08,-122.441116,37.759117,1313,Resident,-1,Construction,13,1,0,,,,,,,2700,14,,,RH-2,40-X,8,,,,,,
2706035,1310 Stanyan St,Central,CONSTRUCTION,7-Dec-10,1,"The proposal is to construct a new three story, single-family dwelling on a VACANT lot on an undeveloped portion of Stanyan Street in an RH-1 (D) District.",ERECT A TWO STORY SINGLE FAMILY DWELLING,Residential,RH-1(D),195,0,0,0,0,0,0,0,2004.1167,2.00407E+11,14-Jun-06,15-Jul-04,40-X,RH-1(D),15-Jul-04,-122.451352,37.758762,1316,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,2706,35,,,RH-1(D),40-X,5,Mark Brand Architecture,Mark Brand,543-7300,Mark Brand 543-7300,"San Francisco, CA  94107","425 - 2nd Street, Suite 601"
2716013,86 Stanton St,Central,BP Filed,20-Jun-08,1,"Construction of 3,081 sqft, 25'-11"" in height single-family residence with existing secondary structure. Parking provided on adjacent lot per ZA's letter of determination.",CONSTRUCTION OF A NEW THREE-STORY WOOD FRAME NON-RATED SINGLE FAMILY DWELLING AT FRONT PORTION.,Residential,RH-1(S),178,0,,,,,,,2008.004,2.00806E+11,10-Jan-08,20-Jun-08,40-X,RH-1(S),10-Jan-08,-122.4422,37.75695,1322,Resident,0,BP Filed,2,1,0,,,,,,,2716,13,,,RH-1(S),40-X,8,Toby Long Design,Martin Vopalka,415.425.5870,Martin Vopalka 415.425.5870,"San Francisco, CA 94117",1997 Oak Street #6
2716014A,181 Yukon St,Central,BP Filed,20-Jun-08,1,Variance request for required rear yard (134) and front setback (132).,CONSTRUCTION OF A NEW TWO-STORY WOOD FRAME ONE HOUR RATED SINGLE FAMILY DEWLLING,Residential,RH-1(S),178,0,,,,,,,2007.1442,2.00806E+11,13-Dec-07,20-Jun-08,40-X,RH-1(S),13-Dec-07,-122.442101,37.757175,1323,Resident,0,BP Filed,2,1,0,,,,,,,2716,014A,,,RH-1(S),40-X,8,Toby Long Design,Martin Vopalka,415.425.5870,Martin Vopalka 415.425.5870,"San Francisco, CA 94117",1997 Oak Street #6
2716056,170-180 Yukon Street,Central,CONSTRUCTION,2-Nov-10,2,The proposal is to construct a new two-unit building with two parking spaces on a vacant lot.,"ERECT 2-STORY, 1 BASEMENT AND 2 DWELLING UNITS BUILDING.",Residential,RH-2,196,0,,,,,,,2007.0593,2.00705E+11,18-Jun-07,25-May-07,40-X,RH-2,25-May-07,-122.442446,37.757282,1324,Resident,-1,Construction,13,2,0,,,,,,,2716,56,2,2,RH-2,40-X,8,reza@siaconsulting.com,Reza Knoshnevisan,922-0200,Reza Knoshnevisan 922-0200,"San Francisco, CA 94103",1256 Howard Street
2719047,1399 Clayton St,Central,CONSTRUCTION,12-Apr-11,2,"2 Lot Subdivision; Construction of two 4,000-square foot, single-family homes, each 3 stories over basement 2-car garage.",ERECT A THREE STORY SINGLE FAMILY DWELLING (HOUSE B),Residential,RH-2,177,0,0,0,0,0,0,0,2006.0791,2.00208E+11,8-Aug-06,5-Aug-02,40-X,RH-2,5-Aug-02,-122.446068,37.758672,1326,Resident,-1,Construction,13,2,0,0,0,0,0,0,0,2719,47,,,RH-2,40-X,8,Patrick Buscovich & Associates,Patrick Buscovich,415-788-2708,Patrick Buscovich 415-788-2708,"SF, CA 94104",235 Montgomery St
2979A021A,99 West Portal Av,Inner Sunset,PL Approved,14-May-09,0,Expansion of existing dental office to lower street level to provide access from West Portal Avenue.,,Mixed Use,NCD,109,4000,4000,,,,,,2008.1161,,2-Oct-08,,26-X,WEST PORTAL,2-Oct-08,-122.466755,37.739766,1407,MIPS,-1,PL Approved,5,0,2000,,,2000,,,,2979A,021A,,,WEST PORTAL,26-X,7,,Ramiro & Irma Castro,759-6181,Ramiro & Irma Castro 759-6181,"San Francisco, CA  94116",2635-18th Avenue
2987A036,1325 Portola Dr,Inner Sunset,BP REINSTATED,6-Apr-11,1,The proposal is to construct a new single-family dwelling on a vacant lot in zoning district RH-1(D).,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1(D),103,0,0,0,0,0,0,0,2006.1337,2.00609E+11,23-Oct-06,6-Sep-06,40-X,RH-1(D),6-Sep-06,-122.46431,37.739799,1408,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,2987A,36,,,RH-1(D),40-X,7,,Angel Lim,650.878.2020,Angel Lim 650.878.2020,"Daly City, CA 94015",12 Surrey Court
2993090,287 Cresta Vista Dr,"Ingleside, Other",BP ISSUED,23-Jun-08,1,,"new construction of a three-story, single-family building on a vacant lot",Residential,RH-1(D),405,0,,,,,,,,2.00711E+11,,13-Nov-07,40-X,RH-1(D),13-Nov-07,-122.453965,37.735427,1410,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,2993,88,,,RH-1(D),40-X,7,,,,,,
3027A001,207 Los Palmos Dr,"Ingleside, Other",BP REINSTATED,27-Jun-11,3,,CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.,Residential,RH-1,436,0,,,,,,,,2.00805E+11,,6-May-08,40-X,RH-1,6-May-08,-122.449054,37.735778,1416,Resident,-1,BP Approved/Issued/Re-Instated,8,3,0,,,,,,,3027A,1,,,RH-1,40-X,7,,,,,,
3148001,4550 Mission St,"South Central, Other",PL Filed,19-Jul-06,17,"The proposed project would demolish the existing one-story retail building and construct a new four story structure consisting of 17 dwelling units, 6,750 sq. ft. of retail, and 23 parking spaces. The building would be approximately 36,250 sq. ft. and 40 ",,Mixed Use,NC-3,56,6750,0,0,0,0,6750,0,2006.0861,,19-Jul-06,,40-X,NC-3,19-Jul-06,-122.434635,37.725128,1436,Mixres,0,Planning Filed,2,17,-3250,0,0,0,0,-3250,0,3148,1,23,23,NC-3,40-X,11,,Roosevelt  Owyang,650-520-5600,Roosevelt  Owyang 650-520-5600,Pacifica CA 94044,1620 Adobe Dr. 
3180001,50 Phelan Av,Balboa Park,PL Approved,12-Jul-10,71,"New construction of mixed-use building with approximately 60 units of affordable housing, and 7,000 sq.ft of retail, and 6 parking spaces. ",,Mixed Use,P,65,11682,1139,,,,10543,,2009.1117,,14-Dec-09,,40-X/55-X/65-,Ocean Avenue NCT/P,14-Dec-09,-122.452174,37.723638,1438,Mixres,-1,PL Approved,3,71,11682,,,1139,,10543,,3180,1,6,-16,Ocean Avenue NCT/P,40-X/55-X/65-,7,Bernal Heights Neighborhood Center,William Ho,415-648-0793,William Ho 415-648-0793,"San Francisco, CA, 94110",515 Cortland Ave
3180003,1150 Ocean Av,Balboa Park,CONSTRUCTION,16-Jun-11,159,"The proposed project would demolish the existing 14,900 sq. ft. retail and parking lot and construct up to 175 residential units, above 30,000 sq. ft. ground floor retail, and podium parking. The project would consist of two buildings, up to 55 feet in he",new 5 story apartment bldg at ocean ave. & plymouth.,Mixed Use,NC-2,915,30000,0,0,0,0,30000,0,2006.0884,2.0091E+11,26-Jun-08,16-Oct-09,55-X,Ocean Avenue NCT,26-Jun-08,-122.454585,37.723727,1440,Mixres,-1,Construction,13,159,15100,0,0,0,0,15100,0,3180,3,295,170,Ocean Avenue NCT,55-X,7,"Pacific Resources Associates, LLC",Eric Sporre,503-603-5445,Eric Sporre 503-603-5445,"Portland, OR 97224","15350 S.W. Sequoia Pkway, Ste 300"
3197010,1446 Ocean Av,Balboa Park,BP Filed,31-Oct-08,13,Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.,"ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.",Mixed Use,NC-2,915,0,,,,,0,,2008.0538,2.0081E+11,15-May-08,31-Oct-08,45-X,Ocean Avenue NCT,15-May-08,-122.45772,37.724356,1441,Resident,0,BP Filed,2,13,-2500,0,0,0,0,-2500,0,3197,10,,,Ocean Avenue NCT,45-X,7,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3211009,248 Ocean Av,"South Central, Other",BP APPROVED,31-Mar-10,5,construction of new 4 story 5 unit mixed use replacement building with one affordable unit,"New construction of a 4-story over basement, mixed use building consisting of 5-dwelling units and a",Mixed Use,NC-1,55,0,,,,,,,2008.0502,2.00711E+11,1-May-08,28-Nov-07,40-X,NC-1,28-Nov-07,-122.441951,37.723369,1444,Resident,-1,BP Approved/Issued/Re-Instated,9,4,0,,,,,0,,3211,9,,,NC-1,40-X,11,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
3211010A,270 Ocean Av,"South Central, Other",BP REINSTATED,25-Jan-08,6,"The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area. A",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-1,55,0,0,0,0,0,0,0,2007.0125,2.00607E+11,31-Jan-07,18-Jul-06,40-X,NC-1,18-Jul-06,-122.442279,37.723334,1445,Resident,-1,BP Approved/Issued/Re-Instated,8,6,0,0,0,0,0,0,0,3211,010A,,,NC-1,40-X,11,,David  Sternberg,882-9783,David  Sternberg 882-9783,San Francisco,1331 Harrison Street
3505022,85 Brady St,Market Octavia,CONSTRUCTION,1-Dec-08,7,"Mandatory DR to build a new 5-story, 6-unit residential building following demoltion of mixed-use residential building.  See 2005.0776C.",TO ERECT 5 STORIES OF 7 DWELLING RESIDENTIAL UNITS.,Mixed Use,NCT-3,578,0,0,0,0,0,0,0,2005.0777,2.00509E+11,18-Aug-05,15-Sep-05,40-X,NCT-3,18-Aug-05,-122.419818,37.772601,1451,Resident,-1,Construction,13,6,0,0,0,0,0,0,0,3505,22,,,NCT-3,40-X,6,Best Design & Construction,Alex Nie,415-656-3528,Alex Nie 415-656-3528,"Brisbane, CA 94005","100 Old Country Road, Suite 100C"
3507041,1401 Market St,Downtown,BP ISSUED,25-Apr-08,719,Construction of new mixed-use building containing approximately 719 dwelling units and up to 719 parking spaces,TO ERECT A NEW 35 STORY 719 DWELLING UNITS WITH RETAIL & PARKING  & ASSEMBLY SPACE,Commercial,C-3-G,608,12250,0,0,0,0,12250,0,2006.0584,2.00607E+11,3-May-06,20-Jul-06,200-S/320-S,C-3-G,3-May-06,-122.417545,37.776411,1452,Mixres,-1,BP Approved/Issued/Re-Instated,11,719,12250,0,0,0,0,12250,0,3507,39,719,719,C-3-G,200-S/320-S,6,"Cresent Heights, Inc. ",Steve Della Salla,,Steve Della Salla ,"Miami, FL 33137",2930 Biscayne Boulevard
3509027,49 Grace St,WSoMa,BP Filed,30-Jul-08,2,DEMOLITION OF EXISTING ONE-STORY OVER GARAGE SINGLE-FAMILY HOME. CONSTRUCTION OF A 5-STORY BUILDING WITH TWO RESIDENTIAL UNITS AND TWO OFFICES.,TO ERECT A NEW 5 STORY 2 UNIT BUILDING WITH OFFICES.,Mixed Use,SLR,609,0,0,,,,,,2007.123,2.00807E+11,5-Jun-08,30-Jul-08,50-X,SLR,5-Jun-08,-122.414618,37.775088,1459,Resident,-1,BP Filed,5,1,0,,,0,,,,3509,27,,,SLR,50-X,6,,CHENGLONG TSAI,510-375-4320,CHENGLONG TSAI 510-375-4320,"ALBANY, CA 94706",401 STANNAGE AVE. #5
3510001,1415 Mission St,Downtown,BP Filed,31-Oct-08,117,"Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.",CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE,Commercial,C-M,609,4780,2430,0,0,0,2350,0,2005.054,2.0081E+11,27-Aug-09,31-Oct-08,130-L,C-M,31-Oct-08,-122.415999,37.775095,1460,Mixres,-1,BP Filed,2,117,300,0,0,2430,-4480,2350,0,3510,1,156,156,C-M,130-L,6,Reuben & Junius LLP,Jared Eigerman,415 567 9000,Jared Eigerman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3518007,252 09th St,WSoMa,CONSTRUCTION,22-Apr-09,2,Shadow Study for a new mixed-use building,ERECT A FIVE STORY COML BLDG WITH 2 RESIDENTIAL UNITS,Mixed Use,SLR,595,3750,0,0,0,0,3750,0,2002.082,2.00203E+11,18-Jul-02,15-Mar-02,50-X,SLR,15-Mar-02,-122.412427,37.774212,1464,Mixres,-1,Construction,13,2,3750,0,0,0,0,3750,0,3518,7,2,2,SLR,50-X,6,,Chia Stanley,,Chia Stanley ,"San Francisco,  CA  94142",P.O. Box 424703
3519059,149 Dore Street,WSoMa,CONSTRUCTION,7-Apr-11,4,"exposre, parking variance for new construction 4 units","TO ERECT 5 STORIES, 4 UNITS RESIDENTIAL UNITS.",Mixed Use,SLR,597,0,,,,,,,2009.0771,2.00906E+11,20-Aug-09,19-Jun-09,50-X,SLR,19-Jun-09,-122.411794,37.773176,1472,Resident,-1,Construction,13,4,0,,,,,,,3519,59,,,SLR,50-X,6,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
3521005,340 11th St,WSoMa,BP Filed,11-Apr-05,20,"Demo. of an existing service station and construction of a five-story, mixed-use building with 20 dwelling units, 20 off-street parking spaces, and appx 5,682 GSF of ground floor retail use.  ",DEMOLISH 2 STORIES GARAGE,Mixed Use,SLR,589,5682,0,0,0,0,5682,0,2005.0525,2.00504E+11,1-Jun-05,11-Apr-05,50-X,SLR,11-Apr-05,-122.413472,37.771251,1476,Mixres,0,BP Filed,6,20,5682,0,0,0,0,5682,0,3521,5,20,20,SLR,50-X,6,Goldman Architects,John Goldman,415-391-1339,John Goldman 415-391-1339,"San Francisco, CA  94103",172 Russ Street
