,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y
13334,,OCEANWIDE FIRST ST TOWER,3708055,2014-06-04,BP FILED,,,201510301303.0,2006-12-21,2014-06-04,2006-12-21,2014-06-04,BP FILED,"('2014-06-04',)",,"('BP FILED',)",4,2015,Proposed,112.0,112.0,37.7901490864,-122.39865818700001
11400,2013-09-04,188 MUSEUM WY,2620119,2015-06-23,CONSTRUCTION,07/01/2015,2014-07-23,201206293848,2012-06-29,2012-06-29,2012-08-23,2015-06-23,CONSTRUCTION,"('2012-06-29', '2012-06-29', '2012-06-29', '2012-06-29', '2013-09-04', '2013-10-15', '2013-10-15', '2013-10-15', '2014-07-23', '2014-11-17', '2014-11-17', '2015-06-23')",1097.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,2.0,2.0,37.7636540292,-122.439141678
15288,,3431 TARAVAL ST,2381045A,2015-06-10,PL FILED,,,,2015-06-10,2015-06-10,2015-06-10,2015-06-10,PL FILED,"('2015-06-10', '2015-06-10', '2015-06-10', '2015-06-10')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,0.0,0.0,37.7416002732,-122.502997
6520,,1101 OFARRELL ST,0720038,2001-09-13,PL APPROVED,,,,2000-11-21,2001-09-13,2000-11-21,2001-09-13,PL APPROVED,"('2001-09-13', '2001-09-13', '2001-09-13', '2001-09-13', '2001-09-13')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2014,Proposed,240.0,230.0,37.7845627,-122.4232233
14587,,110 TUCKER AV,6201004,2015-11-05,BP FILED,,,201511051844.0,2015-11-05,2015-11-05,2015-12-05,2015-11-05,BP FILED,"('2015-11-05', '2015-11-05')",,"('BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7162143772,-122.40608799999998
14971,,190 HOLLADAY AV,5532007,2016-02-05,BP FILED,,,201602058975.0,2016-02-05,2016-02-05,2016-02-05,2016-02-05,BP FILED,"('2016-02-05',)",,"('BP FILED',)",1,2016,Proposed,1.0,1.0,37.7467388563,-122.40538500000001
1556,,1675 JERROLD AV,5279033,2007-07-30,CONSTRUCTION,10/01/2012,2007-07-30,2.00208E+11,2002-08-02 07:00:00,2007-07-30,2002-08-02,2007-07-30,CONSTRUCTION,"('2007-07-30', '2007-07-30', '2007-07-30')",3712.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2012,Under Construction,0.0,0.0,-122.390794,37.739412
15381,2009-03-17,417 LYON ST,1198004,2009-03-17,BP ISSUED,,,200804250691.0,2008-04-25 07:00:00,2009-03-17,2008-04-25,2009-03-17,BP ISSUED,"('2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,2.0,1.0,37.7749254284,-122.44318999999999
8705,2012-03-26,701 LONG BRIDGE ST,8711019,2012-03-26,BP ISSUED,,,201203135986,2012-03-13,2012-03-26,2012-03-13,2012-03-26,BP ISSUED,"('2012-03-26', '2012-03-26', '2012-03-26', '2012-03-26', '2012-03-26')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2014,Building Permit Approved,188.0,188.0,37.773373,-122.3915696
15397,,427 MORAGA ST,2039044,2008-07-03,BP FILED,,,200807035945.0,2008-07-03,2008-07-03,2008-07-03,2008-07-03,BP FILED,"('2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7562669315,-122.46737900000001
14488,,1275 MINNESOTA ST,4229004,2015-11-19,CONSTRUCTION,01/01/2016,2015-10-28,201502067724.0,2015-02-06,2015-02-06,2015-02-06,2015-11-19,CONSTRUCTION,"('2015-02-06', '2015-02-06', '2015-10-28', '2015-11-19')",329.0,"('BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,0.0,0.0,37.754251722,-122.38938123
2166,,126 MUSEUM WY,2620018,2007-09-12,PL FILED,,,,2007-09-12,2007-09-12,2007-09-12,2007-09-12,PL FILED,"('2007-09-12', '2007-09-12', '2007-09-12')",,"('PL FILED', 'PL FILED', 'PL FILED')",3,2012,Proposed,2.0,1.0,-122.43979399999999,37.764214
6248,2013-06-27,1409 SUTTER ST,0689016,2013-06-27,BP ISSUED,,,201304033682,2013-04-03,2013-06-27,2013-04-03,2013-06-27,BP ISSUED,"('2013-06-27', '2013-06-27')",,"('BP ISSUED', 'BP ISSUED')",4,2013,Building Permit Approved,6.0,6.0,37.787421,-122.423429
15115,,2435 - 2445 16TH ST,3965021,2015-12-31,BP FILED,,,201512316248.0,2014-08-01,2015-12-31,2014-08-01,2015-12-31,BP FILED,"('2015-12-31', '2015-12-31')",,"('BP FILED', 'BP FILED')",1,2016,Proposed,53.0,53.0,37.765320875,-122.41112
15588,,655 FOLSOM ST,3750050,2016-02-09,BP FILED,,,201602099171.0,2013-03-01,2015-06-17,2013-03-01,2016-02-09,BP FILED,"('2015-06-17', '2015-06-17', '2015-06-17', '2016-02-09')",,"('PL FILED', 'PL FILED', 'PL FILED', 'BP FILED')",1,2016,Proposed,84.0,84.0,37.7843741481,-122.397774
14384,,1441-1443 OCEAN AV,6941059,2015-12-23,PL APPROVED,,,,2015-10-29,2015-12-23,2015-10-29,2015-12-23,PL APPROVED,"('2015-12-23',)",,"('PL APPROVED',)",4,2015,Proposed,0.0,0.0,37.7239991836,-122.45793987200001
12252,,2230 3RD STREET,4059001C,2014-03-06,PL FILED,,,,2014-03-06,2014-03-06,2014-03-06,2014-03-06,PL FILED,"('2014-03-06', '2014-03-06', '2014-03-06', '2014-03-06', '2014-03-06', '2014-03-06', '2014-03-06')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,37.0,37.0,37.7612470299,-122.388940698
15576,,630 - 698 BRANNAN ST,3778004,2015-07-16,PL FILED,,,,2015-07-16,2015-07-16,2015-07-16,2015-07-16,PL FILED,"('2015-07-16',)",,"('PL FILED',)",1,2016,Proposed,0.0,0.0,37.776098767,-122.400287
14826,,835 SOUTH VAN NESS AV,3594023,2014-12-11,BP FILED,,,201412113579.0,2014-12-11,2014-12-11,2014-12-11,2014-12-11,BP FILED,"('2014-12-11', '2014-12-11', '2014-12-11', '2014-12-11', '2014-12-11', '2014-12-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,3.0,37.7598043593,-122.416615
8393,,5727 GEARY BL,1523046B,2011-03-10,BP FILED,,,201103101798,2011-03-10,2011-03-10,2011-03-10,2011-03-10,BP FILED,"('2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10', '2011-03-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2014,Proposed,2.0,1.0,37.7801834,-122.48097959999998
15337,,369 DUNCAN ST,6601032,2015-06-10,BP FILED,,,201506108657.0,2015-06-10,2015-06-10,2015-06-10,2015-06-10,BP FILED,"('2015-06-10', '2015-06-10', '2015-06-10', '2015-06-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7457694397,-122.42828700000001
15308,2013-12-30,350 BUSH ST,0269028,2016-03-31,CONSTRUCTION,04/01/2016,2015-01-23,200708078938.0,2001-01-10 08:00:00,2007-08-07,2001-01-10,2016-03-31,CONSTRUCTION,"('2007-08-07', '2007-08-07', '2007-08-07', '2007-08-07', '2013-12-30', '2013-12-30', '2013-12-30', '2013-12-30', '2015-01-23', '2015-05-14', '2015-07-29', '2015-10-29', '2015-12-16', '2016-03-31')",5559.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,0.0,0.0,37.791311484699996,-122.403304
15729,,923 FOLSOM ST,3753106,2016-03-30,CONSTRUCTION,04/01/2016,2016-01-06,201311202410.0,2013-05-23,2016-01-06,2013-05-23,2016-03-30,CONSTRUCTION,"('2016-01-06', '2016-03-30')",1044.0,"('CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,115.0,115.0,37.779609303200004,-122.40338100000001
15354,2016-03-29,3839 LAWTON ST,1899045A,2016-03-29,BP ISSUED,,,201505146356.0,2015-05-14,2015-05-14,2015-05-14,2016-03-29,BP ISSUED,"('2015-05-14', '2015-05-14', '2015-05-14', '2016-03-29')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",1,2016,Building Permit Approved,2.0,1.0,37.7565975419,-122.504248
7327,,207 LOS PALMOS DR,3027A001,2013-12-13,CONSTRUCTION,07/01/2014,2011-08-24,200805061381,2008-05-06 07:00:00,2011-08-24,2008-05-06,2013-12-13,CONSTRUCTION,"('2011-08-24', '2011-08-24', '2011-08-24', '2011-08-24', '2013-02-04', '2013-02-04', '2013-02-04', '2013-12-13', '2013-12-13', '2013-12-13')",2246.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2014,Under Construction,3.0,3.0,37.7358847,-122.44909059999999
14851,,1530 - 1585  5TH AV,2636001,2015-10-22,PL FILED,,,,2014-10-15,2015-10-22,2014-10-15,2015-10-22,PL FILED,"('2015-10-22', '2015-10-22')",,"('PL FILED', 'PL FILED')",1,2016,Proposed,460.0,374.0,37.759367978,-122.46064799999999
4273,,2130 FULTON ST,1145003,2013-05-30,CONSTRUCTION,07/01/2013,2012-02-21,201008068321,2010-08-06 07:00:00,2012-02-21,2010-08-06,2013-05-30,CONSTRUCTION,"('2012-02-21', '2012-07-10', '2012-10-04', '2012-12-12', '2013-04-22', '2013-05-30')",1059.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,0.0,0.0,37.77570120000001,-122.45101969999999
2370,,538 40TH AV,1505026,2008-07-03,BP FILED,,,200807035957,2008-07-03,2008-07-03,2008-07-03,2008-07-03,BP FILED,"('2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2012,Proposed,2.0,1.0,37.778526,-122.500534
8256,2012-09-07,1000 16TH ST,3834001,2012-09-07,BP ISSUED,,,201112070227,2006-02-23 08:00:00,2011-12-07,2006-02-23,2012-09-07,BP ISSUED,"('2011-12-07', '2011-12-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07', '2012-09-07')",,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2014,Building Permit Approved,65.0,65.0,37.766490000000005,-122.396988
15098,,2374 FOLSOM ST,3594009,2012-05-10,CONSTRUCTION,04/01/2016,2011-12-29,200701292823.0,2007-01-29 08:00:00,2011-12-29,2007-01-29,2012-05-10,CONSTRUCTION,"('2011-12-29', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10')",3349.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,4.0,2.0,37.7593457298,-122.41508799999998
5059,,30 CONRAD ST,7552003,2013-09-12,CONSTRUCTION,10/01/2013,2012-12-12,201202295093,2012-02-29,2012-02-29,2012-02-29,2013-09-12,CONSTRUCTION,"('2012-02-29', '2012-06-07', '2012-06-07', '2012-12-12', '2013-04-15', '2013-05-28', '2013-09-12')",580.0,"('BP FILED', 'PL FILED', 'PL FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,1.0,1.0,37.737845,-122.436477
3105,,701 43RD AV,1601001,2008-12-31,CONSTRUCTION,04/01/2013,2008-12-31,200710155396,2007-06-26 07:00:00,2008-12-31,2007-06-26,2008-12-31,CONSTRUCTION,"('2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31')",2105.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,2.0,1.0,37.775203999999995,-122.503878
15764,2016-03-09,981 MISSION ST,3725078,2016-03-09,BP ISSUED,,,201602099158.0,2015-10-14,2016-03-09,2015-10-14,2016-03-09,BP ISSUED,"('2016-03-09',)",,"('BP ISSUED',)",1,2016,Building Permit Approved,0.0,0.0,37.7811462421,-122.40788300000001
15143,2014-08-21,2600 ARELIOUS WALKER DR,4884025,2016-03-29,CONSTRUCTION,04/01/2016,2015-06-01,201401166470.0,2014-01-16,2014-01-16,2014-01-16,2016-03-29,CONSTRUCTION,"('2014-01-16', '2014-01-16', '2014-08-21', '2014-10-02', '2015-06-01', '2015-07-29', '2015-10-09', '2015-12-31', '2016-03-29')",806.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,93.0,93.0,37.7193826402,-122.38493400000002
15325,,360 SPEAR ST,3745009,2015-11-19,PL APPROVED,,,,2013-10-17,2015-11-19,2013-10-17,2015-11-19,PL APPROVED,"('2015-11-19',)",,"('PL APPROVED',)",1,2016,Proposed,0.0,0.0,37.7889881882,-122.390115
14271,2015-05-21,2332 TARAVAL ST,2362019,2015-11-30,CONSTRUCTION,01/01/2016,2015-09-15,201401287236.0,2014-01-28,2014-01-28,2014-01-28,2015-11-30,CONSTRUCTION,"('2014-01-28', '2014-01-28', '2014-01-28', '2014-01-28', '2015-05-21', '2015-05-21', '2015-09-15', '2015-11-30')",703.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,3.0,1.0,37.7426087275,-122.49135239200001
14382,,667 HOWARD ST,3735039,2015-07-24,BP FILED,,,201507242396.0,2015-07-24,2015-07-24,2015-07-24,2015-07-24,BP FILED,"('2015-07-24',)",,"('BP FILED',)",4,2015,Proposed,0.0,0.0,37.7852778764,-122.399541114
9178,2012-03-14,2210 MARKET ST,3560001,2012-03-14,BP ISSUED,,,200810023278,2008-10-02 07:00:00,2012-03-14,2008-11-07,2012-03-14,BP ISSUED,"('2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14', '2012-03-14')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2014,Building Permit Approved,22.0,22.0,37.76624279999999,-122.4307162
15652,,762 37TH AV,1608012,2008-09-04,BP FILED,,,200809040762.0,2008-09-04,2008-09-04,2008-09-04,2008-09-04,BP FILED,"('2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04', '2008-09-04')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7745558892,-122.496908
8254,,1150 16TH STREET,3821007,2011-07-22,BP FILED,,,201107220904,2006-04-13 07:00:00,2011-07-22,2006-04-13,2011-07-22,BP FILED,"('2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22', '2011-07-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2014,Proposed,15.0,15.0,37.766498999999996,-122.39813500000001
15009,,208 GIRARD ST,5980003,2013-04-09,BP FILED,,,201304094098.0,2013-04-09,2013-04-09,2013-04-09,2013-04-09,BP FILED,"('2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7293963267,-122.40575600000001
15639,,749 WISCONSIN ST,4098027,2006-12-15,BP FILED,,,200612159955.0,2006-12-14 08:00:00,2006-12-15,2006-12-14,2006-12-15,BP FILED,"('2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15', '2006-12-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7579906586,-122.398692
15649,,857 ALABAMA ST,4085026,2012-11-02,CONSTRUCTION,04/01/2016,2012-01-25,201012307679.0,2010-12-30 08:00:00,2012-01-25,2010-12-30,2012-11-02,CONSTRUCTION,"('2012-01-25', '2012-06-01', '2012-08-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02')",1918.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,2.0,2.0,37.758192909099996,-122.41121399999999
15387,,421 ALVARADO ST,3625040,2009-02-06,BP FILED,,,200902061524.0,2009-02-06,2009-02-06,2009-02-06,2009-02-06,BP FILED,"('2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06', '2009-02-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.753680986999996,-122.43039499999999
15809,,HP SHIPYARD PHASE 1 (BP FILED),4591C001,2015-12-14,BP FILED,,,,2013-02-22,2015-12-14,2013-02-22,2015-12-14,BP FILED,"('2015-12-14',)",,"('BP FILED',)",1,2016,Proposed,463.0,463.0,37.729834940100005,-122.37083899999999
15245,,3178 MISSION ST,6574013,2015-10-13,PL FILED,,,,2013-08-23,2013-08-23,2015-08-10,2015-10-13,PL FILED,"('2013-08-23', '2013-10-07', '2013-10-07', '2013-10-07', '2013-10-07', '2013-10-07', '2013-10-07', '2013-10-07', '2015-10-13', '2015-10-13', '2015-10-13')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,7.0,4.0,37.7464020297,-122.419774
12316,2012-02-03,140 09TH ST,3509005,2015-01-29,CONSTRUCTION,10/01/2015,2012-07-05,201105256770.0,2011-05-25 07:00:00,2012-02-03,2011-05-25,2015-01-29,CONSTRUCTION,"('2012-02-03', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2012-07-05', '2015-01-29', '2015-01-29', '2015-01-29', '2015-01-29')",1589.0,"('BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,10.0,10.0,37.7754851363,-122.41425789799999
14568,2009-08-04,104 BACHE ST,5826002,2014-10-03,CONSTRUCTION,04/01/2016,2014-10-03,200706265226.0,2007-06-26 07:00:00,2009-08-04,2007-06-26,2014-10-03,CONSTRUCTION,"('2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2009-08-04', '2014-10-03', '2014-10-03', '2014-10-03', '2014-10-03', '2014-10-03', '2014-10-03')",3201.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,2.0,2.0,37.73379094,-122.417782
11022,,101 DONAHUE ST,4591C042,2015-07-23,CONSTRUCTION,07/01/2015,2013-08-22,200907223197,2009-07-22,2013-08-22,2009-07-22,2015-07-23,CONSTRUCTION,"('2013-08-22', '2013-12-31', '2014-03-18', '2014-06-30', '2014-09-30', '2015-03-31', '2015-06-08', '2015-07-23')",2170.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,63.0,63.0,37.729001486,-122.36963923100001
13897,2014-08-20,778 VALLEJO ST,0130020,2015-10-22,CONSTRUCTION,01/01/2016,2015-03-27,201311051179.0,2013-11-05,2013-11-05,2013-11-05,2015-10-22,CONSTRUCTION,"('2013-11-05', '2013-11-05', '2013-11-05', '2014-08-20', '2015-03-27', '2015-04-06', '2015-06-15', '2015-10-22', '2015-10-22')",787.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,3.0,1.0,37.7986075252,-122.410102329
14802,,334 32ND AV,1402036,2015-04-09,BP FILED,,,201504093287.0,2015-04-09,2015-04-09,2015-04-09,2015-04-09,BP FILED,"('2015-04-09', '2015-04-09', '2015-04-09', '2015-04-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7828582053,-122.49213200000001
15653,,763 05TH AV,1648012,2014-09-02,BP FILED,,,201409025180.0,2014-09-02,2014-09-02,2014-09-02,2014-09-02,BP FILED,"('2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,1.0,37.7744101056,-122.46306100000001
14714,,135 TOWNSEND ST,3794022,2016-01-08,BP FILED,,,201601086717.0,2014-08-26,2014-08-26,2014-08-26,2016-01-08,BP FILED,"('2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2016-01-08')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED')",1,2016,Proposed,0.0,0.0,37.7798088024,-122.391002
14558,,1028 MARKET ST,0350002,2014-04-29,PL FILED,,,,2014-04-29,2014-04-29,2014-04-29,2014-04-29,PL FILED,"('2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,186.0,186.0,37.781883481,-122.411323
