,BP_date,address,apn,best_date,best_stat,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,unitsnet,x,y
14580,,108 ORSI CR,5428D037,2014-07-23,BP FILED,,,2014-07-23,2014-07-23,2014-07-23,2014-07-23,BP FILED,"('2014-07-23', '2014-07-23', '2014-07-23', '2014-07-23', '2014-07-23', '2014-07-23', '2014-07-23')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7282105051,-122.398218
15580,,636 - 648 04TH ST,3786035,2015-09-16,PL FILED,,,2015-09-16,2015-09-16,2015-09-16,2015-09-16,PL FILED,"('2015-09-16',)",0.0,"('PL FILED',)",1,2016,Proposed,392.0,37.7777277367,-122.39624099999999
15024,,2120 TARAVAL ST,2360014,2015-03-18,PL FILED,,,2015-03-18,2015-03-18,2015-03-18,2015-03-18,PL FILED,"('2015-03-18', '2015-03-18', '2015-03-18', '2015-03-18', '2015-03-18')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,0.0,37.7427172902,-122.48888600000001
15050,,2207 25TH ST,4282A023,2013-03-12,CONSTRUCTION,2013-03-12,,2010-04-01 07:00:00,2010-10-13,2010-04-01,2013-03-12,CONSTRUCTION,"('2010-10-13', '2010-10-13', '2010-10-13', '2012-10-09', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12', '2013-03-12')",881.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7518232185,-122.40079899999999
1271,,102-104 OCTAVIA STREET,0853021,2007-06-08,PL FILED,,,2007-06-08,2007-06-08,2007-06-08 00:00:00,2007-06-08,PL FILED,"('2007-06-08', '2007-06-08')",0.0,"('PL FILED', 'PL FILED')",2,2012,Proposed,30.0,37.773097,-122.42355400000001
14742,2015-04-13,1433 48TH AV,1805006,2016-02-16,CONSTRUCTION,2016-02-16,,2013-09-19,2013-09-19,2013-09-19,2016-02-16,CONSTRUCTION,"('2013-09-19', '2013-09-19', '2013-09-19', '2013-09-19', '2013-09-19', '2013-09-19', '2015-04-13', '2015-04-13', '2015-04-13', '2015-04-13', '2016-02-16')",880.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7596583269,-122.508349
7753,,100 BUCHANAN ST,870003,2014-05-29,CONSTRUCTION,2014-05-29,201209059005,2012-09-05,2012-09-05,2012-09-05,2014-05-29,CONSTRUCTION,"('2012-09-05', '2014-05-29')",631.0,"('BP FILED', 'CONSTRUCTION')",2,2014,Under Construction,116.0,37.7708569,-122.42674309999998
9187,,899 VALENCIA ST,3596113,2015-03-03,CONSTRUCTION,2014-07-01,,2005-08-11 07:00:00,2011-05-26,2005-08-11,2015-03-03,CONSTRUCTION,"('2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2011-05-26', '2014-07-01', '2014-09-18', '2015-03-03')",1377.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,18.0,37.7585073,-122.421269
15441,,470 WEST PORTAL AV,2484008,2015-10-20,PL FILED,,,2015-10-20,2015-10-20,2015-10-20,2015-10-20,PL FILED,"('2015-10-20', '2015-10-20')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,0.0,37.7360170992,-122.471203
14628,,1187 PALOU AV,4757014,2015-11-10,BP FILED,,,2015-11-10,2015-11-10,2015-11-10,2015-11-10,BP FILED,"('2015-11-10', '2015-11-10')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7293857768,-122.383347
14884,,1601 CASTRO ST,6554024,2016-02-09,PL FILED,,,2016-02-09,2016-02-09,2016-02-09,2016-02-09,PL FILED,"('2016-02-09',)",0.0,"('PL FILED',)",1,2016,Proposed,0.0,37.748771844299995,-122.433558
9211,,2419 LOMBARD ST,0937029,2014-04-03,BP FILED,,,2014-04-03,2014-04-03,,2014-04-03,BP FILED,"('2014-04-03', '2014-04-03')",0.0,"('BP FILED', 'BP FILED')",4,2014,Proposed,11.0,37.799273,-122.441194
3269,,585 KANSAS ST,4009008A,2008-06-17,CONSTRUCTION,2008-06-17,200602023655,2006-02-02 08:00:00,2008-06-17,2006-02-02,2008-06-17,CONSTRUCTION,"('2008-06-17', '2008-06-17', '2008-06-17', '2008-06-17', '2008-06-17')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,37.76246,-122.403125
10086,,2920 FRANKLIN ST,498020,2015-03-20,BP FILED,,,,2015-03-20,,2015-03-20,BP FILED,"('2015-03-20',)",0.0,"('BP FILED',)",1,2015,Proposed,2.0,37.8015373927,-122.425995051
15743,,943 YORK ST,4143029,2015-08-07,BP FILED,,,2015-08-07,2015-08-07,2015-08-07,2015-08-07,BP FILED,"('2015-08-07', '2015-08-07', '2015-08-07')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.756935933,-122.40830600000001
1484,,34 PLEASANT ST,221020,2012-10-02,CONSTRUCTION,2012-10-02,2.00905E+11,2009-05-07,2012-10-02,2009-05-07,2012-10-02,CONSTRUCTION,"('2012-10-02',)",0.0,"('CONSTRUCTION',)",3,2012,Under Construction,1.0,-122.41336499999998,37.793046999999994
12022,,924 TREAT AV,3639019,2015-02-25,BP FILED,,,,2015-02-25,,2015-02-25,BP FILED,"('2015-02-25', '2015-02-25')",0.0,"('BP FILED', 'BP FILED')",2,2015,Proposed,-1.0,37.7552712051,-122.41356114
13205,,598 BRANNAN STREET,3777045,2012-08-23,PL FILED,,,2012-08-23,2012-08-23,2012-08-23,2012-08-23,PL FILED,"('2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23', '2012-08-23')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,0.0,37.7773375281,-122.39884701
15290,,3436 SCOTT ST,0465A022,2011-11-15,BP FILED,,,2011-11-15,2011-11-15,2011-11-15,2011-11-15,BP FILED,"('2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15', '2011-11-15')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.801697589,-122.441193
15664,2016-01-13,787 TREAT AV,3612017A,2016-01-13,BP ISSUED,,,2014-03-17,2014-03-17,2014-03-17,2016-01-13,BP ISSUED,"('2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2016-01-13', '2016-01-13')",667.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,37.757673585300005,-122.41331299999999
15183,,2799 24TH ST,4266035,2015-06-18,PL FILED,,,2014-08-15,2015-06-18,2014-08-15,2015-06-18,PL FILED,"('2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,8.0,37.7526480654,-122.408022
12332,2013-05-17,451 HUDSON AV,4591C045,2015-10-21,CONSTRUCTION,2014-05-12,,2012-02-29,2013-05-17,2012-02-29,2015-10-21,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2014-05-12', '2014-09-15', '2015-01-14', '2015-01-14', '2015-07-28', '2015-10-21')",887.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,9.0,37.7287620644,-122.368894098
14924,2015-02-24,1731 - 1741 POWELL ST,0101004,2015-02-24,BP ISSUED,,,2008-12-15,2015-02-24,2008-12-15,2015-02-24,BP ISSUED,"('2015-02-24', '2015-02-24')",0.0,"('BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,18.0,37.8006826227,-122.41128799999998
12665,2013-02-14,4372 25TH ST,6540021,2014-08-04,CONSTRUCTION,2013-06-25,,2011-12-12,2011-12-12,2011-12-12,2014-08-04,CONSTRUCTION,"('2011-12-12', '2011-12-12', '2011-12-12', '2011-12-12', '2013-02-14', '2013-06-25', '2013-09-16', '2013-11-20', '2013-11-20', '2013-11-20', '2014-08-04', '2014-08-04', '2014-08-04', '2014-08-04', '2014-08-04')",966.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,1.0,37.7497087422,-122.43773949
8372,,374 5TH ST,3753008,2010-12-20,PL APPROVED,,,2010-09-15 07:00:00,2010-12-20,2010-09-15,2010-12-20,PL APPROVED,"('2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2014,Proposed,47.0,37.779339,-122.40223999999999
15431,2011-08-22,457 TEHAMA ST,3732087,2013-08-05,BP REINSTATED,,,2006-04-06 07:00:00,2011-08-22,2006-04-06,2013-08-05,BP REINSTATED,"('2011-08-22', '2011-08-22', '2011-08-22', '2011-08-22', '2013-04-19', '2013-05-30', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05', '2013-08-05')",714.0,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP APPROVED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,1.0,37.7799443056,-122.40553899999999
13117,2015-04-22,1763 33RD AV,2016016,2015-04-22,BP ISSUED,,,2014-09-23,2014-09-23,2014-09-23,2015-04-22,BP ISSUED,"('2014-09-23', '2014-09-23', '2015-04-22', '2015-04-22', '2015-04-22')",211.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2015,Building Permit Approved,1.0,37.7542694773,-122.491853436
13563,2013-05-17,420 INNES AV,4591C070,2015-10-23,CONSTRUCTION,2014-05-21,,2012-02-29,2013-05-17,2012-02-29,2015-10-23,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2014-05-21', '2014-08-27', '2015-02-26', '2015-04-30', '2015-07-30', '2015-10-23', '2015-10-23')",889.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,9.0,37.7282525416,-122.368645162
14860,2015-10-27,1545 PINE ST,0667016,2015-12-30,BP ISSUED,,,2012-10-22,2012-10-22,2012-11-21,2015-12-30,BP ISSUED,"('2012-10-22', '2012-10-22', '2012-10-22', '2012-10-22', '2013-12-03', '2013-12-03', '2013-12-03', '2013-12-03', '2013-12-03', '2015-10-27', '2015-12-30', '2015-12-30')",1164.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,107.0,37.7892721056,-122.42121100000001
14903,2015-09-18,1656 POST ST,0686040,2016-03-22,CONSTRUCTION,2016-03-22,,2014-09-23,2014-09-23,2014-09-23,2016-03-22,CONSTRUCTION,"('2014-09-23', '2014-09-23', '2014-09-23', '2015-09-18', '2015-09-18', '2016-03-22')",546.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,4.0,37.7859040324,-122.42908
15698,,855 STEVENSON ST,3508001,2015-07-21,BP FILED,,,2015-05-06,2015-07-21,2015-05-06,2015-07-21,BP FILED,"('2015-07-21', '2015-07-21', '2015-07-21', '2015-07-21')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,0.0,37.7768922646,-122.41636799999999
13543,,2 TINGLEY ST,6800045,2015-07-09,BP FILED,,,2015-07-09,2015-07-09,2015-07-09,2015-07-09,BP FILED,"('2015-07-09', '2015-07-09')",0.0,"('BP FILED', 'BP FILED')",4,2015,Proposed,10.0,37.7284566752,-122.43189885299999
6759,2012-01-25,3210 JACKSON ST,0973031,2013-09-09,CONSTRUCTION,2013-04-09,201104013321,2011-04-01 07:00:00,2012-01-25,2011-04-01,2013-09-09,CONSTRUCTION,"('2012-01-25', '2012-01-25', '2012-01-25', '2013-04-09', '2013-06-11', '2013-09-09', '2013-09-09', '2013-09-09')",593.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2014,Under Construction,1.0,37.7907811,-122.4479479
2327,2007-08-21,701 GOLDEN GATE AV,0768013,2012-07-25,CONSTRUCTION,2012-07-10,200610235755,2006-10-23 07:00:00,2007-08-21,2006-10-23,2012-07-25,CONSTRUCTION,"('2007-08-21', '2012-07-10', '2012-07-25')",1800.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2012,Under Construction,100.0,37.780685999999996,-122.422252
8676,2014-03-03,858 FLORIDA ST,4085010,2014-09-02,CONSTRUCTION,2014-05-16,201307252819,2013-07-25,2013-07-25,2013-07-25,2014-09-02,CONSTRUCTION,"('2013-07-25', '2013-10-28', '2014-03-03', '2014-05-16', '2014-09-02')",404.0,"('BP FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,37.758067,-122.41055800000001
10782,,721 BEACH ST,25017,2015-05-28,CONSTRUCTION,2014-05-30,,2006-11-07,2010-11-29,2006-11-07,2015-05-28,CONSTRUCTION,"('2010-11-29', '2014-05-30', '2015-05-28')",1641.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,37.8063175992,-122.420950209
15460,,490 JAMESTOWN AV (BLDG 5),5000001,2015-10-27,BP FILED,,,2015-10-27,2015-10-27,2015-10-27,2015-10-27,BP FILED,"('2015-10-27',)",0.0,"('BP FILED',)",1,2016,Proposed,58.0,37.7133440211,-122.385107
9875,,1127 MARKET ST,3702046,2015-03-06,CONSTRUCTION,2014-05-29,,2012-05-02,2012-05-02,2012-05-02,2015-03-06,CONSTRUCTION,"('2012-05-02', '2012-05-02', '2012-05-02', '2012-10-25', '2012-10-25', '2012-10-25', '2012-10-25', '2012-10-25', '2014-05-29', '2014-10-01', '2015-03-06')",1038.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,0.0,37.779872,-122.41306999999999
14662,,124 - 126 HAIGHT ST,0852044,2015-03-26,PL APPROVED,,,2015-01-14,2015-03-26,2015-01-14,2015-03-26,PL APPROVED,"('2015-03-26',)",0.0,"('PL APPROVED',)",1,2016,Proposed,5.0,37.7731265038,-122.42449199999999
1316,,399 GOLDEN GATE AV,0347016,2007-11-27,PL APPROVED,,,2006-12-28 08:00:00,2007-11-27,2006-12-28 00:00:00,2007-11-27,PL APPROVED,"('2007-11-27', '2007-11-27')",0.0,"('PL APPROVED', 'PL APPROVED')",2,2012,Proposed,0.0,37.78135,-122.416948
15291,,344 - 388 FULTON ST,0785029,2016-04-01,CONSTRUCTION,2015-03-25,,2012-11-07,2015-03-25,2012-11-07,2016-04-01,CONSTRUCTION,"('2015-03-25', '2015-07-29', '2015-10-07', '2016-04-01')",373.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,69.0,37.7790720259,-122.42288
15363,,400 - 444 DIVISADERO ST,1216017,2015-10-15,PL FILED,,,2015-08-13,2015-10-15,2015-08-13,2015-10-15,PL FILED,"('2015-10-15', '2015-10-15')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,152.0,37.7734371145,-122.43712099999999
11400,2013-09-04,188 MUSEUM WY,2620119,2015-06-23,CONSTRUCTION,2014-07-23,,2012-06-29,2012-06-29,2012-08-23,2015-06-23,CONSTRUCTION,"('2012-06-29', '2012-06-29', '2012-06-29', '2012-06-29', '2013-09-04', '2013-10-15', '2013-10-15', '2013-10-15', '2014-07-23', '2014-11-17', '2014-11-17', '2015-06-23')",1089.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,2.0,37.7636540292,-122.439141678
15381,2009-03-17,417 LYON ST,1198004,2009-03-17,BP ISSUED,,,2008-04-25 07:00:00,2009-03-17,2008-04-25,2009-03-17,BP ISSUED,"('2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17', '2009-03-17')",0.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,37.7749254284,-122.44318999999999
11597,2015-07-21,1341 17TH AV,1772004K,2015-07-21,BP APPROVED,,,,2015-03-10,,2015-07-21,BP APPROVED,"('2015-03-10', '2015-07-21')",133.0,"('BP FILED', 'BP APPROVED')",2,2015,Building Permit Approved,1.0,37.7628419822,-122.47525659799999
1923,,2 NEW MONTGOMERY ST,3707052,2007-12-04,PL FILED,,,2005-11-29 08:00:00,2007-12-04,2005-11-29,2007-12-04,PL FILED,"('2007-12-04', '2007-12-04', '2007-12-04')",0.0,"('PL FILED', 'PL FILED', 'PL FILED')",3,2012,Proposed,125.0,-122.40191000000002,37.788432
15174,,2739 MCALLISTER ST,1168043,2015-08-31,BP FILED,,,2015-08-31,2015-08-31,2015-08-31,2015-08-31,BP FILED,"('2015-08-31', '2015-08-31', '2015-08-31')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7751069596,-122.457195
14931,2016-01-22,175 MAYNARD ST,5891004A,2016-01-22,BP ISSUED,,,2015-05-28,2015-05-28,2015-05-28,2016-01-22,BP ISSUED,"('2015-05-28', '2015-05-28', '2015-05-28', '2016-01-22')",239.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,37.7295896209,-122.426603
14634,2010-01-25,1196 HAMPSHIRE ST,4210013,2013-07-03,CONSTRUCTION,2013-03-08,,2007-10-15 07:00:00,2010-01-25,2007-10-15,2013-07-03,CONSTRUCTION,"('2010-01-25', '2010-01-25', '2010-01-25', '2010-01-25', '2013-03-08', '2013-03-08', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03', '2013-07-03')",1255.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7532979612,-122.40760700000001
6842,2012-07-23,1717 17TH ST,3980007,2014-03-28,CONSTRUCTION,2012-10-11,201202154236,2012-02-15,2012-02-15,2012-02-15,2014-03-28,CONSTRUCTION,"('2012-02-15', '2012-07-23', '2012-10-11', '2012-11-20', '2013-04-09', '2013-06-06', '2013-08-28', '2013-12-23', '2014-03-28')",772.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2014,Under Construction,20.0,37.764748499999996,-122.4007389
15524,,57 TAYLOR,0343001,2015-10-23,PL FILED,,,2015-10-13,2015-10-23,2015-10-13,2015-10-23,PL FILED,"('2015-10-23', '2015-10-23')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,78.0,37.7828901361,-122.41106200000002
489,,1248 LEAVENWORTH ST,0220027,2011-10-24,CONSTRUCTION,2011-10-24,200710165569,2008-01-30 08:00:00,2011-10-24,2008-01-30 08:00:00,2011-10-24,CONSTRUCTION,"('2011-10-24',)",0.0,"('CONSTRUCTION',)",1,2012,Under Construction,1.0,37.792587,-122.41583999999999
10781,2011-07-13,1812 TAYLOR ST,119025,2011-07-13,BP ISSUED,,,2007-09-19,2011-07-13,2010-09-08,2011-07-13,BP ISSUED,"('2011-07-13', '2011-07-13', '2011-07-13')",0.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2015,Building Permit Approved,1.0,37.7991719972,-122.413752463
4540,,850 29TH AV,1671008M,2008-07-10,PL APPROVED,,,2006-12-06 08:00:00,2008-07-10,2006-12-06,2008-07-10,PL APPROVED,"('2008-07-10', '2008-07-10', '2008-07-10', '2008-07-10', '2008-07-10', '2008-07-10', '2008-07-10')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2013,Proposed,1.0,37.7733624,-122.48841609999998
5748,2010-04-15,3135 24TH ST,6520036,2013-07-16,CONSTRUCTION,2012-11-02,200711137944,2007-11-13 08:00:00,2010-04-15,2007-11-13,2013-07-16,CONSTRUCTION,"('2010-04-15', '2010-04-15', '2012-09-04', '2012-11-02', '2013-04-03', '2013-04-03', '2013-07-16', '2013-07-16')",1188.0,"('BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,9.0,37.752336,-122.414797
9997,,740 WASHINGTON ST,194009,2014-09-26,PL FILED,,,2007-02-28,2007-02-28,2014-09-26,2014-09-26,PL FILED,"('2007-02-28', '2014-09-26')",2767.0,"('PL FILED', 'PL FILED')",1,2015,Proposed,23.0,37.7954261468,-122.40587453799999
15586,2015-05-20,645 FAXON AV,3191004,2015-05-20,BP ISSUED,,,2014-08-18,2014-08-18,2014-08-18,2015-05-20,BP ISSUED,"('2014-08-18', '2014-08-18', '2015-05-20', '2015-05-20', '2015-05-20', '2015-05-20', '2015-05-20')",275.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,37.7253459459,-122.460148
15201,,2877 FOLSOM ST,6521025,2014-12-01,BP FILED,,,2014-12-01,2014-12-01,2014-12-01,2014-12-01,BP FILED,"('2014-12-01', '2014-12-01', '2014-12-01', '2014-12-01', '2014-12-01', '2014-12-01')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7512978242,-122.413629
14701,2015-07-28,1325 OCEAN AV,6942054,2016-03-15,CONSTRUCTION,2016-03-15,,2013-01-08,2013-01-08,2013-01-08,2016-03-15,CONSTRUCTION,"('2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2015-07-28', '2015-07-28', '2015-11-02', '2016-03-15')",1162.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.723696026199995,-122.456658
5832,,63 WEST POINT RD,4624004,2013-04-09,CONSTRUCTION,2012-02-29,200912223711,2009-12-22 08:00:00,2012-02-29,2009-12-22,2013-04-09,CONSTRUCTION,"('2012-02-29', '2012-07-05', '2012-10-12', '2012-11-13', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09')",405.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,52.0,37.7367345,-122.38081609999999
12131,,19-25 MASON ST & 2-16 TURK ST,0340002,2014-03-04,PL APPROVED,,,2012-08-14,2014-03-04,2012-08-14,2014-03-04,PL APPROVED,"('2014-03-04', '2014-03-04', '2014-03-04')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2015,Proposed,110.0,37.7837500979,-122.40949422700001
