,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
1812,2014-05-29,363 21ST AV,1453013,2015-03-24,BP ISSUED,,,201306210141,2011-09-26,2011-09-26,2011-09-26,2015-03-24,BP ISSUED,"('2011-09-26', '2011-09-26', '2011-09-26', '2011-09-26', '2011-09-26', '2011-09-26', '2011-09-26', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2014-05-29', '2014-05-29', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24', '2015-03-24')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,3.0,2.0,,,RM-1,RM-1
568,2006-12-01,346 22ND AV,1453033,2014-09-05,CONSTRUCTION,04/01/2015,2013-11-12,200505273609,2005-05-27,2006-12-01,2005-05-27,2014-09-05,CONSTRUCTION,"('2006-12-01', '2010-07-06', '2010-07-06', '2010-07-06', '2010-07-06', '2010-07-06', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2013-11-12', '2014-01-24', '2014-01-24', '2014-09-05', '2014-09-05', '2014-09-05')",3596.0,"('BP REINSTATED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.481267588,37.7812831562,RM-1,RM-1
11505,,322 22ND AV,1453039,2011-03-03,PL APPROVED,,2008-12-11,200606295405,2006-06-29,2008-12-11,2006-06-29,2011-03-03,PL APPROVED,"('2008-12-11', '2008-12-11', '2008-12-11', '2008-12-11', '2008-12-11', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03')",,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",4,2015,Proposed,3.0,2.0,-122.481297436,37.781694424099996,RM-1,RM-1
1593,2016-03-21,423 24TH AV,1456003,2017-08-31,CONSTRUCTION,2017-08-31,2017-08-31,201405155866,2014-05-15,2014-05-15,2014-05-15,2017-08-31,CONSTRUCTION,"('2014-05-15', '2014-05-15', '2014-05-15', '2014-05-15', '2014-05-15', '2014-05-15', '2014-05-15', '2016-03-21', '2016-04-13', '2016-04-13', '2016-04-13', '2016-04-13', '2017-08-31')",1204.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,3.0,2.0,,,RM-1,RM-1
14962,,435 24TH AV,1456005,2007-11-06,BP FILED,,,200711067465,2007-11-06,2007-11-06,2007-11-06,2007-11-06,BP FILED,"('2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2012,Proposed,3.0,2.0,-122.48392,37.781356,RM-1,RM-1
2005,2013-02-20,471 24TH AV,1456013,2013-02-20,BP REINSTATED,,,201301298999,2013-01-29,2013-02-20,2013-01-29,2013-02-20,BP REINSTATED,"('2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20', '2013-02-20')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",2,2017,Building Permit Approved,3.0,2.0,,,RM-1,RM-1
7462,,6044 GEARY BL,1456023,2016-11-29,CONSTRUCTION,,2016-06-16,201409055492,2014-09-05,2016-06-16,2014-09-05,2016-11-29,CONSTRUCTION,"('2016-06-16', '2016-08-26', '2016-11-29', '2016-11-29')",,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,3.0,3.0,-122.48448219999999,37.7804129875,NC-3,NC-3
16573,2016-01-14,6044 GEARY BLVD,1456023,2016-01-14,BP ISSUED,,,201409055492,2014-09-05,2014-09-05,2014-09-05,2016-01-14,BP ISSUED,"('2014-09-05', '2014-09-05', '2014-09-05', '2014-09-05', '2014-09-05', '2016-01-14', '2016-01-14')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,3.0,3.0,-122.484482,37.7804129867,NC-3,NC-3
30631,,2443 CLEMENT ST,1457035,2006-02-08,PL APPROVED,,,,2004-04-27,2006-02-08,2004-04-27,2006-02-08,PL APPROVED,"('2006-02-08',)",,"('PL APPROVED',)",3,2009,Proposed,9.0,9.0,-122.485339,37.781863,NCD,NCD
25925,,431 26TH AV,1458005,2009-07-22,CONSTRUCTION,04/01/2010,2009-07-22,200309265941,2003-09-26,2009-07-22,2003-09-26,2009-07-22,CONSTRUCTION,"('2009-07-22', '2009-07-22', '2009-07-22')",2379.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,3.0,2.0,-122.48606399999998,37.781312,RM-1,RM-1
18865,,420 29TH AV,1460014B,2008-12-18,PL APPROVED,,,,2006-07-25,2008-12-18,2006-07-25,2008-12-18,PL APPROVED,"('2008-12-18', '2008-12-18')",,"('PL APPROVED', 'PL APPROVED')",4,2009,Proposed,21.0,20.0,-122.488937,37.781324,RH-2,RH-2
26424,2009-09-25,420 29TH AV,1460015,2010-09-15,CONSTRUCTION,10/01/2010,2010-04-21,200809192140,2008-09-19,2009-09-25,2008-09-19,2010-09-15,CONSTRUCTION,"('2009-09-25', '2009-09-25', '2010-04-21', '2010-06-15', '2010-09-15')",742.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2010,Under Construction,20.0,20.0,-122.488937,37.781324,RH-2,RH-2
264,,411 28TH AV,1460024,2008-04-15,BP FILED,,,200804159772,2008-04-15,2008-04-15,2008-04-15,2008-04-15,BP FILED,"('2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15', '2008-04-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2015,Proposed,2.0,1.0,-122.48829879,37.7815728884,RH-2,RH-2
12805,,420 29TH AV,1460040,2010-06-29,CONSTRUCTION,04/01/2011,2010-06-29,201006295535,2006-07-25,2008-12-18,2006-07-25,2010-06-29,CONSTRUCTION,"('2008-12-18', '2008-12-18', '2010-06-29', '2010-06-29', '2010-06-29')",1711.0,"('PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,21.0,,-122.488937,37.781324,RH-2,RH-2
21054,,439 30TH AV,1462006,2008-04-03,BP FILED,,,200804038657,2008-04-03,2008-04-03,2008-04-03,2008-04-03,BP FILED,"('2008-04-03', '2008-04-03', '2008-04-03', '2008-04-03', '2008-04-03', '2008-04-03')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2010,Proposed,2.0,1.0,-122.49032700000001,37.780995000000004,RH-2,RH-2
1879,2016-09-09,460 31ST AV,1462031,2017-08-07,CONSTRUCTION,2017-08-07,2017-08-07,201412184051,2014-12-18,2014-12-18,2014-12-18,2017-08-07,CONSTRUCTION,"('2014-12-18', '2014-12-18', '2014-12-18', '2014-12-18', '2014-12-18', '2014-12-18', '2014-12-18', '2016-09-09', '2016-10-06', '2016-10-06', '2017-08-07')",963.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,,,,
14431,2013-10-17,427 31ST AV,1463005,2014-04-15,CONSTRUCTION,07/01/2014,2014-03-26,201112160853,2011-12-16,2011-12-16,2011-12-16,2014-04-15,CONSTRUCTION,"('2011-12-16', '2011-12-16', '2011-12-16', '2011-12-16', '2011-12-16', '2011-12-16', '2011-12-16', '2011-12-16', '2013-10-17', '2014-03-26', '2014-04-15')",928.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2014,Under Construction,2.0,2.0,-122.49159399999999,37.781147,RH-2,RH-2
2202,2017-03-22,463 32ND AV,1464006,2017-04-04,BP ISSUED,,,201506027757,2015-06-02,2015-06-02,2015-06-02,2017-04-04,BP ISSUED,"('2015-06-02', '2015-06-02', '2015-06-02', '2015-06-02', '2015-06-02', '2015-06-02', '2015-06-02', '2017-03-22', '2017-04-04')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,,,,
13194,2013-02-07,470 33RD AV,1464013B,2013-07-29,CONSTRUCTION,10/01/2013,2013-06-21,201207275924,2012-07-27,2012-07-27,2012-07-27,2013-07-29,CONSTRUCTION,"('2012-07-27', '2012-07-27', '2013-02-07', '2013-06-21', '2013-07-29')",431.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,2.0,1.0,-122.493024,37.780327,RH-2,RH-2
11640,2010-09-22,446 33RD AV,1464014,2014-12-04,CONSTRUCTION,01/01/2016,2013-04-17,200911231869,2009-11-23,2009-11-23,2009-11-23,2014-12-04,CONSTRUCTION,"('2009-11-23', '2009-11-23', '2009-11-23', '2010-09-22', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2010-12-29', '2013-04-17', '2013-04-17', '2013-04-17', '2013-04-17', '2013-04-17', '2013-04-17', '2013-04-17', '2014-12-04', '2014-12-04', '2014-12-04', '2014-12-04', '2014-12-04')",2230.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,1.0,-122.493053546,37.7807382714,RH-2,RH-2
2116,,464 34TH AV,1465015A,2016-08-19,BP FILED,,,201608195596,2016-08-19,2016-08-19,2016-08-19,2016-08-19,BP FILED,"('2016-08-19', '2016-08-19', '2016-08-19', '2016-08-19')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
2455,,438 34TH AV,1465017A,2017-04-11,BP FILED,,,201704113719,2017-04-11,2017-04-11,,2017-04-11,BP FILED,"('2017-04-11',)",,"('BP FILED',)",2,2017,Proposed,3.0,1.0,,,,
16924,,451 34TH AV,1466009,2009-07-16,PL APPROVED,,,,2008-07-24,2008-07-24,2008-07-24,2009-07-16,PL APPROVED,"('2008-07-24', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2014,Proposed,2.0,1.0,-122.494605,37.7805803,RH-2,RH-2
25291,,474 35TH AV,1466026,2012-06-11,BP FILED,,,201206112312,2012-06-11,2012-06-11,2012-06-11,2012-06-11,BP FILED,"('2012-06-11', '2012-06-11')",,"('BP FILED', 'BP FILED')",3,2012,Proposed,2.0,1.0,-122.49516200000001,37.780161,RH-2,RH-2
9476,2008-02-27,440 35TH AV,1466034,2010-05-06,CONSTRUCTION,07/01/2011,2009-11-23,200611308863,2006-11-30,2008-02-27,2006-11-30,2010-05-06,CONSTRUCTION,"('2008-02-27', '2009-11-23', '2009-11-23', '2010-05-06', '2010-05-06', '2010-05-06', '2010-05-06', '2010-05-06')",1674.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2011,Under Construction,2.0,1.0,-122.495349,37.780705,RH-2,RH-2
16465,,483 35TH AV,1467020,2009-11-30,BP FILED,,,200911302251,2009-11-30,2009-11-30,2009-11-30,2009-11-30,BP FILED,"('2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30', '2009-11-30')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,1.0,-122.49574299999999,37.7799975445,RH-2,RH-2
2288,,476 39TH AV,1470022,2017-05-25,BP FILED,,,201705257672,2017-05-25,2017-05-25,,2017-05-25,BP FILED,"('2017-05-25',)",,"('BP FILED',)",2,2017,Proposed,2.0,1.0,,,,
2023,,446 44TH AV,1475017A,2016-10-12,PL APPROVED,,,201605187790,2016-05-18,2016-05-18,2016-05-18,2016-10-12,PL APPROVED,"('2016-05-18', '2016-05-18', '2016-05-18', '2016-05-18', '2016-10-12')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,2.0,1.0,,,,
2122,2016-01-26,441 43RD AV,1475032,2016-01-26,BP ISSUED,,,201507101227,2015-07-10,2015-07-10,2015-07-10,2016-01-26,BP ISSUED,"('2015-07-10', '2015-07-10', '2016-01-26', '2016-01-26', '2016-01-26', '2016-01-26', '2016-01-26', '2016-01-26')",,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,3.0,1.0,,,,
2396,,525 42ND AV,1502002A,2016-08-11,BP FILED,,,201608114752,2016-08-11,2016-08-11,2016-08-11,2016-08-11,BP FILED,"('2016-08-11', '2016-08-11', '2016-08-11', '2016-08-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
2409,2017-09-27,579 42ND AV,1502010,2017-09-27,BP APPROVED,,,201702280324,2017-02-28,2017-02-28,,2017-09-27,BP APPROVED,"('2017-02-28', '2017-09-27')",,"('BP FILED', 'BP APPROVED')",2,2017,Building Permit Approved,3.0,1.0,,,,
1515,,530 41ST AV,1504001L,2016-12-28,BP FILED,,,201612286024,2016-12-28,2016-12-28,2016-12-28,2016-12-28,BP FILED,"('2016-12-28', '2016-12-28', '2016-12-28')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,4.0,2.0,,,,
1730,2015-07-15,579 39TH AV,1505014,2017-08-31,CONSTRUCTION,07/01/2017,2016-08-18,201307151829,2013-07-15,2013-07-15,2013-07-15,2017-08-31,CONSTRUCTION,"('2013-07-15', '2013-07-15', '2013-07-15', '2013-07-15', '2013-07-15', '2013-07-15', '2013-07-15', '2015-07-15', '2015-07-15', '2015-07-15', '2015-07-15', '2015-07-15', '2016-08-18', '2016-10-05', '2016-10-05', '2017-08-31')",1447.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,,,RH-2,RH-2
14964,,538 40TH AV,1505026,2008-07-03,BP FILED,,,200807035957,2008-07-03,2008-07-03,2008-07-03,2008-07-03,BP FILED,"('2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03', '2008-07-03')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2012,Proposed,2.0,1.0,-122.500534,37.778526,RH-2,RH-2
2440,2009-08-11,536 40TH AV,1505027,2014-02-04,CONSTRUCTION,07/01/2017,2014-02-04,200608179803,2006-08-17,2009-08-11,2006-08-17,2014-02-04,CONSTRUCTION,"('2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2009-08-11', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04', '2014-02-04')",3971.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,,,RH-2,RH-2
13493,2012-05-11,7327 GEARY BL,1507038,2013-01-08,CONSTRUCTION,10/01/2013,2012-10-15,201010072476,2010-10-07,2010-10-07,2010-10-07,2013-01-08,CONSTRUCTION,"('2010-10-07', '2010-10-07', '2010-10-07', '2010-11-09', '2010-11-09', '2010-11-09', '2012-05-11', '2012-05-11', '2012-10-15', '2013-01-08', '2013-01-08', '2013-01-08')",1090.0,"('BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,2.0,1.0,-122.498104,37.779174,RM-1,RM-1
2308,,542 36TH AV,1509036,2017-06-08,BP FILED,,,201706088858,2017-06-08,2017-06-08,,2017-06-08,BP FILED,"('2017-06-08',)",,"('BP FILED',)",2,2017,Proposed,3.0,1.0,,,,
2498,,538 36TH AV,1509037,2017-01-26,BP FILED,,,201701268052,2017-01-26,2017-01-26,,2017-01-26,BP FILED,"('2017-01-26', '2017-01-26')",,"('BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
2475,2010-03-31,563 34TH AV,1510013,2017-08-03,CONSTRUCTION,2017-08-03,2017-08-03,200810295438,2008-10-29,2009-05-11,2008-10-29,2017-08-03,CONSTRUCTION,"('2009-05-11', '2009-05-11', '2010-03-31', '2010-03-31', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2010-07-01', '2017-08-03')",3200.0,"('PL FILED', 'PL APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,,,RH-2,RH-2
11709,2012-07-23,4324 ANZA ST,1510022,2012-11-09,CONSTRUCTION,01/01/2016,2012-09-28,201101118224,2011-01-11,2011-01-11,2011-01-11,2012-11-09,CONSTRUCTION,"('2011-01-11', '2011-01-11', '2011-01-11', '2012-07-23', '2012-09-28', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09', '2012-11-09')",1816.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,1.0,-122.494749859,37.7779515894,RH-2,RH-2
10673,2012-03-30,590 35TH AV,1510025,2013-04-05,CONSTRUCTION,07/01/2013,2012-11-08,200910280037,2009-10-28,2009-10-28,2009-10-28,2013-04-05,CONSTRUCTION,"('2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2009-10-28', '2012-03-30', '2012-06-01', '2012-06-01', '2012-11-08', '2013-04-05', '2013-04-05')",1342.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,2.0,1.0,-122.49504099999999,37.777906,RH-2,RH-2
20446,,531 33RD AV,1511005,2014-12-19,BP FILED,,,201412194158,2014-12-19,2014-12-19,2014-12-19,2014-12-19,BP FILED,"('2014-12-19', '2014-12-19', '2014-12-19', '2014-12-19', '2014-12-19', '2014-12-19', '2014-12-19', '2014-12-19')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,2.0,2.0,-122.493587338,37.7790034375,RH-2,RH-2
2377,,566 34TH AV,1511029,2015-05-28,BP FILED,,,201505287406,2015-05-28,2015-05-28,2015-05-28,2015-05-28,BP FILED,"('2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
7402,2014-09-18,546 34TH AV,1511034,2016-05-09,CONSTRUCTION,,2015-04-06,201305156961,2013-06-18,2013-06-18,2013-06-18,2016-05-09,CONSTRUCTION,"('2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2014-05-13', '2014-09-18', '2014-09-18', '2015-04-06', '2015-04-06', '2015-04-06', '2015-04-06', '2015-04-06', '2016-05-09', '2016-05-09', '2016-05-09', '2016-05-09')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,2.0,1.0,-122.49398192700001,37.7787104203,RH-2,RH-2
